,회사명,거래소코드,회계년도,재고자산(IFRS연결),유동자산(IFRS연결),재고자산(IFRS개별),유동자산(IFRS개별),재고자산_유동자산비율(개별),재고자산_유동자산비율(연결)
112,(주)강스템바이오텍,217730,Dec-19,266393.0,55408095.0,34319.0,50136013.0,0.06845179332469058,0.5313406153776129
113,(주)강원랜드,35250,Dec-11,2245975.0,1163791156.0,2245975.0,1116717650.0,0.20112290694071147,0.20112290694071147
114,(주)강원랜드,35250,Dec-12,1200611.0,1165450728.0,1200611.0,1117338850.0,0.10745272125819308,0.10745272125819308
115,(주)강원랜드,35250,Dec-13,1493306.0,1080401909.0,1493306.0,1032979185.0,0.1445630291185393,0.1445630291185393
116,(주)강원랜드,35250,Dec-14,1204918.0,1371825587.0,1204918.0,1349601870.0,0.08927951470606661,0.08927951470606661
117,(주)강원랜드,35250,Dec-15,1621646.0,1750420316.0,1621646.0,1736167993.0,0.09340374932254612,0.09340374932254612
118,(주)강원랜드,35250,Dec-16,1309513.0,1809513458.0,1309513.0,1799026863.0,0.07279007484170068,0.07279007484170068
119,(주)강원랜드,35250,Dec-17,1299617.0,2164296051.0,1299617.0,2155754572.0,0.060285944275849594,0.060285944275849594
120,(주)강원랜드,35250,Dec-18,1148805.0,1759033105.0,1143581.0,1749493012.0,0.06536642285256525,0.06566502364514731
121,(주)강원랜드,35250,Dec-19,3636529.0,1878191161.0,3631307.0,1868365557.0,0.19435741503556309,0.19463691066105432
122,(주)강원에너지,114190,Nov-11,,,3989692.0,47950975.0,8.32035636397383,
123,(주)강원에너지,114190,Dec-12,,,3808870.0,80491240.0,4.732030466917891,
124,(주)강원에너지,114190,Dec-13,,,2086978.0,61556228.0,3.390360435990327,
125,(주)강원에너지,114190,Dec-14,,,1736909.0,48800730.0,3.559186512168978,
126,(주)강원에너지,114190,Dec-15,1233999.0,62927388.0,1233999.0,58744703.0,2.1006132246510805,2.1006132246510805
127,(주)강원에너지,114190,Dec-16,335220.0,53716336.0,335220.0,49882033.0,0.6720255367298281,0.6720255367298281
128,(주)강원에너지,114190,Dec-17,361382.0,68068421.0,361382.0,66557788.0,0.5429597510061482,0.5429597510061482
129,(주)강원에너지,114190,Dec-18,543737.0,70556730.0,543737.0,70097814.0,0.7756832474119664,0.7756832474119664
130,(주)강원에너지,114190,Dec-19,118784.0,30544232.0,118784.0,30346449.0,0.39142635766049594,0.39142635766049594
131,(주)갤럭시아에스엠,11420,Dec-11,20209.0,24658098.0,0.0,17322791.0,0.0,0.11666133938809282
132,(주)갤럭시아에스엠,11420,Dec-12,37487.0,24752609.0,0.0,21665386.0,0.0,0.17302715031248464
133,(주)갤럭시아에스엠,11420,Dec-13,126351.0,19899780.0,0.0,15680160.0,0.0,0.8058017265129949
134,(주)갤럭시아에스엠,11420,Dec-14,508736.0,26742964.0,404356.0,21910144.0,1.8455195912906823,2.3219199289607593
135,(주)갤럭시아에스엠,11420,Dec-15,11280.0,44426010.0,0.0,40480215.0,0.0,0.027865464647359207
136,(주)갤럭시아에스엠,11420,Dec-16,0.0,37929417.0,0.0,33508731.0,0.0,0.0
137,(주)갤럭시아에스엠,11420,Dec-17,0.0,28750883.0,0.0,25522603.0,0.0,0.0
138,(주)갤럭시아에스엠,11420,Dec-18,0.0,14251248.0,0.0,14317048.0,0.0,0.0
139,(주)갤럭시아에스엠,11420,Dec-19,0.0,13644588.0,0.0,13644588.0,0.0,0.0
140,(주)경농,2100,Dec-11,70194121.0,94363834.0,70007203.0,85897543.0,81.50082127494613,81.71842703347173
141,(주)경농,2100,Dec-12,102583675.0,142516976.0,69708618.0,88973571.0,78.34755559041234,115.29679414575817
142,(주)경농,2100,Dec-13,98860077.0,129526582.0,70268926.0,90491612.0,77.6524193203675,109.24777978316928
143,(주)경농,2100,Dec-14,98308244.0,139646908.0,69968941.0,92163573.0,75.9182166255642,106.66713626651605
144,(주)경농,2100,Dec-15,115444315.0,161184139.0,84302523.0,110823037.0,76.06949356567443,104.16996152162838
145,(주)경농,2100,Dec-16,115876266.0,156061222.0,89356248.0,113338004.0,78.84049907919677,102.23955064534222
146,(주)경농,2100,Dec-17,119704437.0,163437464.0,91796107.0,114661596.0,80.05828472856771,104.39802093806543
147,(주)경농,2100,Dec-18,120967753.0,169982099.0,91526504.0,124295854.0,73.63600719940345,97.32243603233943
148,(주)경농,2100,Dec-19,133714688.0,185020093.0,101542875.0,138697201.0,73.21191362758647,96.40763262410753
149,(주)경동나비엔,9450,Dec-11,60788326.0,129512842.0,41637076.0,109967953.0,37.86291811760832,55.27821910079567
150,(주)경동나비엔,9450,Dec-12,59527947.0,145371681.0,33893618.0,123218302.0,27.506967268547495,48.310961954336946
151,(주)경동나비엔,9450,Dec-13,71724409.0,134043087.0,37417214.0,104914630.0,35.664438791806255,68.3645445825811
152,(주)경동나비엔,9450,Dec-14,83525372.0,159947056.0,40963230.0,134136648.0,30.538432718253105,62.26886778921149
153,(주)경동나비엔,9450,Dec-15,87185691.0,158254944.0,39239496.0,129837058.0,30.222108082578398,67.15008206670858
154,(주)경동나비엔,9450,Dec-16,89997026.0,175420277.0,41128987.0,145915928.0,28.186769987166855,61.677314624624124
155,(주)경동나비엔,9450,Dec-17,110374505.0,230894567.0,57016736.0,175839342.0,32.42547165582547,62.77008532026923
156,(주)경동나비엔,9450,Dec-18,150049770.0,287001959.0,74930222.0,209454208.0,35.77403515330664,71.63846046960299
157,(주)경동나비엔,9450,Dec-19,138114361.0,274279157.0,66299991.0,214093729.0,30.96774076927774,64.51116604167328
158,(주)경동도시가스,267290,Dec-17,1111165.0,376858740.0,1111165.0,374489353.0,0.29671471060487,0.29671471060487
159,(주)경동도시가스,267290,Dec-18,1299646.0,444232799.0,1299646.0,441723742.0,0.2942214502927941,0.2942214502927941
160,(주)경동도시가스,267290,Dec-19,1333402.0,395154174.0,1333402.0,392458231.0,0.3397564109185418,0.3397564109185418
161,(주)경동인베스트,12320,Dec-11,6238419.0,610411619.0,837931.0,563584969.0,0.14867873454588176,1.1069172073678921
162,(주)경동인베스트,12320,Dec-12,20579836.0,814034002.0,1073025.0,753036515.0,0.14249309012591507,2.7329134231956864
163,(주)경동인베스트,12320,Dec-13,13656418.0,778164231.0,759346.0,724069045.0,0.10487204296932759,1.8860657135259802
164,(주)경동인베스트,12320,Dec-14,18386682.0,766552554.0,1014437.0,631297926.0,0.1606906910700036,2.9125205774872134
165,(주)경동인베스트,12320,Dec-15,8347076.0,571798491.0,958537.0,459634757.0,0.2085431933512374,1.8160236737710416
166,(주)경동인베스트,12320,Dec-16,10949433.0,508994824.0,1016660.0,394847821.0,0.2574814766421112,2.7730767190937597
167,(주)경동인베스트,12320,Dec-17,14232992.0,238339688.0,0.0,110951332.0,0.0,12.828139818997396
168,(주)경동인베스트,12320,Dec-18,30703229.0,188460289.0,87903.0,44742051.0,0.1964661834568111,68.62275714629175
169,(주)경동인베스트,12320,Dec-19,30814751.0,236475693.0,176596.0,44653640.0,0.39547951745927096,69.00837423332118
170,(주)경방,50,Dec-11,72996830.0,138673371.0,71422892.0,123787600.0,57.6979374347673,58.9694202004078
171,(주)경방,50,Dec-12,52907652.0,123685731.0,50300747.0,101710997.0,49.45458060941041,52.01763187907793
172,(주)경방,50,Dec-13,40216862.0,103410904.0,35601409.0,79482802.0,44.79133611822089,50.59819355638721
173,(주)경방,50,Dec-14,37758471.0,101229398.0,34615710.0,83665762.0,41.37380593031592,45.1301345943637
174,(주)경방,50,Dec-15,52862910.0,108093423.0,37595998.0,83760073.0,44.88534531243783,63.112301728772366
175,(주)경방,50,Dec-16,45810493.0,106002223.0,33656952.0,80538917.0,41.78967541865506,56.87994662257502
176,(주)경방,50,Dec-17,31921285.0,90254697.0,22476156.0,71472590.0,31.44723872466354,44.66227542614588
177,(주)경방,50,Dec-18,59792825.0,120711492.0,35574579.0,88159568.0,40.35248788877912,67.82340970636336
178,(주)경방,50,Dec-19,31308041.0,264861016.0,13959690.0,223798878.0,6.2376049981805535,13.989364593686659
179,(주)경보제약,214390,Dec-15,,,49522277.0,105108130.0,47.11555328783796,
180,(주)경보제약,214390,Dec-16,,,47568951.0,102226920.0,46.53270488830144,
181,(주)경보제약,214390,Dec-17,,,47964422.0,110638039.0,43.35255978280671,
182,(주)경보제약,214390,Dec-18,,,53494316.0,128936315.0,41.4889443676128,
183,(주)경보제약,214390,Dec-19,,,62312499.0,124176490.0,50.18059296087367,
184,(주)경인양행,12610,Dec-11,95390048.0,166259207.0,51423188.0,99039937.0,51.92166873046376,96.31473008711627
185,(주)경인양행,12610,Dec-12,70357744.0,146242797.0,38724208.0,94723927.0,40.881126053821646,74.27663340013342
186,(주)경인양행,12610,Dec-13,90667397.0,175887375.0,60685132.0,123143650.0,49.27995231585226,73.62734253857182
187,(주)경인양행,12610,Dec-14,89741323.0,164606526.0,57418066.0,107227115.0,53.548084362803195,83.69275159552694
188,(주)경인양행,12610,Dec-15,95494779.0,176664098.0,62450588.0,113173448.0,55.18130719141826,84.37913723367339
189,(주)경인양행,12610,Dec-16,99419770.0,191409058.0,66161603.0,126364739.0,52.35764622597764,78.67682930124992
190,(주)경인양행,12610,Dec-17,97118533.0,193184742.0,63955013.0,125062666.0,51.13837330158945,77.65589532530835
191,(주)경인양행,12610,Dec-18,123873222.0,234817064.0,86129207.0,165167110.0,52.14670584234356,74.998722203228
192,(주)경인양행,12610,Dec-19,141253404.0,251884675.0,101010142.0,172620331.0,58.51578514236542,81.8289498008204
193,(주)고려시멘트,198440,Dec-14,,,,,,
194,(주)고려시멘트,198440,Dec-15,,,,,,
195,(주)고려시멘트,198440,Dec-16,,,,,,
196,(주)고려시멘트,198440,Dec-17,,,3329941.0,38542950.0,8.639559244946222,
197,(주)고려시멘트,198440,Dec-18,,,4242987.0,49955334.0,8.493561468330888,
198,(주)고려시멘트,198440,Dec-19,,,6942200.0,46591282.0,14.900212447470324,
199,(주)고영테크놀러지,98460,Dec-11,14264259.0,63304178.0,13001882.0,61560094.0,21.120633766413675,23.171275534439566
200,(주)고영테크놀러지,98460,Dec-12,17763177.0,77857574.0,15164342.0,75787332.0,20.00907222858828,23.438187532449355
201,(주)고영테크놀러지,98460,Dec-13,20893135.0,94895999.0,17888953.0,93556579.0,19.120999496999563,22.33208527216456
202,(주)고영테크놀러지,98460,Dec-14,18090390.0,108649874.0,13344937.0,107119140.0,12.45803224335072,16.888102350336272
203,(주)고영테크놀러지,98460,Dec-15,19344915.0,121834639.0,12475503.0,124933566.0,9.985709525012677,15.48416139822664
204,(주)고영테크놀러지,98460,Dec-16,19563475.0,154891864.0,12591503.0,156029191.0,8.069966215488485,12.538342905334938
205,(주)고영테크놀러지,98460,Dec-17,22300525.0,161356541.0,12749777.0,159374622.0,7.99987905226216,13.99251946147361
