,회사명,거래소코드,회계년도,장기차입금(IFRS연결),단기차입금(IFRS연결),회사채(IFRS연결),자산(IFRS연결),장기차입금(IFRS개별),단기차입금(IFRS개별),회사채(IFRS개별),자산(IFRS개별),차입금의존도(개별),차입금의존도(연결)
10579,미래산업(주),25560,Dec-13,2600000.0,19229899.0,0.0,75968359.0,2600000.0,19229899.0,0.0,21862436550.0,0.09985117143770508,28.735514742394265
10580,미래산업(주),25560,Dec-14,0.0,3593943.0,0.0,64768918.0,0.0,3593943.0,0.0,26964266333.0,0.01332853991136255,5.548869907013114
10581,미래산업(주),25560,Dec-15,0.0,7300000.0,0.0,70111792.0,0.0,7000000.0,0.0,1399557927.0,0.5001579330842516,10.411943257704781
10582,미래산업(주),25560,Dec-16,0.0,535535.0,0.0,84503325.0,0.0,535535.0,0.0,1613366205.0,0.03319364186136525,0.6337442934937767
10583,미래산업(주),25560,Dec-17,0.0,1000.0,0.0,84456717.0,0.0,1000.0,0.0,1906316257.0,5.2457193098364266e-05,0.001184038446580868
10584,미래산업(주),25560,Dec-18,0.0,1000.0,0.0,68651324.0,0.0,1000.0,0.0,1794605294.0,5.5722559347359194e-05,0.0014566361458666114
10585,미래산업(주),25560,Dec-19,0.0,0.0,0.0,74810112.0,0.0,0.0,0.0,1637407752.0,0.0,0.0
10586,미스터블루(주),207760,Dec-14,,,,,,,,1492501349.0,,
10587,미스터블루(주),207760,Dec-15,,,,,0.0,4000000.0,0.0,1582474809.0,0.252768636647536,
10588,미스터블루(주),207760,Dec-16,0.0,3062000.0,0.0,34501122.0,0.0,3000000.0,0.0,1597498060.0,0.1877936552861917,8.875073686009399
10589,미스터블루(주),207760,Dec-17,0.0,3000000.0,0.0,37985827.0,0.0,3000000.0,0.0,1713829989.0,0.17504653432692385,7.897682469832762
10590,미스터블루(주),207760,Dec-18,0.0,5000000.0,0.0,44276627.0,0.0,5000000.0,0.0,599459449.0,0.8340847755992248,11.292639793903
10591,미스터블루(주),207760,Dec-19,0.0,6000000.0,0.0,62303334.0,0.0,5000000.0,0.0,692199485.0,0.7223351228006187,9.630303251508177
10592,미원상사(주),2840,Dec-11,12419701.0,23552535.0,0.0,148263212.0,2516985.0,16150000.0,0.0,1851479505.0,1.008219910055121,24.26241514314421
10593,미원상사(주),2840,Dec-12,15904132.0,15844991.0,0.0,181453952.0,15904132.0,8389150.0,0.0,2239784222.0,1.0846259992986056,17.497068898229344
10594,미원상사(주),2840,Dec-13,21890000.0,25162304.0,0.0,226444664.0,18890000.0,658415.0,0.0,2327038487.0,0.8400555087166464,20.778720579611452
10595,미원상사(주),2840,Dec-14,5500000.0,29858925.0,0.0,228635451.0,0.0,501399.0,0.0,3733217138.0,0.013430748372397511,15.465197914561376
10596,미원상사(주),2840,Dec-15,5500000.0,20980680.0,0.0,231194650.0,0.0,423883.0,0.0,3852362097.0,0.011003197241767484,11.453846358468935
10597,미원상사(주),2840,Dec-16,2891904.0,22909158.0,0.0,329573660.0,0.0,658671.0,0.0,4264781415.0,0.01544442577252227,7.82861773601689
10598,미원상사(주),2840,Dec-17,5481064.0,23111879.0,0.0,290102776.0,0.0,811879.0,0.0,3903504556.0,0.020798720440893988,9.856142500339258
10599,미원상사(주),2840,Dec-18,0.0,282812.0,0.0,245546856.0,0.0,282812.0,0.0,4228827416.0,0.006687716763516178,0.11517638816764163
10600,미원상사(주),2840,Dec-19,0.0,531670.0,0.0,280693590.0,0.0,531670.0,0.0,3848518300.0,0.013814927163007123,0.18941294669393768
10601,미원스페셜티케미칼(주),268280,Dec-17,,,,,0.0,1591722.0,0.0,6187084323.0,0.02572652831129032,
10602,미원스페셜티케미칼(주),268280,Dec-18,,,,,12000000.0,49375.0,0.0,9156136129.0,0.13159890624426515,
10603,미원스페셜티케미칼(주),268280,Dec-19,10000000.0,337438.0,0.0,311855159.0,10000000.0,337438.0,0.0,7796179618.0,0.1325962010435558,3.314820262441129
10604,미원홀딩스(주),107590,Dec-11,63619.0,3145294.0,0.0,118613059.0,0.0,2845436.0,0.0,3491152247.0,0.08150420831532415,2.705362315965563
10605,미원홀딩스(주),107590,Dec-12,60304.0,776697.0,0.0,147898036.0,0.0,498211.0,0.0,3673854093.0,0.013560990376544057,0.5659311121616247
10606,미원홀딩스(주),107590,Dec-13,0.0,609102.0,0.0,182542811.0,0.0,334724.0,0.0,3838242494.0,0.00872076218538161,0.33367624649978683
10607,미원홀딩스(주),107590,Dec-14,0.0,690381.0,0.0,203526514.0,0.0,690381.0,0.0,3945699034.0,0.01749705170239804,0.33920936709012767
10608,미원홀딩스(주),107590,Dec-15,0.0,919329.0,0.0,224340447.0,0.0,919329.0,0.0,4243629687.0,0.021663742310416165,0.40979190881259137
