,회사명,거래소코드,회계년도,당기유형자산(IFRS연결),전기유형자산(IFRS연결),당기유형자산(IFRS개별),전기유형자산(IFRS개별),유형자산증가율(개별),유형자산증가율(연결)
215,(주)골드앤에스,35290,Dec-18,11191043.0,9921876.0,11191043.0,9921876.0,12.791603120216394,12.791603120216394
216,(주)골드앤에스,35290,Dec-19,3722968.0,3722968.0,3722968.0,3722968.0,0.0,0.0
217,(주)골드퍼시픽,38530,Dec-11,,,10069863.0,10069863.0,0.0,
218,(주)골드퍼시픽,38530,Dec-12,,8743387.0,8743387.0,8743387.0,0.0,0.0
219,(주)골드퍼시픽,38530,Dec-13,9882790.0,9882790.0,7249195.0,7249195.0,0.0,-26.648294661730148
220,(주)골드퍼시픽,38530,Dec-14,9909463.0,9909463.0,5643164.0,5643164.0,0.0,-43.05277692645908
221,(주)골드퍼시픽,38530,Dec-15,2580222.0,,2580222.0,2580222.0,0.0,
222,(주)골드퍼시픽,38530,Dec-16,,,1333057.0,1333057.0,0.0,
223,(주)골드퍼시픽,38530,Dec-17,,1297094.0,1297094.0,1297094.0,0.0,0.0
224,(주)골드퍼시픽,38530,Dec-18,94653.0,,83408.0,94653.0,-11.880236231286915,
225,(주)골드퍼시픽,38530,Dec-19,,,908909.0,908909.0,0.0,
226,(주)골프존,215000,Dec-15,77871991.0,77871991.0,74039599.0,74039599.0,0.0,-4.921399788018775
227,(주)골프존,215000,Dec-16,73081406.0,73081406.0,69486714.0,69486714.0,0.0,-4.9187504684844185
228,(주)골프존,215000,Dec-17,71606171.0,71606171.0,66800539.0,66800539.0,0.0,-6.71119811726841
229,(주)골프존,215000,Dec-18,83642928.0,83642928.0,81753994.0,81753994.0,0.0,-2.258330793967417
230,(주)골프존,215000,Dec-19,115927449.0,115927449.0,110267389.0,110267389.0,0.0,-4.882415725373207
231,(주)골프존뉴딘홀딩스,121440,Dec-11,52306467.0,52306467.0,49239742.0,49239742.0,0.0,-5.862993958280526
232,(주)골프존뉴딘홀딩스,121440,Dec-12,198231941.0,198231941.0,136357274.0,136357274.0,0.0,-31.213267997007605
233,(주)골프존뉴딘홀딩스,121440,Dec-13,222285916.0,222285916.0,136081977.0,136081977.0,0.0,-38.780657160483344
234,(주)골프존뉴딘홀딩스,121440,Dec-14,454297223.0,454297223.0,178117980.0,178117980.0,0.0,-60.79263288827104
235,(주)골프존뉴딘홀딩스,121440,Dec-15,401308099.0,401308099.0,98347480.0,98347480.0,0.0,-75.49327306250055
236,(주)골프존뉴딘홀딩스,121440,Dec-16,398579767.0,398579767.0,98552925.0,98552925.0,0.0,-75.27397696531847
237,(주)골프존뉴딘홀딩스,121440,Dec-17,394254656.0,394254656.0,92900686.0,92900686.0,0.0,-76.43637568100146
238,(주)골프존뉴딘홀딩스,121440,Dec-18,380012689.0,380012689.0,83633825.0,83633825.0,0.0,-77.99183358322017
239,(주)골프존뉴딘홀딩스,121440,Dec-19,360513819.0,80368433.0,70002997.0,70002997.0,0.0,-12.897397165874807
240,(주)광림,14200,Dec-11,,,23759906.0,23759906.0,0.0,
241,(주)광림,14200,Dec-12,,,23876350.0,23876350.0,0.0,
242,(주)광림,14200,Dec-13,,23947251.0,23947251.0,23947251.0,0.0,0.0
243,(주)광림,14200,Dec-14,56739580.0,,23724344.0,56739580.0,-58.18731122084443,
244,(주)광림,14200,Dec-15,,24452723.0,24452723.0,24452723.0,0.0,0.0
245,(주)광림,14200,Dec-16,70932936.0,67097278.0,25674614.0,25674614.0,0.0,-61.73523760531687
