,회사명,거래소코드,회계년도,매출액(IFRS연결),매출원가(IFRS연결),판관비(IFRS연결),매출액(IFRS개별),매출원가(IFRS개별),판관비(IFRS개별),매출액영업이익률(개별),매출액영업이익률(연결)
4410,(주)에이스테크놀로지,88800,Dec-16,322117339.0,270076204.0,65842347.0,212352035.0,175555639.0,45026135.0,-3.87551689815452,-4.284529371453674
4411,(주)에이스테크놀로지,88800,Dec-17,351616055.0,289558207.0,76524387.0,258444809.0,220189216.0,46455354.0,-3.1727319390655664,-4.1142999002136005
4412,(주)에이스테크놀로지,88800,Dec-18,377316650.0,288894120.0,75237694.0,272282903.0,223183272.0,43443286.0,2.0773779542081643,3.494368986897345
4413,(주)에이스테크놀로지,88800,Dec-19,378602472.0,289254079.0,86629710.0,257500719.0,200648664.0,47409613.0,3.6669575279904367,0.7180837952901692
4414,(주)에이스토리,241840,Dec-19,,,,28238091.0,25702313.0,3609081.0,-3.80090495494189,
4415,(주)에이엔피,15260,Dec-11,419647455.0,382076103.0,28053393.0,94908810.0,94579314.0,4857313.0,-4.770702530144462,2.2680845282381137
4416,(주)에이엔피,15260,Dec-12,450493369.0,401402240.0,31573624.0,81381147.0,72597905.0,4160767.0,5.680031764605136,3.8885156154207454
4417,(주)에이엔피,15260,Dec-13,507779099.0,459545385.0,35590139.0,85139532.0,78299402.0,4475422.0,2.777450080416228,2.489975468643699
4418,(주)에이엔피,15260,Dec-14,528852438.0,473880851.0,40290900.0,84654325.0,77697993.0,4224015.0,3.2276165452857843,2.775951464933967
4419,(주)에이엔피,15260,Dec-15,579624844.0,523274473.0,45610802.0,90759758.0,86033010.0,4605445.0,0.13365284645205863,1.8528482881938029
4420,(주)에이엔피,15260,Dec-16,103554957.0,97009451.0,5346896.0,96591423.0,91024974.0,4381894.0,1.2263562987367935,1.1574626987677663
4421,(주)에이엔피,15260,Dec-17,101153876.0,101629542.0,5497290.0,91690922.0,91601966.0,4627531.0,-4.949862975529901,-5.904821679794059
4422,(주)에이엔피,15260,Dec-18,107826344.0,105932566.0,6621785.0,94894851.0,96289567.0,4979305.0,-6.716930300043361,-4.384834748732647
4423,(주)에이엔피,15260,Dec-19,105840629.0,105608236.0,6801728.0,95219936.0,95573309.0,4998403.0,-5.620436459860675,-6.20681779961833
