,회사명,거래소코드,회계년도,당기재고자산(IFRS연결),전기재고자산(IFRS연결),당기재고자산(IFRS개별),전기재고자산(IFRS개별),재고자산증가율(개별),재고자산증가율(연결)
139,(주)갤럭시아에스엠,11420,Dec-19,0.0,,0.0,0.0,,
140,(주)경농,2100,Dec-11,70194121.0,70194121.0,70007203.0,70007203.0,0.0,-0.26628725787448104
141,(주)경농,2100,Dec-12,102583675.0,,69708618.0,69708618.0,0.0,
142,(주)경농,2100,Dec-13,98860077.0,98860077.0,70268926.0,70268926.0,0.0,-28.92082614906319
143,(주)경농,2100,Dec-14,98308244.0,98308244.0,69968941.0,69968941.0,0.0,-28.826985252630493
144,(주)경농,2100,Dec-15,115444315.0,115444315.0,84302523.0,84302523.0,0.0,-26.9755959832236
145,(주)경농,2100,Dec-16,115876266.0,115876266.0,89356248.0,89356248.0,0.0,-22.886496877626357
146,(주)경농,2100,Dec-17,119704437.0,119704437.0,91796107.0,91796107.0,0.0,-23.314365531830703
147,(주)경농,2100,Dec-18,120967753.0,120967753.0,91526504.0,91526504.0,0.0,-24.338096947208726
148,(주)경농,2100,Dec-19,133714688.0,133714688.0,101542875.0,101542875.0,0.0,-24.060044174055136
149,(주)경동나비엔,9450,Dec-11,60788326.0,60788326.0,41637076.0,41637076.0,0.0,-31.50481557922815
150,(주)경동나비엔,9450,Dec-12,59527947.0,,33893618.0,33893618.0,0.0,
151,(주)경동나비엔,9450,Dec-13,71724409.0,71724409.0,37417214.0,37417214.0,0.0,-47.83196610236272
152,(주)경동나비엔,9450,Dec-14,83525372.0,83525372.0,40963230.0,40963230.0,0.0,-50.95714150186604
153,(주)경동나비엔,9450,Dec-15,87185691.0,87185691.0,39239496.0,39239496.0,0.0,-54.99319263295166
154,(주)경동나비엔,9450,Dec-16,89997026.0,89997026.0,41128987.0,41128987.0,0.0,-54.29961541173594
155,(주)경동나비엔,9450,Dec-17,110374505.0,110374505.0,57016736.0,57016736.0,0.0,-48.34247637169471
156,(주)경동나비엔,9450,Dec-18,150049770.0,150049770.0,74930222.0,74930222.0,0.0,-50.063087734156476
157,(주)경동나비엔,9450,Dec-19,138114361.0,138114361.0,66299991.0,66299991.0,0.0,-51.996309058693754
158,(주)경동도시가스,267290,Dec-17,1111165.0,1111165.0,1111165.0,1111165.0,0.0,0.0
159,(주)경동도시가스,267290,Dec-18,1299646.0,1299646.0,1299646.0,1299646.0,0.0,0.0
160,(주)경동도시가스,267290,Dec-19,1333402.0,1333402.0,1333402.0,1333402.0,0.0,0.0
161,(주)경동인베스트,12320,Dec-11,6238419.0,6238419.0,837931.0,837931.0,0.0,-86.56821544048259
162,(주)경동인베스트,12320,Dec-12,20579836.0,20579836.0,1073025.0,1073025.0,0.0,-94.78603716764313
163,(주)경동인베스트,12320,Dec-13,13656418.0,13656418.0,759346.0,759346.0,0.0,-94.43964002859315
164,(주)경동인베스트,12320,Dec-14,18386682.0,18386682.0,1014437.0,1014437.0,0.0,-94.4827620339548
165,(주)경동인베스트,12320,Dec-15,8347076.0,8347076.0,958537.0,958537.0,0.0,-88.51649367994253
166,(주)경동인베스트,12320,Dec-16,10949433.0,10949433.0,1016660.0,1016660.0,0.0,-90.71495300258927
167,(주)경동인베스트,12320,Dec-17,14232992.0,14232992.0,0.0,0.0,,-100.0
168,(주)경동인베스트,12320,Dec-18,30703229.0,30703229.0,87903.0,87903.0,0.0,-99.71370112244546
169,(주)경동인베스트,12320,Dec-19,30814751.0,30814751.0,176596.0,176596.0,0.0,-99.4269108324127
170,(주)경방,50,Dec-11,72996830.0,72996830.0,71422892.0,71422892.0,0.0,-2.156173083132515
171,(주)경방,50,Dec-12,52907652.0,52907652.0,50300747.0,50300747.0,0.0,-4.927274035899387
172,(주)경방,50,Dec-13,40216862.0,40216862.0,35601409.0,35601409.0,0.0,-11.476412555509668
173,(주)경방,50,Dec-14,37758471.0,37758471.0,34615710.0,34615710.0,0.0,-8.323326969463352
174,(주)경방,50,Dec-15,52862910.0,52862910.0,37595998.0,37595998.0,0.0,-28.880195963483658
175,(주)경방,50,Dec-16,45810493.0,45810493.0,33656952.0,33656952.0,0.0,-26.53003756148182
176,(주)경방,50,Dec-17,31921285.0,31921285.0,22476156.0,22476156.0,0.0,-29.588811979217
177,(주)경방,50,Dec-18,59792825.0,59792825.0,35574579.0,35574579.0,0.0,-40.50359888498327
178,(주)경방,50,Dec-19,31308041.0,31308041.0,13959690.0,13959690.0,0.0,-55.41180618742642
179,(주)경보제약,214390,Dec-15,,,49522277.0,49522277.0,0.0,
180,(주)경보제약,214390,Dec-16,,,47568951.0,47568951.0,0.0,
181,(주)경보제약,214390,Dec-17,,,47964422.0,47964422.0,0.0,
182,(주)경보제약,214390,Dec-18,,,53494316.0,53494316.0,0.0,
183,(주)경보제약,214390,Dec-19,,,62312499.0,62312499.0,0.0,
184,(주)경인양행,12610,Dec-11,95390048.0,88205209.0,51423188.0,51423188.0,0.0,-41.70050886677225
185,(주)경인양행,12610,Dec-12,70357744.0,70357744.0,38724208.0,38724208.0,0.0,-44.960986810492386
186,(주)경인양행,12610,Dec-13,90667397.0,90667397.0,60685132.0,60685132.0,0.0,-33.068408261461386
187,(주)경인양행,12610,Dec-14,89741323.0,89741323.0,57418066.0,57418066.0,0.0,-36.01825326332664
188,(주)경인양행,12610,Dec-15,95494779.0,95494779.0,62450588.0,62450588.0,0.0,-34.60313887945644
189,(주)경인양행,12610,Dec-16,99419770.0,99419770.0,66161603.0,66161603.0,0.0,-33.45226708933244
190,(주)경인양행,12610,Dec-17,97118533.0,97118533.0,63955013.0,63955013.0,0.0,-34.14746802240104
191,(주)경인양행,12610,Dec-18,123873222.0,123873222.0,86129207.0,86129207.0,0.0,-30.469874271939105
192,(주)경인양행,12610,Dec-19,141253404.0,141253404.0,101010142.0,101010142.0,0.0,-28.49011836911201
193,(주)고려시멘트,198440,Dec-14,,,,,,
194,(주)고려시멘트,198440,Dec-15,,,,,,
195,(주)고려시멘트,198440,Dec-16,,,,,,
196,(주)고려시멘트,198440,Dec-17,,,3329941.0,3329941.0,0.0,
