,회사명,거래소코드,회계년도,매출액(IFRS연결),매출채권(IFRS연결),재고자산(IFRS연결),매출액(IFRS개별),매출채권(IFRS개별),재고자산(IFRS개별),운전자본회전비율(개별),운전자본회전비율(연결)
102,(주)가비아,79940,Dec-14,80432047.0,0.0,0.0,43906243.0,2648057.0,0.0,1658.055056971961,inf
103,(주)가비아,79940,Dec-15,91648622.0,8120801.0,0.0,48446932.0,2327391.0,0.0,2081.5983218977817,1128.5662830550827
104,(주)가비아,79940,Dec-16,102178978.0,14103577.0,1363738.0,49430564.0,2458491.0,0.0,2010.6058553803941,660.6122523527839
105,(주)가비아,79940,Dec-17,116217941.0,19164658.0,1675464.0,52365659.0,2897556.0,0.0,1807.2354425591775,557.6643985097592
106,(주)가비아,79940,Dec-18,128728438.0,20324111.0,1982294.0,55197652.0,2873894.0,0.0,1920.6571989085191,577.0918173502185
107,(주)가비아,79940,Dec-19,148306878.0,25159207.0,2643604.0,58254105.0,3227148.0,0.0,1805.1265389749713,533.4240411877778
108,(주)강스템바이오텍,217730,Dec-15,,,,1484593.0,298840.0,334913.0,234.25419682431485,
109,(주)강스템바이오텍,217730,Dec-16,,,,842805.0,170110.0,582808.0,111.93848466898122,
110,(주)강스템바이오텍,217730,Dec-17,9132939.0,440984.0,1725225.0,5394323.0,173608.0,1725225.0,284.08622559224534,421.6093183991019
111,(주)강스템바이오텍,217730,Dec-18,9165454.0,2038576.0,1918575.0,1001039.0,1024620.0,501972.0,65.57344726030269,231.61749450551673
112,(주)강스템바이오텍,217730,Dec-19,6004584.0,1209654.0,266393.0,282069.0,1024806.0,34319.0,26.632267201699516,406.8016804342951
113,(주)강원랜드,35250,Dec-11,1265686425.0,6134126.0,2245975.0,1263651213.0,6107094.0,2245975.0,15127.987246364179,15103.474588194103
114,(주)강원랜드,35250,Dec-12,1296191223.0,7667585.0,1200611.0,1292896121.0,6916800.0,1200611.0,15927.444366190155,14616.176987969144
115,(주)강원랜드,35250,Dec-13,1361286598.0,7394704.0,1493306.0,1356906162.0,7277032.0,1493306.0,15471.53783582799,15315.988595872417
116,(주)강원랜드,35250,Dec-14,1496541441.0,6582920.0,1204918.0,1492291312.0,6379925.0,1204918.0,19674.649982867148,19216.391519700333
