,회사명,거래소코드,회계년도,이자비용(IFRS연결),장기차입금(IFRS연결),단기차입금(IFRS연결),회사채(IFRS연결),이자비용(IFRS개별),장기차입금(IFRS개별),단기차입금(IFRS개별),회사채(IFRS개별),차입금평균이자율(개별),차입금평균이자율(연결)
158,(주)경동도시가스,267290,Dec-17,0.0,12987389.0,0.0,0.0,0.0,12987389.0,0.0,0.0,0.0,0.0
159,(주)경동도시가스,267290,Dec-18,0.0,12123582.0,0.0,0.0,0.0,12123582.0,0.0,0.0,0.0,0.0
160,(주)경동도시가스,267290,Dec-19,0.0,11201253.0,0.0,0.0,0.0,11201253.0,0.0,0.0,0.0,0.0
161,(주)경동인베스트,12320,Dec-11,0.0,38332383.0,13793100.0,0.0,0.0,14732383.0,0.0,0.0,0.0,0.0
162,(주)경동인베스트,12320,Dec-12,0.0,35850519.0,9800000.0,0.0,0.0,13350519.0,0.0,0.0,0.0,0.0
163,(주)경동인베스트,12320,Dec-13,0.0,29855917.0,13489951.0,0.0,0.0,12355917.0,0.0,0.0,0.0,0.0
164,(주)경동인베스트,12320,Dec-14,0.0,56403180.0,6551550.0,0.0,0.0,11523080.0,0.0,0.0,0.0,0.0
165,(주)경동인베스트,12320,Dec-15,0.0,107469867.0,16766667.0,0.0,0.0,13017117.0,0.0,0.0,0.0,0.0
166,(주)경동인베스트,12320,Dec-16,0.0,99594003.0,15300000.0,0.0,0.0,13267953.0,0.0,0.0,0.0,0.0
167,(주)경동인베스트,12320,Dec-17,0.0,83460730.0,15181825.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,(주)경동인베스트,12320,Dec-18,0.0,71906166.0,9000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,(주)경동인베스트,12320,Dec-19,0.0,62256400.0,22000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,(주)경방,50,Dec-11,0.0,52825075.0,151249110.0,0.0,0.0,51339915.0,135849110.0,0.0,0.0,0.0
171,(주)경방,50,Dec-12,0.0,297503511.0,99503292.0,0.0,0.0,280141533.0,81369628.0,0.0,0.0,0.0
172,(주)경방,50,Dec-13,0.0,275230163.0,76186522.0,0.0,0.0,258404523.0,54775180.0,0.0,0.0,0.0
173,(주)경방,50,Dec-14,0.0,9985627.0,174843423.0,0.0,0.0,0.0,160771349.0,0.0,0.0,0.0
174,(주)경방,50,Dec-15,0.0,235918778.0,130833677.0,0.0,0.0,210000000.0,96327221.0,0.0,0.0,0.0
175,(주)경방,50,Dec-16,0.0,225494443.0,95137531.0,0.0,0.0,185000000.0,66373522.0,0.0,0.0,0.0
176,(주)경방,50,Dec-17,0.0,16667775.0,56680582.0,0.0,0.0,0.0,29757475.0,0.0,0.0,0.0
177,(주)경방,50,Dec-18,0.0,165400578.0,98123875.0,0.0,0.0,130000000.0,51994467.0,0.0,0.0,0.0
178,(주)경방,50,Dec-19,0.0,149162959.0,122000203.0,0.0,0.0,120000000.0,89828826.0,0.0,0.0,0.0
179,(주)경보제약,214390,Dec-15,,,,,0.0,5000000.0,34090028.0,0.0,0.0,
180,(주)경보제약,214390,Dec-16,,,,,0.0,0.0,41082535.0,0.0,0.0,
181,(주)경보제약,214390,Dec-17,,,,,0.0,451100.0,28375875.0,0.0,0.0,
182,(주)경보제약,214390,Dec-18,,,,,0.0,451100.0,42120856.0,0.0,0.0,
183,(주)경보제약,214390,Dec-19,,,,,0.0,405000.0,53647070.0,0.0,0.0,
184,(주)경인양행,12610,Dec-11,0.0,18002059.0,68608252.0,0.0,0.0,13856450.0,46049234.0,0.0,0.0,0.0
185,(주)경인양행,12610,Dec-12,0.0,415000.0,58180937.0,0.0,0.0,0.0,46608296.0,0.0,0.0,0.0
186,(주)경인양행,12610,Dec-13,0.0,2415000.0,70278679.0,0.0,0.0,0.0,60151840.0,0.0,0.0,0.0
187,(주)경인양행,12610,Dec-14,0.0,12485227.0,58862976.0,0.0,0.0,10000000.0,47461532.0,0.0,0.0,0.0
188,(주)경인양행,12610,Dec-15,0.0,439220.0,77495111.0,0.0,0.0,0.0,65001741.0,0.0,0.0,0.0
189,(주)경인양행,12610,Dec-16,0.0,760665.0,71049658.0,0.0,0.0,0.0,61492592.0,0.0,0.0,0.0
190,(주)경인양행,12610,Dec-17,0.0,8360241.0,86431633.0,0.0,0.0,8000000.0,71449907.0,0.0,0.0,0.0
191,(주)경인양행,12610,Dec-18,0.0,19416459.0,107171462.0,0.0,0.0,16133260.0,89584775.0,0.0,0.0,0.0
192,(주)경인양행,12610,Dec-19,0.0,30503057.0,140233691.0,0.0,0.0,24357240.0,115964069.0,0.0,0.0,0.0
193,(주)고려시멘트,198440,Dec-14,,,,,,,,,,
194,(주)고려시멘트,198440,Dec-15,,,,,,,,,,
195,(주)고려시멘트,198440,Dec-16,,,,,,,,,,
196,(주)고려시멘트,198440,Dec-17,,,,,0.0,2285714.0,5200000.0,0.0,0.0,
197,(주)고려시멘트,198440,Dec-18,,,,,0.0,914286.0,11800000.0,0.0,0.0,
