,회사명,거래소코드,회계년도,부채(IFRS연결),자산(IFRS연결),부채(IFRS개별),자산(IFRS개별),타인자본구성비율(개별),타인자본구성비율(연결)
119,(주)강원랜드,35250,Dec-17,684421554.0,4185657487.0,681737727.0,4182527382.0,16.29965962527678,16.35159006979684
120,(주)강원랜드,35250,Dec-18,644464265.0,4231241354.0,643178007.0,4229630541.0,15.206482002750416,15.231092038528038
121,(주)강원랜드,35250,Dec-19,720360229.0,4438119306.0,718028952.0,4436461953.0,16.18472015779282,16.2312046912783
122,(주)강원에너지,114190,Nov-11,,,29216633.0,53719067.0,54.387826579341,
123,(주)강원에너지,114190,Dec-12,,,53150277.0,89258208.0,59.546654801763445,
124,(주)강원에너지,114190,Dec-13,,,26564178.0,72441333.0,36.66991881554692,
125,(주)강원에너지,114190,Dec-14,,,16592147.0,67037639.0,24.75049427083791,
126,(주)강원에너지,114190,Dec-15,28873556.0,85457457.0,26058095.0,80939019.0,32.194725513043345,33.78705266177064
127,(주)강원에너지,114190,Dec-16,22097916.0,77186606.0,17103781.0,70850137.0,24.14078747652951,28.629210617189205
128,(주)강원에너지,114190,Dec-17,44876384.0,93179394.0,40664397.0,87781416.0,46.32460816079795,48.161274798589055
129,(주)강원에너지,114190,Dec-18,43641869.0,93845576.0,40333396.0,89619750.0,45.00503069914835,46.503917243792074
130,(주)강원에너지,114190,Dec-19,35477506.0,56602063.0,32201998.0,55106032.0,58.436430334886026,62.678821441543576
131,(주)갤럭시아에스엠,11420,Dec-11,19836339.0,45110356.0,16172356.0,40711969.0,39.723836496338464,43.97291610822136
132,(주)갤럭시아에스엠,11420,Dec-12,18071820.0,43979072.0,15016475.0,40169876.0,37.38242806624546,41.09186296609442
133,(주)갤럭시아에스엠,11420,Dec-13,16143563.0,37636664.0,11686248.0,34158874.0,34.21145556495803,42.89318256262032
134,(주)갤럭시아에스엠,11420,Dec-14,22068570.0,45274078.0,17125782.0,40528250.0,42.25640633385355,48.74438304408982
135,(주)갤럭시아에스엠,11420,Dec-15,18947950.0,68686992.0,16531335.0,67196553.0,24.60146281610606,27.58593650454223
136,(주)갤럭시아에스엠,11420,Dec-16,13597774.0,58444606.0,10978725.0,55825556.0,19.666127463199828,23.266088918453825
137,(주)갤럭시아에스엠,11420,Dec-17,9336773.0,49831109.0,8463792.0,48958128.0,17.287817867545915,18.736835658223058
138,(주)갤럭시아에스엠,11420,Dec-18,6781168.0,33253331.0,6540360.0,33337692.0,19.61851468302005,20.392447300993695
139,(주)갤럭시아에스엠,11420,Dec-19,6442848.0,28241598.0,6442848.0,28241598.0,22.813326639661113,22.813326639661113
140,(주)경농,2100,Dec-11,30787882.0,173774102.0,30724888.0,176741869.0,17.384046108508674,17.717186649596385
141,(주)경농,2100,Dec-12,117673838.0,269412832.0,51967451.0,203467698.0,25.540885118776934,43.6778891066332
142,(주)경농,2100,Dec-13,92827213.0,255984725.0,52292130.0,214988593.0,24.323211418012303,36.26279380537257
143,(주)경농,2100,Dec-14,115707163.0,284623063.0,61871897.0,230870852.0,26.799354038854588,40.6527713462208
144,(주)경농,2100,Dec-15,141674205.0,316341853.0,92052914.0,265109291.0,34.72262841214418,44.78515999588584
145,(주)경농,2100,Dec-16,136946019.0,320915151.0,89899537.0,266622289.0,33.717937587731086,42.673591001628964
146,(주)경농,2100,Dec-17,143720912.0,335873898.0,86007852.0,268967010.0,31.977100834782675,42.79014024483677
147,(주)경농,2100,Dec-18,155806650.0,357260541.0,97965187.0,285031873.0,34.369906063101936,43.61149136814412
148,(주)경농,2100,Dec-19,168988819.0,370874091.0,106304474.0,297197088.0,35.76901601404654,45.56501063321784
149,(주)경동나비엔,9450,Dec-11,95096442.0,263211016.0,81105376.0,224373470.0,36.1474892731302,36.12935485952457
150,(주)경동나비엔,9450,Dec-12,123854443.0,299729837.0,102426119.0,254627468.0,40.22587186076877,41.32202660891581
151,(주)경동나비엔,9450,Dec-13,167498879.0,354779867.0,139981016.0,301475800.0,46.43192455248481,47.212058682010834
152,(주)경동나비엔,9450,Dec-14,211637077.0,401658957.0,163104762.0,331089242.0,49.26308116045643,52.690740069815
153,(주)경동나비엔,9450,Dec-15,196007760.0,402084368.0,139640734.0,324848990.0,42.98635313596019,48.74791849654797
154,(주)경동나비엔,9450,Dec-16,190992511.0,429754702.0,137450753.0,347643876.0,39.53780362292359,44.44221555020938
155,(주)경동나비엔,9450,Dec-17,247190712.0,503697210.0,169371998.0,391400492.0,43.27332271212372,49.07525932097182
156,(주)경동나비엔,9450,Dec-18,303492202.0,583595818.0,200157710.0,440513661.0,45.43734456398617,52.00383427010781
157,(주)경동나비엔,9450,Dec-19,308765719.0,609808343.0,207047496.0,461607017.0,44.85362838407632,50.633239532441095
158,(주)경동도시가스,267290,Dec-17,415948312.0,710280194.0,415288491.0,707917077.0,58.66343735623714,58.56115875307653
159,(주)경동도시가스,267290,Dec-18,457779539.0,778269612.0,457120376.0,775880913.0,58.91630639971678,58.820173875682556
160,(주)경동도시가스,267290,Dec-19,410387431.0,749999474.0,409752242.0,747453908.0,54.8197337139349,54.7183625091449
161,(주)경동인베스트,12320,Dec-11,593628327.0,1001490869.0,528263966.0,941176098.0,56.128068607199154,59.274462241752104
162,(주)경동인베스트,12320,Dec-12,763415214.0,1209924561.0,699478024.0,1168400020.0,59.86631393587275,63.09610025347687
163,(주)경동인베스트,12320,Dec-13,706267792.0,1205008353.0,644593509.0,1161427092.0,55.500126821563754,58.61102873201411
164,(주)경동인베스트,12320,Dec-14,713337643.0,1320789066.0,540269309.0,1101071366.0,49.06760140014394,54.00844550904239
165,(주)경동인베스트,12320,Dec-15,591340081.0,1167819522.0,377864242.0,926392697.0,40.78877599355686,50.63625584775933
166,(주)경동인베스트,12320,Dec-16,538198062.0,1126122628.0,347571082.0,903818865.0,38.455833957393665,47.7921363640337
167,(주)경동인베스트,12320,Dec-17,198873241.0,599276331.0,8242347.0,318031347.0,2.5916775430316306,33.18556577533178
168,(주)경동인베스트,12320,Dec-18,194135226.0,592002536.0,8354115.0,318776653.0,2.6206796894877997,32.79297202199823
169,(주)경동인베스트,12320,Dec-19,190933746.0,605467383.0,8263326.0,316572482.0,2.6102477220366866,31.534935053636076
170,(주)경방,50,Dec-11,722619941.0,1352324332.0,655306746.0,1331930968.0,49.1997529709813,53.43540184116128
171,(주)경방,50,Dec-12,714335725.0,1335039930.0,631984460.0,1301719900.0,48.54995763681572,53.506693616272585
172,(주)경방,50,Dec-13,660550587.0,1296989142.0,575688238.0,1261257414.0,45.64399238488837,50.929538699253044
173,(주)경방,50,Dec-14,654172565.0,1301841379.0,623437994.0,1275008413.0,48.89677492661376,50.2497904546941
174,(주)경방,50,Dec-15,655690395.0,1318643312.0,587741479.0,1259512344.0,46.664209509327364,49.72462143727917
175,(주)경방,50,Dec-16,622067560.0,1301910960.0,546778844.0,1237024388.0,44.201136962547906,47.781114001836194
176,(주)경방,50,Dec-17,574908164.0,1274042237.0,488098740.0,1199063663.0,40.706657624733644,45.12473349029166
177,(주)경방,50,Dec-18,593023494.0,1301792841.0,497359673.0,1226545382.0,40.5496347953312,45.55436743256756
178,(주)경방,50,Dec-19,629189292.0,1370742491.0,555533558.0,1296265431.0,42.85646633123861,45.90134880410591
179,(주)경보제약,214390,Dec-15,,,72671307.0,195488457.0,37.17421893610833,
180,(주)경보제약,214390,Dec-16,,,74333640.0,203735980.0,36.485278643467886,
181,(주)경보제약,214390,Dec-17,,,63359803.0,204869399.0,30.926923839904465,
182,(주)경보제약,214390,Dec-18,,,72610828.0,221622993.0,32.76321965383799,
183,(주)경보제약,214390,Dec-19,,,88653237.0,237816742.0,37.277962961917964,
184,(주)경인양행,12610,Dec-11,143304448.0,319596954.0,86943667.0,245825940.0,35.367979066814506,44.83911570696634
185,(주)경인양행,12610,Dec-12,112463993.0,287452678.0,78932783.0,241045608.0,32.74599510645305,39.12435040873058
186,(주)경인양행,12610,Dec-13,127200482.0,316944796.0,96496450.0,274570963.0,35.14444824961334,40.13332403791858
