,회사명,거래소코드,회계년도,매출액(IFRS연결),재고자산(IFRS연결),매출액(IFRS개별),재고자산(IFRS개별),재고자산회전율(개별),재고자산회전율(연결)
114,(주)강원랜드,35250,Dec-12,1296191223.0,1200611.0,1292896121.0,1200611.0,1076.865130337803,1079.6096512525705
115,(주)강원랜드,35250,Dec-13,1361286598.0,1493306.0,1356906162.0,1493306.0,908.6591509041014,911.5925322740283
116,(주)강원랜드,35250,Dec-14,1496541441.0,1204918.0,1492291312.0,1204918.0,1238.5003062449064,1242.0276242864659
117,(주)강원랜드,35250,Dec-15,1633716839.0,1621646.0,1630976696.0,1621646.0,1005.7538427005647,1007.4435721482987
118,(주)강원랜드,35250,Dec-16,1696532511.0,1309513.0,1694575212.0,1309513.0,1294.0499345940057,1295.544611622794
119,(주)강원랜드,35250,Dec-17,1604470055.0,1299617.0,1602901764.0,1299617.0,1233.3647251459467,1234.5714583604247
120,(주)강원랜드,35250,Dec-18,1438059299.0,1148805.0,1436042435.0,1143581.0,1255.7417751781466,1251.787117047715
121,(주)강원랜드,35250,Dec-19,1520080449.0,3636529.0,1517612252.0,3631307.0,417.92452469592905,418.0031147833552
122,(주)강원에너지,114190,Nov-11,,,50222892.0,3989692.0,12.5881626952657,
123,(주)강원에너지,114190,Dec-12,,,106471214.0,3808870.0,27.953491192925984,
124,(주)강원에너지,114190,Dec-13,,,50660659.0,2086978.0,24.274649277567853,
125,(주)강원에너지,114190,Dec-14,,,51481321.0,1736909.0,29.639619001340886,
126,(주)강원에너지,114190,Dec-15,46188664.0,1233999.0,48852892.0,1233999.0,39.589085566519906,37.43006598870826
127,(주)강원에너지,114190,Dec-16,42287473.0,335220.0,44448760.0,335220.0,132.59578784082095,126.14841894875008
128,(주)강원에너지,114190,Dec-17,82034829.0,361382.0,83113029.0,361382.0,229.98663187430475,227.00308537779966
129,(주)강원에너지,114190,Dec-18,85905365.0,543737.0,85905365.0,543737.0,157.990655408773,157.990655408773
130,(주)강원에너지,114190,Dec-19,42549622.0,118784.0,42549622.0,118784.0,358.21004512392244,358.21004512392244
131,(주)갤럭시아에스엠,11420,Dec-11,47331427.0,20209.0,31931418.0,0.0,inf,2342.096442179227
132,(주)갤럭시아에스엠,11420,Dec-12,55049732.0,37487.0,37398255.0,0.0,inf,1468.501934003788
133,(주)갤럭시아에스엠,11420,Dec-13,46437304.0,126351.0,30903637.0,0.0,inf,367.5262087359815
134,(주)갤럭시아에스엠,11420,Dec-14,43885894.0,508736.0,33027933.0,404356.0,81.6803336663732,86.26457337400932
135,(주)갤럭시아에스엠,11420,Dec-15,62472754.0,11280.0,53784932.0,0.0,inf,5538.364716312057
136,(주)갤럭시아에스엠,11420,Dec-16,52626331.0,0.0,45665676.0,0.0,inf,inf
137,(주)갤럭시아에스엠,11420,Dec-17,37281280.0,0.0,36917656.0,0.0,inf,inf
138,(주)갤럭시아에스엠,11420,Dec-18,22060413.0,0.0,22030258.0,0.0,inf,inf
139,(주)갤럭시아에스엠,11420,Dec-19,28732679.0,0.0,28732679.0,0.0,inf,inf
140,(주)경농,2100,Dec-11,121253605.0,70194121.0,120728258.0,70007203.0,1.7245119477205795,1.7274039944171393
141,(주)경농,2100,Dec-12,136970449.0,102583675.0,131021366.0,69708618.0,1.8795576466599868,1.3352070785141983
142,(주)경농,2100,Dec-13,196358952.0,98860077.0,139237273.0,70268926.0,1.9814914063152183,1.9862310242788908
143,(주)경농,2100,Dec-14,188483147.0,98308244.0,134806677.0,69968941.0,1.9266645324816336,1.9172669486396279
144,(주)경농,2100,Dec-15,196418710.0,115444315.0,137609256.0,84302523.0,1.6323266623941968,1.7014151801238546
145,(주)경농,2100,Dec-16,203984939.0,115876266.0,143209666.0,89356248.0,1.6026821761808978,1.7603685900614021
146,(주)경농,2100,Dec-17,206534382.0,119704437.0,143175105.0,91796107.0,1.5597078098311947,1.7253694781589424
147,(주)경농,2100,Dec-18,212654617.0,120967753.0,146216658.0,91526504.0,1.5975335188154898,1.7579446730733272
