,회사명,거래소코드,회계년도,매출채권(IFRS연결)(천원),매입채무(IFRS연결)(천원),매출채권(IFRS)(천원),매입채무(IFRS)(천원),매출채권대매입채무비율(개별),매출채권대매입채무비율(연결)
210,(주)골드앤에스,35290,2013/12,7534315.0,1180068.0,7535782.0,1164614.0,647.0626319106589,638.4644783181985
211,(주)골드앤에스,35290,2014/12,7494549.0,872982.0,7503242.0,828614.0,905.5171648077393,858.4998316116482
212,(주)골드앤에스,35290,2015/12,7300896.0,706904.0,7300896.0,706904.0,1032.7987958761018,1032.7987958761018
213,(주)골드앤에스,35290,2016/12,6613954.0,247758.0,6613954.0,247758.0,2669.521872149436,2669.521872149436
214,(주)골드앤에스,35290,2017/12,6452974.0,218963.0,6452974.0,218963.0,2947.0613756662087,2947.0613756662087
215,(주)골드앤에스,35290,2018/12,4799709.0,89720.0,4799709.0,89720.0,5349.653366027641,5349.653366027641
216,(주)골드앤에스,35290,2019/12,4418864.0,111463.0,4418864.0,111463.0,3964.4222746561636,3964.4222746561636
217,(주)골드퍼시픽,38530,2011/12,,,1502923.0,0.0,inf,
218,(주)골드퍼시픽,38530,2012/12,,,4387103.0,360536.0,1216.8280005325405,
219,(주)골드퍼시픽,38530,2013/12,6082377.0,0.0,5689818.0,0.0,inf,inf
220,(주)골드퍼시픽,38530,2014/12,8912889.0,0.0,7249571.0,0.0,inf,inf
221,(주)골드퍼시픽,38530,2015/12,8175535.0,0.0,8175535.0,235874.0,3466.060269465901,inf
222,(주)골드퍼시픽,38530,2016/12,,,8468843.0,0.0,inf,
223,(주)골드퍼시픽,38530,2017/12,,,10040030.0,631826.0,1589.0498333401918,
224,(주)골드퍼시픽,38530,2018/12,9015191.0,135512.0,9097306.0,105811.0,8597.694001568836,6652.68832280536
225,(주)골드퍼시픽,38530,2019/12,,,11971868.0,1568859.0,763.0939427953691,
226,(주)골프존,215000,2015/12,16619616.0,4808035.0,16912747.0,2629604.0,643.1670700227106,345.66337391470734
227,(주)골프존,215000,2016/12,13774715.0,4557221.0,12711470.0,2581843.0,492.34093630015457,302.2612903785004
228,(주)골프존,215000,2017/12,18258663.0,4469536.0,16542689.0,3390826.0,487.8660538759583,408.5136130461865
229,(주)골프존,215000,2018/12,20008011.0,4279575.0,19652517.0,4098802.0,479.4697816581528,467.52331715182
230,(주)골프존,215000,2019/12,17763826.0,3056162.0,19050011.0,2799499.0,680.4792929020514,581.2462166599806
231,(주)골프존뉴딘홀딩스,121440,2011/12,9241114.0,5148042.0,9693683.0,4597262.0,210.85774532754496,179.5073544466032
232,(주)골프존뉴딘홀딩스,121440,2012/12,12363953.0,6832838.0,11012643.0,6329293.0,173.99483639009918,180.94901415780674
233,(주)골프존뉴딘홀딩스,121440,2013/12,17739672.0,10012375.0,13661065.0,9273972.0,147.30543719562664,177.17746288967402
234,(주)골프존뉴딘홀딩스,121440,2014/12,16824334.0,8638556.0,13195483.0,6628808.0,199.06268215944706,194.7586379019827
235,(주)골프존뉴딘홀딩스,121440,2015/12,6118520.0,4560011.0,1298568.0,0.0,inf,134.1777465010501
236,(주)골프존뉴딘홀딩스,121440,2016/12,4397394.0,7232656.0,2030134.0,0.0,inf,60.79915870463077
237,(주)골프존뉴딘홀딩스,121440,2017/12,6687798.0,7509517.0,1611931.0,0.0,inf,89.05763180241819
238,(주)골프존뉴딘홀딩스,121440,2018/12,12689009.0,13914428.0,2372526.0,0.0,inf,91.1931773264413
