,회사명,거래소코드,회계년도,당기자산(IFRS연결),전기자산(IFRS연결),당기자산(IFRS개별),전기자산(IFRS개별),총자산증가율(개별),총자산증가율(연결)
214,(주)골드앤에스,35290,Dec-17,17173934.0,17173934.0,16994788.0,16994788.0,0.0,-1.043127334715507
215,(주)골드앤에스,35290,Dec-18,42472631.0,41269454.0,42472631.0,41269454.0,2.9154177809088537,2.9154177809088537
216,(주)골드앤에스,35290,Dec-19,16096170.0,16096170.0,16096170.0,16096170.0,0.0,0.0
217,(주)골드퍼시픽,38530,Dec-11,,,27473520.0,27473520.0,0.0,
218,(주)골드퍼시픽,38530,Dec-12,,29861540.0,29861540.0,29861540.0,0.0,0.0
219,(주)골드퍼시픽,38530,Dec-13,33687572.0,33687572.0,30517744.0,30517744.0,0.0,-9.409487866920188
220,(주)골드퍼시픽,38530,Dec-14,41948832.0,41948832.0,31936409.0,31936409.0,0.0,-23.86818064445751
221,(주)골드퍼시픽,38530,Dec-15,28573328.0,,27495738.0,28573328.0,-3.771314283026456,
222,(주)골드퍼시픽,38530,Dec-16,,,11122066.0,11122066.0,0.0,
223,(주)골드퍼시픽,38530,Dec-17,,26567967.0,26567967.0,26567967.0,0.0,0.0
224,(주)골드퍼시픽,38530,Dec-18,37825442.0,,37288362.0,37825442.0,-1.4198908766221479,
225,(주)골드퍼시픽,38530,Dec-19,,,72945743.0,72945743.0,0.0,
226,(주)골프존,215000,Dec-15,178132253.0,178132253.0,171629353.0,171629353.0,0.0,-3.650602229793847
227,(주)골프존,215000,Dec-16,187914226.0,187914226.0,177635830.0,177635830.0,0.0,-5.469727448947907
228,(주)골프존,215000,Dec-17,253672419.0,253672419.0,239011847.0,239011847.0,0.0,-5.779332281291488
229,(주)골프존,215000,Dec-18,254057808.0,254057808.0,254578679.0,254578679.0,0.0,0.2050206620691597
230,(주)골프존,215000,Dec-19,312587283.0,312587283.0,304860836.0,304860836.0,0.0,-2.471772660054114
231,(주)골프존뉴딘홀딩스,121440,Dec-11,378054302.0,378054302.0,373246120.0,373246120.0,0.0,-1.2718231149767405
232,(주)골프존뉴딘홀딩스,121440,Dec-12,540922890.0,540922890.0,512614848.0,512614848.0,0.0,-5.233286023447818
233,(주)골프존뉴딘홀딩스,121440,Dec-13,637840057.0,637840057.0,589946855.0,589946855.0,0.0,-7.508653850505979
234,(주)골프존뉴딘홀딩스,121440,Dec-14,762037240.0,762037240.0,586599347.0,586599347.0,0.0,-23.02222041012064
235,(주)골프존뉴딘홀딩스,121440,Dec-15,767325175.0,767325175.0,585663015.0,585663015.0,0.0,-23.6747295564752
236,(주)골프존뉴딘홀딩스,121440,Dec-16,760772930.0,760772930.0,561892958.0,561892958.0,0.0,-26.14183078254375
237,(주)골프존뉴딘홀딩스,121440,Dec-17,756500949.0,756500949.0,536244772.0,557339681.0,-3.784928602634338,-29.115122365828
238,(주)골프존뉴딘홀딩스,121440,Dec-18,774743339.0,774743339.0,563387103.0,563387103.0,0.0,-27.280807121595657
239,(주)골프존뉴딘홀딩스,121440,Dec-19,776384700.0,776384700.0,537526345.0,537526345.0,0.0,-30.76546395105416
240,(주)광림,14200,Dec-11,,,86353051.0,86353051.0,0.0,
