,회사명,거래소코드,회계년도,당기유동자산(IFRS연결),전기유동자산(IFRS연결),당기유동자산(IFRS개별),전기유동자산(IFRS개별),유동자산증가율(개별),유동자산증가율(연결)
205,(주)고영테크놀러지,98460,Dec-17,161356541.0,161356541.0,159374622.0,159374622.0,0.0,-1.2282855022282604
206,(주)고영테크놀러지,98460,Dec-18,227563739.0,227563739.0,231667150.0,231667150.0,0.0,1.8031919399953154
207,(주)고영테크놀러지,98460,Dec-19,225797248.0,225797248.0,229213476.0,229213476.0,0.0,1.5129626380566066
208,(주)골드앤에스,35290,Dec-11,23477041.0,23477041.0,23165184.0,23165184.0,0.0,-1.3283488323762782
209,(주)골드앤에스,35290,Dec-12,26661256.0,26661256.0,27310447.0,27310447.0,0.0,2.434960303445564
210,(주)골드앤에스,35290,Dec-13,15792977.0,15792977.0,17985887.0,17985887.0,0.0,13.88534916501176
211,(주)골드앤에스,35290,Dec-14,15072221.0,15072221.0,15782408.0,15782408.0,0.0,4.711893489353699
212,(주)골드앤에스,35290,Dec-15,15364121.0,15364121.0,15122533.0,15122533.0,0.0,-1.5724166712823973
213,(주)골드앤에스,35290,Dec-16,8660668.0,7854568.0,8552277.0,7746177.0,10.406423710689808,8.882843715911548
214,(주)골드앤에스,35290,Dec-17,10831000.0,10831000.0,10974294.0,10974294.0,0.0,1.322998799741498
215,(주)골드앤에스,35290,Dec-18,21031370.0,21097360.0,21031370.0,21097360.0,-0.31278795071989407,-0.31278795071989407
216,(주)골드앤에스,35290,Dec-19,3910189.0,3910189.0,3910189.0,3910189.0,0.0,0.0
217,(주)골드퍼시픽,38530,Dec-11,,,15105931.0,15105931.0,0.0,
218,(주)골드퍼시픽,38530,Dec-12,,19029706.0,19029706.0,19029706.0,0.0,0.0
219,(주)골드퍼시픽,38530,Dec-13,16708814.0,16708814.0,15961156.0,15961156.0,0.0,-4.474632370675735
220,(주)골드퍼시픽,38530,Dec-14,23894969.0,23894969.0,15761409.0,15761409.0,0.0,-34.038797037150374
221,(주)골드퍼시픽,38530,Dec-15,14304863.0,,14304863.0,14304863.0,0.0,
222,(주)골드퍼시픽,38530,Dec-16,,,5438550.0,5438550.0,0.0,
223,(주)골드퍼시픽,38530,Dec-17,,17215160.0,17215160.0,17215160.0,0.0,0.0
224,(주)골드퍼시픽,38530,Dec-18,23990386.0,,22006122.0,23990386.0,-8.271079923432666,
225,(주)골드퍼시픽,38530,Dec-19,,,28455147.0,28455147.0,0.0,
226,(주)골프존,215000,Dec-15,81295773.0,81295773.0,71290784.0,71290784.0,0.0,-12.306899400538327
227,(주)골프존,215000,Dec-16,89781733.0,89781733.0,75788492.0,75788492.0,0.0,-15.585844171664633
228,(주)골프존,215000,Dec-17,160591890.0,160591890.0,142686039.0,142686039.0,0.0,-11.149909874029134
229,(주)골프존,215000,Dec-18,145265354.0,145265354.0,134088763.0,134088763.0,0.0,-7.693913718752228
230,(주)골프존,215000,Dec-19,81730468.0,81730468.0,70491340.0,70491340.0,0.0,-13.751454353595534
231,(주)골프존뉴딘홀딩스,121440,Dec-11,276277197.0,276277197.0,249046740.0,249046740.0,0.0,-9.856208654093152
232,(주)골프존뉴딘홀딩스,121440,Dec-12,267312187.0,267312187.0,267719852.0,267719852.0,0.0,0.15250520545851032
233,(주)골프존뉴딘홀딩스,121440,Dec-13,280228001.0,280228001.0,315880696.0,315880696.0,0.0,12.722745361909787
234,(주)골프존뉴딘홀딩스,121440,Dec-14,176744598.0,176744598.0,174950116.0,174950116.0,0.0,-1.015296659873016
235,(주)골프존뉴딘홀딩스,121440,Dec-15,97152205.0,97152205.0,45672526.0,45672526.0,0.0,-52.988688213509924
236,(주)골프존뉴딘홀딩스,121440,Dec-16,102314350.0,102314350.0,63048320.0,63048320.0,0.0,-38.37783263051566
237,(주)골프존뉴딘홀딩스,121440,Dec-17,117348020.0,117348020.0,46961353.0,46961353.0,0.0,-59.98112878257341
238,(주)골프존뉴딘홀딩스,121440,Dec-18,99968915.0,99968915.0,59445798.0,59445798.0,0.0,-40.535717527793516
239,(주)골프존뉴딘홀딩스,121440,Dec-19,125716505.0,125716505.0,30696570.0,30696570.0,0.0,-75.58270491213544
240,(주)광림,14200,Dec-11,,,49443117.0,49443117.0,0.0,
241,(주)광림,14200,Dec-12,,,53533329.0,53533329.0,0.0,
242,(주)광림,14200,Dec-13,,66494275.0,66494275.0,66494275.0,0.0,0.0
