,회사명,거래소코드,회계년도,매출액(IFRS연결),부채(IFRS연결),매출액(IFRS개별),부채(IFRS개별),타인자본회전율(개별),타인자본회전율(연결)
168,(주)경동인베스트,12320,Dec-18,228644016.0,194135226.0,7460898.0,8354115.0,0.8930805956106661,1.1777564572438801
169,(주)경동인베스트,12320,Dec-19,271765025.0,190933746.0,8641051.0,8263326.0,1.0457110127326454,1.4233472641342302
170,(주)경방,50,Dec-11,348136369.0,722619941.0,275746943.0,655306746.0,0.4207906368783208,0.4817696679090122
171,(주)경방,50,Dec-12,333620804.0,714335725.0,265409209.0,631984460.0,0.41996160633443425,0.46703642604463047
172,(주)경방,50,Dec-13,347189559.0,660550587.0,264782077.0,575688238.0,0.45994005005188243,0.5256063136312071
173,(주)경방,50,Dec-14,329036023.0,654172565.0,256979444.0,623437994.0,0.41219727779375603,0.5029804681582757
174,(주)경방,50,Dec-15,357628146.0,655690395.0,307744480.0,587741479.0,0.5236051750569063,0.5454222735716603
175,(주)경방,50,Dec-16,377445013.0,622067560.0,313876822.0,546778844.0,0.5740471224230468,0.6067588751935562
176,(주)경방,50,Dec-17,360788750.0,574908164.0,288103985.0,488098740.0,0.590257588044583,0.6275589260896285
177,(주)경방,50,Dec-18,351438926.0,593023494.0,279085217.0,497359673.0,0.5611335863171198,0.5926222646416771
178,(주)경방,50,Dec-19,343892085.0,629189292.0,253552382.0,555533558.0,0.45641235952122267,0.5465637914893187
179,(주)경보제약,214390,Dec-15,,,178032632.0,72671307.0,2.449833907624642,
180,(주)경보제약,214390,Dec-16,,,186726170.0,74333640.0,2.5120008921936288,
181,(주)경보제약,214390,Dec-17,,,191661374.0,63359803.0,3.024967959575253,
182,(주)경보제약,214390,Dec-18,,,201343596.0,72610828.0,2.772914199518562,
183,(주)경보제약,214390,Dec-19,,,191706189.0,88653237.0,2.1624274023970496,
184,(주)경인양행,12610,Dec-11,233095049.0,143304448.0,128707611.0,86943667.0,1.480356366841532,1.6265723238402203
185,(주)경인양행,12610,Dec-12,218604655.0,112463993.0,141304459.0,78932783.0,1.7901872153677896,1.943774617712533
186,(주)경인양행,12610,Dec-13,260808400.0,127200482.0,183106757.0,96496450.0,1.8975491533626367,2.0503727336504904
187,(주)경인양행,12610,Dec-14,277181095.0,114800458.0,190395047.0,80897578.0,2.3535321045087407,2.414459836040027
188,(주)경인양행,12610,Dec-15,263163677.0,125562133.0,175006703.0,87875136.0,1.9915383459548786,2.0958840911057157
189,(주)경인양행,12610,Dec-16,274873817.0,136005319.0,179267850.0,99013669.0,1.8105363815979791,2.021051963416225
190,(주)경인양행,12610,Dec-17,299987729.0,147016537.0,193975818.0,106064982.0,1.8288393996050458,2.0405033006592994
191,(주)경인양행,12610,Dec-18,331102011.0,189237207.0,222659442.0,146670857.0,1.5180891865928077,1.7496665494539876
192,(주)경인양행,12610,Dec-19,358802386.0,234647863.0,245244968.0,179977211.0,1.3626445628163446,1.529109966793092
193,(주)고려시멘트,198440,Dec-14,,,,,,
194,(주)고려시멘트,198440,Dec-15,,,,,,
195,(주)고려시멘트,198440,Dec-16,,,,,,
196,(주)고려시멘트,198440,Dec-17,,,87660276.0,38487512.0,2.277629065760343,
197,(주)고려시멘트,198440,Dec-18,,,85775723.0,41025871.0,2.0907715280438532,
198,(주)고려시멘트,198440,Dec-19,,,70921781.0,38590195.0,1.8378186738885356,
199,(주)고영테크놀러지,98460,Dec-11,86130810.0,17383474.0,80200892.0,16635495.0,4.8210703679091,4.9547524275067225
200,(주)고영테크놀러지,98460,Dec-12,107841666.0,19950870.0,100791139.0,18928736.0,5.324768595219459,5.405361570698421
201,(주)고영테크놀러지,98460,Dec-13,111902729.0,22632008.0,103933681.0,21277632.0,4.884645105244794,4.944445450885312
202,(주)고영테크놀러지,98460,Dec-14,142840131.0,25885224.0,135531589.0,23524948.0,5.7611854869987384,5.518211123071603
203,(주)고영테크놀러지,98460,Dec-15,145904431.0,27381980.0,138554625.0,26600137.0,5.208793661476255,5.3284835866507825
204,(주)고영테크놀러지,98460,Dec-16,171793841.0,37853661.0,153254768.0,36760049.0,4.169057772474678,4.538367926948994
205,(주)고영테크놀러지,98460,Dec-17,203368626.0,43890214.0,188934907.0,40860118.0,4.623944233347539,4.633575630321602
206,(주)고영테크놀러지,98460,Dec-18,238208865.0,53192797.0,219818022.0,50714272.0,4.33444104255307,4.478216571315097
207,(주)고영테크놀러지,98460,Dec-19,222057035.0,61812656.0,209480760.0,55999383.0,3.7407690724021014,3.592420215691751
208,(주)골드앤에스,35290,Dec-11,47522791.0,24240316.0,47522791.0,23709321.0,2.0043927449461756,1.9604856223821505
209,(주)골드앤에스,35290,Dec-12,43889087.0,26432789.0,43889087.0,24809934.0,1.7690126463053066,1.6604031833341537
210,(주)골드앤에스,35290,Dec-13,39548810.0,38315150.0,36607591.0,24695648.0,1.4823498861013893,1.0321977076952589
211,(주)골드앤에스,35290,Dec-14,31287203.0,34445853.0,29428881.0,19800028.0,1.4863050193666392,0.9083010079616841
212,(주)골드앤에스,35290,Dec-15,22197935.0,8941840.0,22197935.0,8605906.0,2.579383855691661,2.4824795567802598
213,(주)골드앤에스,35290,Dec-16,15893494.0,4403117.0,15893494.0,4193998.0,3.7895807294137955,3.609600653355339
214,(주)골드앤에스,35290,Dec-17,12802035.0,3827858.0,12802035.0,3890051.0,3.290968421750769,3.3444383255596213
215,(주)골드앤에스,35290,Dec-18,8680452.0,28693062.0,8680452.0,28605618.0,0.30345269939632136,0.3025279072690116
216,(주)골드앤에스,35290,Dec-19,7642733.0,21187743.0,7642733.0,21097263.0,0.36226182514765065,0.36071482460401755
217,(주)골드퍼시픽,38530,Dec-11,,,11236925.0,5643796.0,1.9910225316435959,
218,(주)골드퍼시픽,38530,Dec-12,,,10491048.0,6933139.0,1.5131743356075797,
219,(주)골드퍼시픽,38530,Dec-13,7167832.0,17496573.0,6488691.0,13401333.0,0.48418250632231885,0.4096706252132918
220,(주)골드퍼시픽,38530,Dec-14,16486257.0,25380917.0,4855121.0,15034120.0,0.322940152133946,0.6495532450620283
221,(주)골드퍼시픽,38530,Dec-15,18635305.0,7380179.0,6121489.0,7380179.0,0.8294499361058858,2.5250478342056475
222,(주)골드퍼시픽,38530,Dec-16,,,9588100.0,9232425.0,1.0385245479925371,
223,(주)골드퍼시픽,38530,Dec-17,,,5031439.0,21203473.0,0.23729315475818513,
