,회사명,거래소코드,회계년도,[제조]매출원가(*)(IFRS연결),[제조]매출액(수익)(*)(IFRS연결),[제조]매출원가(*)(IFRS),[제조]매출액(수익)(*)(IFRS),매출원가대매출액비율(개별),매출원가대매출액비율(연결)
124,(주)강원에너지,114190,2013/12,,,38917147.0,50660659.0,76.81926719508327,
125,(주)강원에너지,114190,2014/12,,,40566049.0,51481321.0,78.7976070000224,
126,(주)강원에너지,114190,2015/12,38265188.0,46188664.0,40524653.0,48852892.0,82.95241354391057,82.84540986073986
127,(주)강원에너지,114190,2016/12,35270278.0,42287473.0,37206789.0,44448760.0,83.70714728599853,83.40597226039021
128,(주)강원에너지,114190,2017/12,81169717.0,82034829.0,82247917.0,83113029.0,98.95911385927229,98.94543328663488
129,(주)강원에너지,114190,2018/12,80012233.0,85905365.0,80012233.0,85905365.0,93.1399721076792,93.1399721076792
130,(주)강원에너지,114190,2019/12,48688856.0,42549622.0,48688856.0,42549622.0,114.42841019833267,114.42841019833267
131,(주)갤럭시아에스엠,11420,2011/12,38695073.0,47331427.0,26327117.0,31931418.0,82.44894417153662,81.75344681663623
132,(주)갤럭시아에스엠,11420,2012/12,47555420.0,55049732.0,33745924.0,37398255.0,90.23395342911053,86.38628794777784
133,(주)갤럭시아에스엠,11420,2013/12,41764586.0,46437304.0,28202016.0,30903637.0,91.2579189303835,89.93757691014966
134,(주)갤럭시아에스엠,11420,2014/12,40216941.0,43885894.0,31283923.0,33027933.0,94.71959083845786,91.63978976935049
135,(주)갤럭시아에스엠,11420,2015/12,56009656.0,62472754.0,48457121.0,53784932.0,90.09423122446265,89.65453323860191
136,(주)갤럭시아에스엠,11420,2016/12,51678856.0,52626331.0,45279432.0,45665676.0,99.1541918704981,98.1996179821086
137,(주)갤럭시아에스엠,11420,2017/12,37435336.0,37281280.0,37068260.0,36917656.0,100.40794572656509,100.41322615532513
138,(주)갤럭시아에스엠,11420,2018/12,27428110.0,22060413.0,24112403.0,22030258.0,109.45129648504344,124.33180648068556
139,(주)갤럭시아에스엠,11420,2019/12,26937800.0,28732679.0,26937800.0,28732679.0,93.75317908921754,93.75317908921754
140,(주)경농,2100,2011/12,79220101.0,121253605.0,79073941.0,120728258.0,65.49745876396229,65.33422325876414
141,(주)경농,2100,2012/12,87614008.0,136970449.0,83085935.0,131021366.0,63.414035081881224,63.96562808960348
142,(주)경농,2100,2013/12,129161139.0,196358952.0,85548073.0,139237273.0,61.44049733005041,65.77807514474817
143,(주)경농,2100,2014/12,122779838.0,188483147.0,81145006.0,134806677.0,60.193610439637204,65.141016559958
144,(주)경농,2100,2015/12,127105636.0,196418710.0,84402122.0,137609256.0,61.33462563012476,64.7115725380744
145,(주)경농,2100,2016/12,135371879.0,203984939.0,90377050.0,143209666.0,63.10820527994249,66.3636637408804
146,(주)경농,2100,2017/12,138859895.0,206534382.0,90974073.0,143175105.0,63.54042694782728,67.23330694644343
