,회사명,거래소코드,회계년도,부가가치(IFRS연결),유형자산(IFRS연결),건설중인자산(IFRS연결),부가가치(IFRS개별),유형자산(IFRS개별),건설중인자산(IFRS개별),설비투자효율(개별),설비투자효율(연결)
168,(주)경동인베스트,12320,18-Dec,128174.79,0.0,0.0,2304.64,12131746.0,0.0,1.8996770951188724,inf
169,(주)경동인베스트,12320,19-Dec,129681.42,0.0,0.0,78.98,2798610.0,0.0,0.282211526436338,inf
170,(주)경방,50,11-Dec,85127.47,0.0,1268081.0,79256.78,307701501.0,992682.0,2.5841050237293635,-671.3094037368276
171,(주)경방,50,12-Dec,80728.78,0.0,11609300.0,75544.51,301773723.0,795823.0,2.509968672118451,-69.53802554848268
172,(주)경방,50,13-Dec,109135.73,0.0,491110.0,99612.08,280675994.0,35500.0,3.5494549834992806,-2222.225774266458
173,(주)경방,50,14-Dec,105032.79,0.0,14367607.0,97566.02,269480797.0,0.0,3.620518459428484,-73.1038857062279
174,(주)경방,50,15-Dec,117114.75,0.0,0.0,107949.86,258275719.0,0.0,4.179636414060278,inf
175,(주)경방,50,16-Dec,125709.78,0.0,4119815.0,109992.25,248710695.0,0.0,4.422497794073553,-305.1345266717073
176,(주)경방,50,17-Dec,125830.72,0.0,31288305.0,109353.53,229435458.0,0.0,4.766200087520909,-40.216534580572514
177,(주)경방,50,18-Dec,98012.24,0.0,8604420.0,88599.95,214332809.0,0.0,4.1337558357666095,-113.90917691140135
178,(주)경방,50,19-Dec,127253.44,164146930.0,10999934.0,80679.67,64860661.0,4981471.0,13.473741044259283,8.309235135111628
179,(주)경보제약,214390,15-Dec,,,,64338.21,74892236.0,2382400.0,8.873032066987436,
180,(주)경보제약,214390,16-Dec,,,,62027.13,83949070.0,253350.0,7.411027708465857,
181,(주)경보제약,214390,17-Dec,,,,70313.62,78497115.0,110810.0,8.970140893871703,
182,(주)경보제약,214390,18-Dec,,,,68893.82,76497132.0,687000.0,9.08767973125281,
183,(주)경보제약,214390,19-Dec,,,,63450.36,88116421.0,3088918.0,7.46233368748933,
184,(주)경인양행,12610,11-Dec,55925.52,0.0,856441.0,25633.29,69431560.0,8000.0,3.692304168786504,-652.9990974276103
185,(주)경인양행,12610,12-Dec,50537.66,0.0,33200.0,29938.88,67259638.0,33200.0,4.453438392794216,-15222.186746987953
186,(주)경인양행,12610,13-Dec,60639.47,0.0,709553.0,48021.56,72282759.0,517400.0,6.69146795461582,-854.6150886544063
187,(주)경인양행,12610,14-Dec,73075.28,0.0,10961.0,47119.14,77811393.0,10960.0,6.056411022802406,-66668.44266034121
188,(주)경인양행,12610,15-Dec,67632.25,0.0,715567.0,35639.84,76154669.0,715566.0,4.724319163763121,-945.1560790254442
189,(주)경인양행,12610,16-Dec,75607.0,0.0,6705222.0,40282.61,77953872.0,4952266.0,5.518044356448815,-112.75838443529535
190,(주)경인양행,12610,17-Dec,77094.24,0.0,1820834.0,39415.23,86525558.0,1652336.0,4.64401245424617,-423.40070539104613
191,(주)경인양행,12610,18-Dec,98776.24,0.0,5415837.0,56886.72,90678289.0,2860150.0,6.477787009355778,-182.38407101247694
