,회사명,거래소코드,회계년도,매출액(IFRS연결),매출원가(IFRS연결),매출액(IFRS개별),매출원가(IFRS개별),매출액총이익률(개별),매출액총이익률(연결)
155,(주)경동나비엔,9450,Dec-17,684660958.0,446078996.0,569819524.0,423216560.0,25.727964351042488,34.846730956725594
156,(주)경동나비엔,9450,Dec-18,726741615.0,487844378.0,618058456.0,466381901.0,24.540810586369517,32.87237610577729
157,(주)경동나비엔,9450,Dec-19,774290704.0,509635845.0,655419303.0,479160026.0,26.892597790944215,34.18029657760169
158,(주)경동도시가스,267290,Dec-17,871548284.0,793238142.0,870828897.0,793617236.0,8.866456001402076,8.98517539849806
159,(주)경동도시가스,267290,Dec-18,1606531867.0,1480519376.0,1605687067.0,1480519376.0,7.795273037470382,7.843759192608658
160,(주)경동도시가스,267290,Dec-19,1422707835.0,1310188918.0,1421866212.0,1310791588.0,7.811889969856038,7.9087859244129355
161,(주)경동인베스트,12320,Dec-11,1847666903.0,1739469751.0,1806174764.0,1697470671.0,6.0184703699026985,5.855879748905153
162,(주)경동인베스트,12320,Dec-12,2502642394.0,2381579037.0,2403814656.0,2292736954.0,4.620892951240913,4.837421330760051
163,(주)경동인베스트,12320,Dec-13,2788264380.0,2659198011.0,2664100017.0,2552976223.0,4.17115698700887,4.628914314072326
164,(주)경동인베스트,12320,Dec-14,2603059058.0,2470957525.0,2399450987.0,2293899450.0,4.39898700043753,5.074857314282264
165,(주)경동인베스트,12320,Dec-15,1604168482.0,1520436435.0,1352478311.0,1263722829.0,6.5624329261425025,5.219654165976813
166,(주)경동인베스트,12320,Dec-16,1181902637.0,1064804018.0,1021002691.0,924418543.0,9.459734910728065,9.907636664321954
167,(주)경동인베스트,12320,Dec-17,195069859.0,140724518.0,612436.0,0.0,100.0,27.85942496631425
168,(주)경동인베스트,12320,Dec-18,228644016.0,171130400.0,7460898.0,3635575.0,51.27161636575115,25.154218774743704
169,(주)경동인베스트,12320,Dec-19,271765025.0,223338232.0,8641051.0,3929209.0,54.5285752855758,17.81936178137713
170,(주)경방,50,Dec-11,348136369.0,258814443.0,275746943.0,246411496.0,10.63853933640889,25.657165971073827
171,(주)경방,50,Dec-12,333620804.0,260837041.0,265409209.0,250600103.0,5.579725758498455,21.81631424879607
172,(주)경방,50,Dec-13,347189559.0,251468225.0,264782077.0,223418883.0,15.621598889414257,27.570337735876443
173,(주)경방,50,Dec-14,329036023.0,238357806.0,256979444.0,209067504.0,18.644269461490467,27.558750611327444
174,(주)경방,50,Dec-15,357628146.0,255868653.0,307744480.0,209467360.0,31.934649160888277,28.4539945018757
175,(주)경방,50,Dec-16,377445013.0,268352680.0,313876822.0,210095763.0,33.06426334340801,28.902841272935298
176,(주)경방,50,Dec-17,360788750.0,253442168.0,288103985.0,188372022.0,34.61665516358616,29.753306332306646
177,(주)경방,50,Dec-18,351438926.0,244043108.0,279085217.0,177815403.0,36.28634117155693,30.558885215805603
178,(주)경방,50,Dec-19,343892085.0,244396020.0,253552382.0,151563044.0,40.22416874789999,28.932350972834982
179,(주)경보제약,214390,Dec-15,,,178032632.0,129475387.0,27.274351030208887,
180,(주)경보제약,214390,Dec-16,,,186726170.0,142622767.0,23.619293963990156,
181,(주)경보제약,214390,Dec-17,,,191661374.0,137038683.0,28.499582289334942,
182,(주)경보제약,214390,Dec-18,,,201343596.0,152082417.0,24.466225883836902,
183,(주)경보제약,214390,Dec-19,,,191706189.0,150990036.0,21.238830740096766,
184,(주)경인양행,12610,Dec-11,233095049.0,198818643.0,128707611.0,109831813.0,14.66564242265362,14.704905208003796
185,(주)경인양행,12610,Dec-12,218604655.0,190167857.0,141304459.0,120613769.0,14.642630633474916,13.00832226102413
186,(주)경인양행,12610,Dec-13,260808400.0,217483383.0,183106757.0,147883856.0,19.236264994852156,16.611818100950735
187,(주)경인양행,12610,Dec-14,277181095.0,228191361.0,190395047.0,153646031.0,19.301455882935862,17.674269596200276
188,(주)경인양행,12610,Dec-15,263163677.0,220123025.0,175006703.0,148385606.0,15.211472785702384,16.355088396184705
189,(주)경인양행,12610,Dec-16,274873817.0,228042128.0,179267850.0,150776725.0,15.893047749498864,17.0375227117394
190,(주)경인양행,12610,Dec-17,299987729.0,252841704.0,193975818.0,164845854.0,15.017317261680526,15.715984502819447
191,(주)경인양행,12610,Dec-18,331102011.0,255365574.0,222659442.0,169805543.0,23.73755117916805,22.874049230706724
192,(주)경인양행,12610,Dec-19,358802386.0,274054354.0,245244968.0,188265694.0,23.233615949257725,23.619695773149065
193,(주)고려시멘트,198440,Dec-14,,,,,,
194,(주)고려시멘트,198440,Dec-15,,,,,,
195,(주)고려시멘트,198440,Dec-16,,,,,,
