,회사명,거래소코드,회계년도,[제조]   금융비용(IFRS연결),[제조]매출액(수익)(*)(IFRS연결),[제조]   금융비용(IFRS),[제조]매출액(수익)(*)(IFRS),금융비용부담률(개별),금융비용부담률(연결)
198,(주)고려시멘트,198440,2019/12,,,0.0,70921781.0,0.0,
199,(주)고영테크놀러지,98460,2011/12,0.0,86130810.0,0.0,80200892.0,0.0,0.0
200,(주)고영테크놀러지,98460,2012/12,0.0,107841666.0,0.0,100791139.0,0.0,0.0
201,(주)고영테크놀러지,98460,2013/12,0.0,111902729.0,0.0,103933681.0,0.0,0.0
202,(주)고영테크놀러지,98460,2014/12,0.0,142840131.0,0.0,135531589.0,0.0,0.0
203,(주)고영테크놀러지,98460,2015/12,0.0,145904431.0,0.0,138554625.0,0.0,0.0
204,(주)고영테크놀러지,98460,2016/12,0.0,171793841.0,0.0,153254768.0,0.0,0.0
205,(주)고영테크놀러지,98460,2017/12,0.0,203368626.0,0.0,188934907.0,0.0,0.0
206,(주)고영테크놀러지,98460,2018/12,0.0,238208865.0,0.0,219818022.0,0.0,0.0
207,(주)고영테크놀러지,98460,2019/12,0.0,222057035.0,0.0,209480760.0,0.0,0.0
208,(주)골드앤에스,35290,2011/12,0.0,47522791.0,0.0,47522791.0,0.0,0.0
209,(주)골드앤에스,35290,2012/12,0.0,43889087.0,0.0,43889087.0,0.0,0.0
210,(주)골드앤에스,35290,2013/12,0.0,39548810.0,0.0,36607591.0,0.0,0.0
211,(주)골드앤에스,35290,2014/12,0.0,31287203.0,0.0,29428881.0,0.0,0.0
212,(주)골드앤에스,35290,2015/12,0.0,22197935.0,0.0,22197935.0,0.0,0.0
213,(주)골드앤에스,35290,2016/12,0.0,15893494.0,0.0,15893494.0,0.0,0.0
214,(주)골드앤에스,35290,2017/12,0.0,12802035.0,0.0,12802035.0,0.0,0.0
215,(주)골드앤에스,35290,2018/12,0.0,8680452.0,0.0,8680452.0,0.0,0.0
216,(주)골드앤에스,35290,2019/12,0.0,7642733.0,0.0,7642733.0,0.0,0.0
217,(주)골드퍼시픽,38530,2011/12,,,0.0,11236925.0,0.0,
218,(주)골드퍼시픽,38530,2012/12,,,0.0,10491048.0,0.0,
219,(주)골드퍼시픽,38530,2013/12,0.0,7167832.0,0.0,6488691.0,0.0,0.0
220,(주)골드퍼시픽,38530,2014/12,0.0,16486257.0,0.0,4855121.0,0.0,0.0
221,(주)골드퍼시픽,38530,2015/12,0.0,18635305.0,0.0,6121489.0,0.0,0.0
222,(주)골드퍼시픽,38530,2016/12,,,0.0,9588100.0,0.0,
223,(주)골드퍼시픽,38530,2017/12,,,0.0,5031439.0,0.0,
224,(주)골드퍼시픽,38530,2018/12,0.0,5708281.0,0.0,5580994.0,0.0,0.0
225,(주)골드퍼시픽,38530,2019/12,,,0.0,11323125.0,0.0,
226,(주)골프존,215000,2015/12,0.0,201560389.0,0.0,184085342.0,0.0,0.0
227,(주)골프존,215000,2016/12,0.0,216964342.0,0.0,196864993.0,0.0,0.0
228,(주)골프존,215000,2017/12,0.0,200105321.0,0.0,171859065.0,0.0,0.0
229,(주)골프존,215000,2018/12,0.0,198705194.0,0.0,191571105.0,0.0,0.0
230,(주)골프존,215000,2019/12,0.0,247018099.0,0.0,239051647.0,0.0,0.0
231,(주)골프존뉴딘홀딩스,121440,2011/12,0.0,215793737.0,0.0,209788389.0,0.0,0.0
232,(주)골프존뉴딘홀딩스,121440,2012/12,0.0,289629366.0,0.0,276341690.0,0.0,0.0
233,(주)골프존뉴딘홀딩스,121440,2013/12,0.0,365126358.0,0.0,340005073.0,0.0,0.0
234,(주)골프존뉴딘홀딩스,121440,2014/12,0.0,429589619.0,0.0,387066126.0,0.0,0.0
