,회사명,거래소코드,회계년도,매출액(IFRS연결),유형자산(IFRS연결),매출액(IFRS개별),유형자산(IFRS개별),유형자산회전율(개별),유형자산회전율(연결)
131,(주)갤럭시아에스엠,11420,Dec-11,47331427.0,746008.0,31931418.0,263856.0,121.01835091868291,63.446272694126606
132,(주)갤럭시아에스엠,11420,Dec-12,55049732.0,3386965.0,37398255.0,244196.0,153.14851594620714,16.253410354107586
133,(주)갤럭시아에스엠,11420,Dec-13,46437304.0,3092608.0,30903637.0,258052.0,119.75740160897803,15.01558037746782
134,(주)갤럭시아에스엠,11420,Dec-14,43885894.0,3055021.0,33027933.0,170073.0,194.19856767388123,14.365169339261497
135,(주)갤럭시아에스엠,11420,Dec-15,62472754.0,2905233.0,53784932.0,428742.0,125.44824626465333,21.503526223197934
136,(주)갤럭시아에스엠,11420,Dec-16,52626331.0,2588337.0,45665676.0,468225.0,97.52934166266218,20.332101654459986
137,(주)갤럭시아에스엠,11420,Dec-17,37281280.0,364072.0,36917656.0,348574.0,105.91052688955573,102.40084378914061
138,(주)갤럭시아에스엠,11420,Dec-18,22060413.0,251603.0,22030258.0,251603.0,87.5595998457888,87.67945135789319
139,(주)갤럭시아에스엠,11420,Dec-19,28732679.0,511985.0,28732679.0,511985.0,56.12015781712355,56.12015781712355
140,(주)경농,2100,Dec-11,121253605.0,49541176.0,120728258.0,47135730.0,2.5612896628523627,2.4475318268585307
141,(주)경농,2100,Dec-12,136970449.0,93105654.0,131021366.0,51459712.0,2.5460959828146725,1.471129229165825
142,(주)경농,2100,Dec-13,196358952.0,101211463.0,139237273.0,55088070.0,2.5275395017469298,1.9400860947934326
143,(주)경농,2100,Dec-14,188483147.0,118629306.0,134806677.0,60743502.0,2.2192773310962544,1.5888413525743799
144,(주)경농,2100,Dec-15,196418710.0,122071383.0,137609256.0,60862714.0,2.260977977419804,1.609047961715974
145,(주)경농,2100,Dec-16,203984939.0,133213483.0,143209666.0,60986166.0,2.3482319908419886,1.5312634607714597
146,(주)경농,2100,Dec-17,206534382.0,140283689.0,143175105.0,61075339.0,2.3442375817185392,1.4722622670694097
147,(주)경농,2100,Dec-18,212654617.0,142669413.0,146216658.0,67819776.0,2.1559590229257024,1.4905410524118439
148,(주)경농,2100,Dec-19,227510941.0,139475078.0,151342037.0,64128521.0,2.359980156099343,1.6311942195149731
149,(주)경동나비엔,9450,Dec-11,341246917.0,103309756.0,318269213.0,71463183.0,4.453610931379869,3.3031431900778085
150,(주)경동나비엔,9450,Dec-12,379014259.0,120050563.0,341339118.0,86003940.0,3.968877681650399,3.1571218787203854
151,(주)경동나비엔,9450,Dec-13,414177562.0,184422743.0,371601179.0,148703601.0,2.498938670624392,2.2458052367218073
152,(주)경동나비엔,9450,Dec-14,428985365.0,190970831.0,382392117.0,133081097.0,2.8733766524332154,2.246339730280589
153,(주)경동나비엔,9450,Dec-15,512031120.0,195089500.0,448302084.0,134166342.0,3.3413900782954937,2.624595993121106
154,(주)경동나비엔,9450,Dec-16,583252904.0,203718091.0,506082201.0,138398427.0,3.656704862693273,2.8630393164247745
155,(주)경동나비엔,9450,Dec-17,684660958.0,221945791.0,569819524.0,143721378.0,3.9647513259996714,3.084811633125316
156,(주)경동나비엔,9450,Dec-18,726741615.0,248979361.0,618058456.0,157575992.0,3.9222882125343053,2.918882963154524
157,(주)경동나비엔,9450,Dec-19,774290704.0,278770581.0,655419303.0,165763623.0,3.9539392970434775,2.777519425552297
158,(주)경동도시가스,267290,Dec-17,871548284.0,316816604.0,870828897.0,316263778.0,2.753489199765393,2.7509551993051473
159,(주)경동도시가스,267290,Dec-18,1606531867.0,320713747.0,1605687067.0,320275132.0,5.013461572782991,5.009239179884609
160,(주)경동도시가스,267290,Dec-19,1422707835.0,325975219.0,1421866212.0,325567581.0,4.367345813832736,4.3644662295632966
161,(주)경동인베스트,12320,Dec-11,1847666903.0,302120078.0,1806174764.0,265516704.0,6.802490151429418,6.11567068045044
162,(주)경동인베스트,12320,Dec-12,2502642394.0,302039515.0,2403814656.0,279769365.0,8.592129649363146,8.28581119261829
163,(주)경동인베스트,12320,Dec-13,2788264380.0,322577481.0,2664100017.0,293643578.0,9.072563531425162,8.643704363231729
164,(주)경동인베스트,12320,Dec-14,2603059058.0,436240540.0,2399450987.0,299563689.0,8.009819197412808,5.967026948022759
165,(주)경동인베스트,12320,Dec-15,1604168482.0,478535233.0,1352478311.0,317414775.0,4.26091794561233,3.3522473819602747
166,(주)경동인베스트,12320,Dec-16,1181902637.0,490371394.0,1021002691.0,320740081.0,3.1832712887542107,2.41021937955867
167,(주)경동인베스트,12320,Dec-17,195069859.0,177264156.0,612436.0,9664453.0,0.06336995999670131,1.10044728388293
168,(주)경동인베스트,12320,Dec-18,228644016.0,176391871.0,7460898.0,12131746.0,0.6149896313358357,1.2962276249113542
169,(주)경동인베스트,12320,Dec-19,271765025.0,170491064.0,8641051.0,2798610.0,3.087622426847614,1.594013308521554
170,(주)경방,50,Dec-11,348136369.0,308454057.0,275746943.0,307701501.0,0.8961507893326787,1.1286490195199474
171,(주)경방,50,Dec-12,333620804.0,324064120.0,265409209.0,301773723.0,0.879497414027662,1.029490102143983
172,(주)경방,50,Dec-13,347189559.0,306515477.0,264782077.0,280675994.0,0.9433727239245121,1.1326982976458315
173,(주)경방,50,Dec-14,329036023.0,307855729.0,256979444.0,269480797.0,0.9536094848346467,1.0687994148064075
174,(주)경방,50,Dec-15,357628146.0,325770660.0,307744480.0,258275719.0,1.1915346947499932,1.0977911454641127
175,(주)경방,50,Dec-16,377445013.0,315500908.0,313876822.0,248710695.0,1.262015781026224,1.1963357423998284
176,(주)경방,50,Dec-17,360788750.0,310601150.0,288103985.0,229435458.0,1.2557081957227378,1.1615821448182018
177,(주)경방,50,Dec-18,351438926.0,285829683.0,279085217.0,214332809.0,1.3021115073427698,1.2295396416193765
178,(주)경방,50,Dec-19,343892085.0,145683128.0,253552382.0,64860661.0,3.9091859085432388,2.36054847065063
179,(주)경보제약,214390,Dec-15,,,178032632.0,74892236.0,2.377184091552561,
180,(주)경보제약,214390,Dec-16,,,186726170.0,83949070.0,2.2242791968987863,
181,(주)경보제약,214390,Dec-17,,,191661374.0,78497115.0,2.4416358996123617,
182,(주)경보제약,214390,Dec-18,,,201343596.0,76497132.0,2.632041107109741,
183,(주)경보제약,214390,Dec-19,,,191706189.0,88116421.0,2.175601174269209,
184,(주)경인양행,12610,Dec-11,233095049.0,136165573.0,128707611.0,69431560.0,1.853733532704724,1.7118500944434758
185,(주)경인양행,12610,Dec-12,218604655.0,124092900.0,141304459.0,67259638.0,2.100880456716107,1.7616209710628086
186,(주)경인양행,12610,Dec-13,260808400.0,127667556.0,183106757.0,72282759.0,2.5332009947213,2.0428714089271045
187,(주)경인양행,12610,Dec-14,277181095.0,135555605.0,190395047.0,77811393.0,2.4468787880458587,2.0447778238310397
188,(주)경인양행,12610,Dec-15,263163677.0,136115404.0,175006703.0,76154669.0,2.298042986701183,1.9333864446378164
189,(주)경인양행,12610,Dec-16,274873817.0,137784128.0,179267850.0,77953872.0,2.2996657561795004,1.9949599492330496
190,(주)경인양행,12610,Dec-17,299987729.0,149692038.0,193975818.0,86525558.0,2.2418326155145976,2.004032632650776
191,(주)경인양행,12610,Dec-18,331102011.0,155376235.0,222659442.0,90678289.0,2.4554879062616632,2.1309694561719814
192,(주)경인양행,12610,Dec-19,358802386.0,194110502.0,245244968.0,119519529.0,2.0519238157305657,1.8484439651802045
193,(주)고려시멘트,198440,Dec-14,,,,,,
194,(주)고려시멘트,198440,Dec-15,,,,,,
195,(주)고려시멘트,198440,Dec-16,,,,,,
196,(주)고려시멘트,198440,Dec-17,,,87660276.0,47901220.0,1.8300217823262122,
197,(주)고려시멘트,198440,Dec-18,,,85775723.0,48776544.0,1.7585444963054373,
198,(주)고려시멘트,198440,Dec-19,,,70921781.0,51139394.0,1.3868326441255836,
199,(주)고영테크놀러지,98460,Dec-11,86130810.0,15041656.0,80200892.0,14869610.0,5.393610995849925,5.726152093891789
200,(주)고영테크놀러지,98460,Dec-12,107841666.0,15547786.0,100791139.0,15336664.0,6.571907619544902,6.936142933791345
201,(주)고영테크놀러지,98460,Dec-13,111902729.0,14825443.0,103933681.0,14690294.0,7.074989853844994,7.548019239627443
202,(주)고영테크놀러지,98460,Dec-14,142840131.0,19958721.0,135531589.0,19812580.0,6.840683495031945,7.156777781502131
203,(주)고영테크놀러지,98460,Dec-15,145904431.0,19713468.0,138554625.0,19340953.0,7.1637951346037605,7.401256389794023
204,(주)고영테크놀러지,98460,Dec-16,171793841.0,23842197.0,153254768.0,23462507.0,6.531900789630026,7.205453465551014
205,(주)고영테크놀러지,98460,Dec-17,203368626.0,25337806.0,188934907.0,24158929.0,7.820500114057208,8.026291858103264
206,(주)고영테크놀러지,98460,Dec-18,238208865.0,33117594.0,219818022.0,32377941.0,6.789129117259185,7.192819170378138
207,(주)고영테크놀러지,98460,Dec-19,222057035.0,37283940.0,209480760.0,35418136.0,5.914505495150846,5.955836078483122
208,(주)골드앤에스,35290,Dec-11,47522791.0,1027834.0,47522791.0,995140.0,47.754879715416926,46.23586201662914
209,(주)골드앤에스,35290,Dec-12,43889087.0,988045.0,43889087.0,851327.0,51.553735521133476,44.42012964996533
210,(주)골드앤에스,35290,Dec-13,39548810.0,23605894.0,36607591.0,810357.0,45.17464648296985,1.6753786151882237
211,(주)골드앤에스,35290,Dec-14,31287203.0,22767398.0,29428881.0,502559.0,58.55806183950541,1.374210746436637
212,(주)골드앤에스,35290,Dec-15,22197935.0,330937.0,22197935.0,299779.0,74.04766511330013,67.07601446801053
213,(주)골드앤에스,35290,Dec-16,15893494.0,204183.0,15893494.0,193816.0,82.00300284806208,77.83945774133987
214,(주)골드앤에스,35290,Dec-17,12802035.0,338535.0,12802035.0,336869.0,38.00300710365157,37.815986530196284
215,(주)골드앤에스,35290,Dec-18,8680452.0,11191043.0,8680452.0,11191043.0,0.7756606779189393,0.7756606779189393
