,회사명,거래소코드,회계년도,부가가치(IFRS연결),자산(IFRS연결),부가가치(IFRS개별),자산(IFRS개별),총자본투자효율(개별),총자본투자효율(연결)
155,(주)경동나비엔,9450,Dec-17,148016.16,503697210.0,88344.03,391400492.0,2.2571261867499133,2.9385940017416416
156,(주)경동나비엔,9450,Dec-18,164621.76,583595818.0,103466.23,440513661.0,2.348763254359097,2.820818020323785
157,(주)경동나비엔,9450,Dec-19,195347.0,609808343.0,119653.32,461607017.0,2.592103577142979,3.2034163232168176
158,(주)경동도시가스,267290,Dec-17,,710280194.0,,707917077.0,,
159,(주)경동도시가스,267290,Dec-18,105468.98,778269612.0,97564.13,775880913.0,1.2574626900249575,1.3551727881160032
160,(주)경동도시가스,267290,Dec-19,95819.67,749999474.0,86578.45,747453908.0,1.1583115570518898,1.2775964960210093
161,(주)경동인베스트,12320,Dec-11,92451.05,1001490869.0,95768.55,941176098.0,1.017541246569141,0.9231342277969385
162,(주)경동인베스트,12320,Dec-12,135007.2,1209924561.0,107979.21,1168400020.0,0.9241630276589691,1.1158315514185189
163,(주)경동인베스트,12320,Dec-13,140991.69,1205008353.0,93436.7,1161427092.0,0.804499056751812,1.1700474079618268
164,(주)경동인베스트,12320,Dec-14,81588.6,1320789066.0,93996.69,1101071366.0,0.853683901902504,0.617726191867188
165,(주)경동인베스트,12320,Dec-15,-30690.54,1167819522.0,34539.58,926392697.0,0.3728395108451508,-0.26280208047421216
166,(주)경동인베스트,12320,Dec-16,26071.34,1126122628.0,72056.94,903818865.0,0.7972497896467342,0.231514218360951
167,(주)경동인베스트,12320,Dec-17,58509.5,599276331.0,-608.84,318031347.0,-0.01914402481840886,0.9763359067154614
168,(주)경동인베스트,12320,Dec-18,128174.79,592002536.0,2304.64,318776653.0,0.07229638614720006,2.1651054211024525
169,(주)경동인베스트,12320,Dec-19,129681.42,605467383.0,78.98,316572482.0,0.002494847293770783,2.141839901555853
170,(주)경방,50,Dec-11,85127.47,1352324332.0,79256.78,1331930968.0,0.5950517099171464,0.6294900415945485
171,(주)경방,50,Dec-12,80728.78,1335039930.0,75544.51,1301719900.0,0.5803438205100805,0.6046918761448581
172,(주)경방,50,Dec-13,109135.73,1296989142.0,99612.08,1261257414.0,0.7897839005289684,0.8414544614591692
173,(주)경방,50,Dec-14,105032.79,1301841379.0,97566.02,1275008413.0,0.7652186370318483,0.8068017478494974
174,(주)경방,50,Dec-15,117114.75,1318643312.0,107949.86,1259512344.0,0.8570766337800974,0.8881457854009879
175,(주)경방,50,Dec-16,125709.78,1301910960.0,109992.25,1237024388.0,0.8891679991680165,0.9655789363659708
176,(주)경방,50,Dec-17,125830.72,1274042237.0,109353.53,1199063663.0,0.9119910257842581,0.9876495169916412
177,(주)경방,50,Dec-18,98012.24,1301792841.0,88599.95,1226545382.0,0.722353622623643,0.7529019742089671
178,(주)경방,50,Dec-19,127253.44,1370742491.0,80679.67,1296265431.0,0.62240084530959,0.9283540915636502
179,(주)경보제약,214390,Dec-15,,,64338.21,195488457.0,3.2911513542715207,
180,(주)경보제약,214390,Dec-16,,,62027.13,203735980.0,3.044485809526624,
181,(주)경보제약,214390,Dec-17,,,70313.62,204869399.0,3.4321192107367873,
182,(주)경보제약,214390,Dec-18,,,68893.82,221622993.0,3.108604349549598,
183,(주)경보제약,214390,Dec-19,,,63450.36,237816742.0,2.6680358778104867,
184,(주)경인양행,12610,Dec-11,55925.52,319596954.0,25633.29,245825940.0,1.0427414617025363,1.7498765022647869
185,(주)경인양행,12610,Dec-12,50537.66,287452678.0,29938.88,241045608.0,1.2420421283925656,1.7581210358388104
186,(주)경인양행,12610,Dec-13,60639.47,316944796.0,48021.56,274570963.0,1.7489671695546334,1.9132502178707484
187,(주)경인양행,12610,Dec-14,73075.28,313039125.0,47119.14,267331084.0,1.7625761768878325,2.3343816847175254
188,(주)경인양행,12610,Dec-15,67632.25,326687437.0,35639.84,273778266.0,1.3017775486970173,2.0702433684341526
189,(주)경인양행,12610,Dec-16,75607.0,344298515.0,40282.61,290035389.0,1.3888860300423547,2.1959722945653715
190,(주)경인양행,12610,Dec-17,77094.24,357951470.0,39415.23,296909084.0,1.3275184938430515,2.153762352198191
191,(주)경인양행,12610,Dec-18,98776.24,412996589.0,56886.72,344908257.0,1.649329027225927,2.391696266527761
192,(주)경인양행,12610,Dec-19,111001.57,472081003.0,58827.05,381063538.0,1.5437596131278244,2.351324651799217
193,(주)고려시멘트,198440,Dec-14,,,,,,
194,(주)고려시멘트,198440,Dec-15,,,,,,
195,(주)고려시멘트,198440,Dec-16,,,,,,
196,(주)고려시멘트,198440,Dec-17,,,14885.67,115881620.0,1.284558327714093,
197,(주)고려시멘트,198440,Dec-18,,,19051.09,127536833.0,1.4937716071403466,
198,(주)고려시멘트,198440,Dec-19,,,16208.11,127035573.0,1.2758717591646553,
199,(주)고영테크놀러지,98460,Dec-11,28970.09,87006201.0,27718.99,87017886.0,3.185435922908998,3.329658078048943
200,(주)고영테크놀러지,98460,Dec-12,32628.63,103351965.0,28550.06,103019642.0,2.771321997022665,3.157040120137048
201,(주)고영테크놀러지,98460,Dec-13,31220.69,120951617.0,28707.49,121329325.0,2.3660800882226947,2.5812544531752724
202,(주)고영테크놀러지,98460,Dec-14,46699.29,141720465.0,42596.7,141873467.0,3.0024430149437316,3.2951691204230804
203,(주)고영테크놀러지,98460,Dec-15,46544.16,158857627.0,43429.68,160170850.0,2.7114596694716924,2.9299292000628965
204,(주)고영테크놀러지,98460,Dec-16,62157.4,195121241.0,52985.52,194332855.0,2.72653432688981,3.185578345106979
205,(주)고영테크놀러지,98460,Dec-17,65695.26,205207385.0,58409.3,205696350.0,2.839588548848825,3.201408175441639
206,(주)고영테크놀러지,98460,Dec-18,86343.44,279059436.0,75984.96,279985447.0,2.7138896258418748,3.0940878128915874
207,(주)고영테크놀러지,98460,Dec-19,80742.92,305481184.0,73465.3,308020011.0,2.3850820523475664,2.6431388978772583
208,(주)골드앤에스,35290,Dec-11,15570.49,46677146.0,14658.86,46347129.0,3.162841003592693,3.3357844971926944
209,(주)골드앤에스,35290,Dec-12,7635.89,51950606.0,7893.95,51062616.0,1.5459352885484754,1.4698365597506216
210,(주)골드앤에스,35290,Dec-13,1375.8,51442505.0,-1958.86,34508798.0,-0.567640750628289,0.26744420785885137
211,(주)골드앤에스,35290,Dec-14,4010.26,46528474.0,1806.61,28884288.0,0.625464612456433,0.8618937298480925
212,(주)골드앤에스,35290,Dec-15,1377.12,24102094.0,-3739.74,23597566.0,-1.584799042409713,0.5713694420078189
213,(주)골드앤에스,35290,Dec-16,4764.12,18671644.0,4792.12,18296141.0,2.6191971301489203,2.5515267964620576
214,(주)골드앤에스,35290,Dec-17,-4291.99,17173934.0,-4235.05,16994788.0,-2.49196989100423,-2.4991303681497783
215,(주)골드앤에스,35290,Dec-18,-311.92,42472631.0,11.61,42472631.0,0.0027335250316845214,-0.07344023495977915
216,(주)골드앤에스,35290,Dec-19,-15967.57,16096170.0,-16227.48,16096170.0,-10.081578412752847,-9.920105217576603
217,(주)골드퍼시픽,38530,Dec-11,,,4434.65,27473520.0,1.6141542838340333,
218,(주)골드퍼시픽,38530,Dec-12,,,4958.14,29861540.0,1.6603765244525233,
219,(주)골드퍼시픽,38530,Dec-13,-4290.42,33687572.0,-3602.2,30517744.0,-1.1803624802672177,-1.2735913410441098
220,(주)골드퍼시픽,38530,Dec-14,1554.55,41948832.0,-2264.04,31936409.0,-0.7089212816631951,0.3705824276585341
221,(주)골드퍼시픽,38530,Dec-15,-2786.97,28573328.0,-7836.3,27495738.0,-2.85000533537234,-0.9753746570927966
222,(주)골드퍼시픽,38530,Dec-16,,,-19661.53,11122066.0,-17.67794760433898,
223,(주)골드퍼시픽,38530,Dec-17,,,1313.87,26567967.0,0.49453162901022873,
