,회사명,거래소코드,회계년도,자산(IFRS연결),자산(IFRS개별),합계_기말인원,자본집약도(개별),자본집약도(연결)
191,(주)경인양행,12610,18-Dec,412996589.0,344908257.0,619.0,557202.3537964459,667199.6591276252
192,(주)경인양행,12610,19-Dec,472081003.0,381063538.0,617.0,617607.0307941653,765123.1815235008
193,(주)고려시멘트,198440,14-Dec,,,,,
194,(주)고려시멘트,198440,15-Dec,,,,,
195,(주)고려시멘트,198440,16-Dec,,,,,
196,(주)고려시멘트,198440,17-Dec,,115881620.0,110.0,1053469.2727272727,
197,(주)고려시멘트,198440,18-Dec,,127536833.0,112.0,1138721.7232142857,
198,(주)고려시멘트,198440,19-Dec,,127035573.0,97.0,1309645.0824742268,
199,(주)고영테크놀러지,98460,11-Dec,87006201.0,87017886.0,162.0,537147.4444444445,537075.3148148148
200,(주)고영테크놀러지,98460,12-Dec,103351965.0,103019642.0,202.0,509998.2277227723,511643.3910891089
201,(주)고영테크놀러지,98460,13-Dec,120951617.0,121329325.0,224.0,541648.7723214285,539962.5758928572
202,(주)고영테크놀러지,98460,14-Dec,141720465.0,141873467.0,284.0,499554.46126760566,499015.7218309859
203,(주)고영테크놀러지,98460,15-Dec,158857627.0,160170850.0,307.0,521729.1530944625,517451.55374592834
204,(주)고영테크놀러지,98460,16-Dec,195121241.0,194332855.0,315.0,616929.6984126985,619432.5111111111
205,(주)고영테크놀러지,98460,17-Dec,205207385.0,205696350.0,340.0,604989.2647058824,603551.1323529412
206,(주)고영테크놀러지,98460,18-Dec,279059436.0,279985447.0,408.0,686238.8406862745,683969.2058823529
207,(주)고영테크놀러지,98460,19-Dec,305481184.0,308020011.0,473.0,651205.0972515856,645837.5983086681
208,(주)골드앤에스,35290,11-Dec,46677146.0,46347129.0,161.0,287870.36645962734,289920.1614906832
209,(주)골드앤에스,35290,12-Dec,51950606.0,51062616.0,157.0,325239.5923566879,330895.5796178344
210,(주)골드앤에스,35290,13-Dec,51442505.0,34508798.0,114.0,302708.7543859649,451250.0438596491
211,(주)골드앤에스,35290,14-Dec,46528474.0,28884288.0,74.0,390328.2162162162,628763.1621621621
212,(주)골드앤에스,35290,15-Dec,24102094.0,23597566.0,52.0,453799.3461538461,463501.8076923077
213,(주)골드앤에스,35290,16-Dec,18671644.0,18296141.0,60.0,304935.68333333335,311194.06666666665
214,(주)골드앤에스,35290,17-Dec,17173934.0,16994788.0,47.0,361591.2340425532,365402.8510638298
215,(주)골드앤에스,35290,18-Dec,42472631.0,42472631.0,61.0,696272.6393442623,696272.6393442623
216,(주)골드앤에스,35290,19-Dec,16096170.0,16096170.0,49.0,328493.2653061224,328493.2653061224
217,(주)골드퍼시픽,38530,11-Dec,,27473520.0,59.0,465652.8813559322,
218,(주)골드퍼시픽,38530,12-Dec,,29861540.0,70.0,426593.4285714286,
219,(주)골드퍼시픽,38530,13-Dec,33687572.0,30517744.0,56.0,544959.7142857143,601563.7857142857
220,(주)골드퍼시픽,38530,14-Dec,41948832.0,31936409.0,22.0,1451654.9545454546,1906765.0909090908
221,(주)골드퍼시픽,38530,15-Dec,28573328.0,27495738.0,45.0,611016.4,634962.8444444444
222,(주)골드퍼시픽,38530,16-Dec,,11122066.0,96.0,115854.85416666667,
223,(주)골드퍼시픽,38530,17-Dec,,26567967.0,30.0,885598.9,
224,(주)골드퍼시픽,38530,18-Dec,37825442.0,37288362.0,26.0,1434167.7692307692,1454824.6923076923
225,(주)골드퍼시픽,38530,19-Dec,,72945743.0,56.0,1302602.5535714286,
226,(주)골프존,215000,15-Dec,178132253.0,171629353.0,266.0,645223.1315789474,669670.1240601504
227,(주)골프존,215000,16-Dec,187914226.0,177635830.0,280.0,634413.6785714285,671122.2357142858
228,(주)골프존,215000,17-Dec,253672419.0,239011847.0,244.0,979556.75,1039641.0614754099
229,(주)골프존,215000,18-Dec,254057808.0,254578679.0,470.0,541656.7638297873,540548.5276595745
230,(주)골프존,215000,19-Dec,312587283.0,304860836.0,398.0,765982.0,785395.1834170854
231,(주)골프존뉴딘홀딩스,121440,11-Dec,378054302.0,373246120.0,440.0,848286.6363636364,859214.3227272728
232,(주)골프존뉴딘홀딩스,121440,12-Dec,540922890.0,512614848.0,563.0,910505.946714032,960786.6607460035
233,(주)골프존뉴딘홀딩스,121440,13-Dec,637840057.0,589946855.0,459.0,1285287.265795207,1389629.7538126362
234,(주)골프존뉴딘홀딩스,121440,14-Dec,762037240.0,586599347.0,417.0,1406713.06235012,1827427.4340527577
235,(주)골프존뉴딘홀딩스,121440,15-Dec,767325175.0,585663015.0,142.0,4124387.4295774647,5403698.415492957
236,(주)골프존뉴딘홀딩스,121440,16-Dec,760772930.0,561892958.0,164.0,3426176.573170732,4638859.3292682925
237,(주)골프존뉴딘홀딩스,121440,17-Dec,756500949.0,536244772.0,114.0,4703901.50877193,6635973.236842105
238,(주)골프존뉴딘홀딩스,121440,18-Dec,774743339.0,563387103.0,57.0,9883984.263157895,13591988.403508771
239,(주)골프존뉴딘홀딩스,121440,19-Dec,776384700.0,537526345.0,42.0,12798246.30952381,18485350.0
240,(주)광림,14200,11-Dec,,86353051.0,199.0,433934.9296482412,
241,(주)광림,14200,12-Dec,,89766075.0,194.0,462711.7268041237,
242,(주)광림,14200,13-Dec,,101592603.0,217.0,468168.67741935485,
243,(주)광림,14200,14-Dec,244886480.0,120284256.0,217.0,554305.3271889401,1128509.124423963
244,(주)광림,14200,15-Dec,,146338755.0,237.0,617463.1012658228,
245,(주)광림,14200,16-Dec,229596737.0,152080347.0,235.0,647150.4127659574,977007.3914893616
246,(주)광림,14200,17-Dec,208058303.0,369582323.0,225.0,1642588.1022222221,924703.5688888889
247,(주)광림,14200,18-Dec,187812629.0,236379465.0,195.0,1212202.3846153845,963141.6871794872
248,(주)광림,14200,19-Dec,252468254.0,193568854.0,187.0,1035127.5614973262,1350097.614973262
249,(주)광명전기,17040,11-Dec,123886511.0,99992644.0,175.0,571386.5371428571,707922.92
250,(주)광명전기,17040,12-Dec,131064345.0,104218586.0,179.0,582226.7374301676,732203.0446927374
251,(주)광명전기,17040,13-Dec,120910764.0,105483729.0,183.0,576413.8196721311,660714.5573770492
252,(주)광명전기,17040,14-Dec,138580023.0,119791644.0,193.0,620682.0932642487,718031.207253886
253,(주)광명전기,17040,15-Dec,131457603.0,107719518.0,195.0,552407.7846153846,674141.5538461539
254,(주)광명전기,17040,16-Dec,146859319.0,125405290.0,201.0,623906.9154228856,730643.3781094528
255,(주)광명전기,17040,17-Dec,152717140.0,128881408.0,190.0,678323.2,803774.4210526316
256,(주)광명전기,17040,18-Dec,151823119.0,124159091.0,192.0,646661.9322916666,790745.4114583334
257,(주)광명전기,17040,19-Dec,156712705.0,140591786.0,194.0,724699.9278350516,807797.4484536082
258,(주)광무,29480,11-Dec,75946478.0,85836111.0,152.0,564711.2565789474,499647.88157894736
259,(주)광무,29480,12-Dec,55788602.0,60163490.0,132.0,455784.01515151514,422640.92424242425
260,(주)광무,29480,13-Dec,35384615.0,28890332.0,37.0,780819.7837837838,956340.9459459459
261,(주)광무,29480,14-Dec,,27862528.0,109.0,255619.52293577982,
262,(주)광무,29480,15-Dec,,21133216.0,106.0,199369.96226415093,
263,(주)광무,29480,16-Dec,,29089768.0,110.0,264452.43636363634,
264,(주)광무,29480,17-Dec,,28950503.0,117.0,247440.1965811966,
265,(주)광무,29480,18-Dec,28431748.0,26017306.0,122.0,213256.60655737706,233047.11475409835
266,(주)광무,29480,19-Dec,63139837.0,57156720.0,129.0,443075.3488372093,489456.1007751938
267,(주)광주신세계,37710,11-Dec,,380753715.0,310.0,1228237.7903225806,
268,(주)광주신세계,37710,12-Dec,,430662968.0,292.0,1474873.1780821919,
