,회사명,거래소코드,회계년도,당기순이익(IFRS연결),자산(IFRS연결),당기순이익(IFRS개별),자산(IFRS개별),총자산순이익률(개별),총자산순이익률(연결)
176,(주)경방,50,Dec-17,25315361.0,1274042237.0,25679379.0,1199063663.0,2.1416193145034033,1.9870111260683425
177,(주)경방,50,Dec-18,20189241.0,1301792841.0,29198252.0,1226545382.0,2.38052765339913,1.5508797071346008
178,(주)경방,50,Dec-19,43621631.0,1370742491.0,22223943.0,1296265431.0,1.7144592819123017,3.1823359446730684
179,(주)경보제약,214390,Dec-15,,,26109623.0,195488457.0,13.356094472626587,
180,(주)경보제약,214390,Dec-16,,,12705930.0,203735980.0,6.236468394046059,
181,(주)경보제약,214390,Dec-17,,,17963310.0,204869399.0,8.768176256523308,
182,(주)경보제약,214390,Dec-18,,,13116049.0,221622993.0,5.918180610438737,
183,(주)경보제약,214390,Dec-19,,,5285239.0,237816742.0,2.222399884697773,
184,(주)경인양행,12610,Dec-11,2886360.0,319596954.0,2788642.0,245825940.0,1.1343969639656417,0.9031250028747144
185,(주)경인양행,12610,Dec-12,2093491.0,287452678.0,4475441.0,241045608.0,1.856678093881719,0.7282906579844074
186,(주)경인양행,12610,Dec-13,10215710.0,316944796.0,12327177.0,274570963.0,4.489614220422864,3.2231827526204277
187,(주)경인양행,12610,Dec-14,10148247.0,313039125.0,9090269.0,267331084.0,3.400378610666914,3.241846206923815
188,(주)경인양행,12610,Dec-15,3670895.0,326687437.0,107330.0,273778266.0,0.039203258011722524,1.123671921305012
189,(주)경인양행,12610,Dec-16,6837522.0,344298515.0,3724987.0,290035389.0,1.2843215487748634,1.985928402857038
190,(주)경인양행,12610,Dec-17,4779249.0,357951470.0,531273.0,296909084.0,0.17893457244305802,1.3351667476040818
191,(주)경인양행,12610,Dec-18,13801882.0,412996589.0,7419717.0,344908257.0,2.151214663440197,3.341887649343273
192,(주)경인양행,12610,Dec-19,16372880.0,472081003.0,4797711.0,381063538.0,1.2590317680827285,3.468235301982698
193,(주)고려시멘트,198440,Dec-14,,,,,,
194,(주)고려시멘트,198440,Dec-15,,,,,,
195,(주)고려시멘트,198440,Dec-16,,,,,,
196,(주)고려시멘트,198440,Dec-17,,,1003761.0,115881620.0,0.8661951740060245,
197,(주)고려시멘트,198440,Dec-18,,,4645869.0,127536833.0,3.642766478292589,
198,(주)고려시멘트,198440,Dec-19,,,3396444.0,127035573.0,2.6736164680423804,
199,(주)고영테크놀러지,98460,Dec-11,15634438.0,87006201.0,16580579.0,87017886.0,19.054219496897453,17.969337610775582
200,(주)고영테크놀러지,98460,Dec-12,15221925.0,103351965.0,14836215.0,103019642.0,14.4013459103265,14.72823956467591
201,(주)고영테크놀러지,98460,Dec-13,13933294.0,120951617.0,14816762.0,121329325.0,12.212020465785992,11.519725279902625
202,(주)고영테크놀러지,98460,Dec-14,22111066.0,141720465.0,22775832.0,141873467.0,16.053623331838363,15.601886431857249
203,(주)고영테크놀러지,98460,Dec-15,23530903.0,158857627.0,23271756.0,160170850.0,14.529332896716223,14.812573651248107
