,회사명,거래소코드,회계년도,이자보상배율,count,부실기업
382,(주)금화피에스시,36190,17-Dec,539.47,0.0,
383,(주)금화피에스시,36190,18-Dec,431.66,0.0,
384,(주)금화피에스시,36190,19-Dec,280.27,0.0,
385,(주)기가레인,49080,13-Dec,5.72,0.0,
386,(주)기가레인,49080,14-Dec,7.6,0.0,
387,(주)기가레인,49080,15-Dec,-13.79,0.0,
388,(주)기가레인,49080,16-Dec,-4.14,1.0,1.0
389,(주)기가레인,49080,17-Dec,1.96,2.0,
390,(주)기가레인,49080,18-Dec,-0.71,0.0,
391,(주)기가레인,49080,19-Dec,-8.09,1.0,1.0
392,(주)기산텔레콤,35460,11-Dec,-3.73,0.0,
393,(주)기산텔레콤,35460,12-Dec,0.71,1.0,1.0
394,(주)기산텔레콤,35460,13-Dec,4.99,2.0,
395,(주)기산텔레콤,35460,14-Dec,2.53,0.0,
396,(주)기산텔레콤,35460,15-Dec,2.72,0.0,
397,(주)기산텔레콤,35460,16-Dec,-5.83,0.0,
398,(주)기산텔레콤,35460,17-Dec,-6.37,1.0,1.0
399,(주)기산텔레콤,35460,18-Dec,-5.52,2.0,1.0
400,(주)기산텔레콤,35460,19-Dec,6.63,3.0,
401,(주)까뮤이앤씨,13700,11-Dec,-14.28,0.0,
402,(주)까뮤이앤씨,13700,12-Dec,0.46,1.0,1.0
403,(주)까뮤이앤씨,13700,13-Dec,-0.14,2.0,1.0
404,(주)까뮤이앤씨,13700,14-Dec,0.4,3.0,1.0
405,(주)까뮤이앤씨,13700,15-Dec,1.65,4.0,
406,(주)까뮤이앤씨,13700,16-Dec,1.92,0.0,
407,(주)까뮤이앤씨,13700,17-Dec,4.85,0.0,
408,(주)까뮤이앤씨,13700,18-Dec,2.29,0.0,
409,(주)까뮤이앤씨,13700,19-Dec,5.87,0.0,
410,(주)까스텔바작,308100,19-Dec,214.89,0.0,
411,(주)나노,187790,14-Dec,0.0,0.0,0.0
412,(주)나노,187790,15-Dec,-4.06,0.0,
413,(주)나노,187790,16-Dec,-5.47,1.0,1.0
414,(주)나노,187790,17-Dec,0.96,2.0,1.0
415,(주)나노,187790,18-Dec,1.22,3.0,
416,(주)나노,187790,19-Dec,-0.54,0.0,
417,(주)나노브릭,286750,19-Dec,-3.38,0.0,
418,(주)나노신소재,121600,11-Dec,9.69,0.0,
419,(주)나노신소재,121600,12-Dec,-2.32,0.0,
420,(주)나노신소재,121600,13-Dec,4.32,1.0,
421,(주)나노신소재,121600,14-Dec,24.79,0.0,
422,(주)나노신소재,121600,15-Dec,86.73,0.0,
423,(주)나노신소재,121600,16-Dec,122.39,0.0,
424,(주)나노신소재,121600,17-Dec,114.62,0.0,
425,(주)나노신소재,121600,18-Dec,127.97,0.0,
426,(주)나노신소재,121600,19-Dec,42.91,0.0,
427,(주)나노엔텍,39860,11-Dec,-12.31,0.0,
428,(주)나노엔텍,39860,12-Dec,-5.04,1.0,1.0
429,(주)나노엔텍,39860,13-Dec,-0.44,2.0,1.0
430,(주)나노엔텍,39860,14-Dec,-8.4,3.0,1.0
431,(주)나노엔텍,39860,15-Dec,-32.63,4.0,1.0
432,(주)나노엔텍,39860,16-Dec,-42.07,5.0,1.0
433,(주)나노엔텍,39860,17-Dec,3.38,6.0,
434,(주)나노엔텍,39860,18-Dec,18.0,0.0,
435,(주)나노엔텍,39860,19-Dec,133.96,0.0,
436,(주)나무가,190510,15-Dec,8.35,0.0,
437,(주)나무가,190510,16-Dec,-0.37,0.0,
438,(주)나무가,190510,17-Dec,-18.62,1.0,1.0
439,(주)나무가,190510,18-Dec,1.01,2.0,
440,(주)나무가,190510,19-Dec,1.15,0.0,
441,(주)나스미디어,89600,13-Dec,0.0,0.0,0.0
442,(주)나스미디어,89600,14-Dec,0.0,0.0,0.0
443,(주)나스미디어,89600,15-Dec,0.0,0.0,0.0
444,(주)나스미디어,89600,16-Dec,171.59,0.0,
445,(주)나스미디어,89600,17-Dec,147.4,0.0,
446,(주)나스미디어,89600,18-Dec,326.73,0.0,
447,(주)나스미디어,89600,19-Dec,35.89,0.0,
448,(주)나이벡,138610,11-Dec,-3.91,0.0,
449,(주)나이벡,138610,12-Dec,-2.68,1.0,1.0
450,(주)나이벡,138610,13-Dec,-5.06,2.0,1.0
451,(주)나이벡,138610,14-Dec,-5.51,3.0,1.0
452,(주)나이벡,138610,15-Dec,-3.41,4.0,1.0
453,(주)나이벡,138610,16-Dec,-3.51,5.0,1.0
454,(주)나이벡,138610,17-Dec,-1.81,6.0,1.0
455,(주)나이벡,138610,18-Dec,-4.64,7.0,1.0
456,(주)나이벡,138610,19-Dec,-2.23,8.0,1.0
