회사명,거래소코드,2011,2012,2013,2014,2015,2016,2017,2018,2019
(주)스타플렉스,115570,0,0,0,0,0,0,0,0,0
(주)스튜디오산타클로스엔터테인먼트,204630,0,0,0,0,1,1,0,0,1
(주)스페코,13810,0,0,0,0,0,0,0,0,0
(주)승일,49830,0,0,0,0,0,0,0,0,0
(주)시공테크,20710,0,0,0,0,0,1,0,0,0
(주)시너지이노베이션,48870,0,0,0,0,0,1,1,0,0
(주)시노펙스,25320,0,1,0,0,0,0,0,0,0
(주)시디즈,134790,0,0,0,0,0,0,0,1,1
(주)시스웍,269620,0,0,0,0,0,0,0,0,0
(주)시큐브,131090,0,0,0,0,0,0,0,0,0
(주)시티랩스,139050,0,0,0,0,0,0,0,1,0
(주)신도리코,29530,0,0,0,0,0,0,0,0,0
