회사명,거래소코드,회계년도,이자보상배율(이자비용)(IFRS),이자보상배율(이자비용)(IFRS연결),이자보상배율,,,
(주)녹원씨엔아이,65560,13-Dec,-9.86,-10.45,-10.45,,,
(주)녹원씨엔아이,65560,14-Dec,-5,-6.5,-6.5,,,
(주)녹원씨엔아이,65560,15-Dec,1.94,1.06,1.06,,,
(주)녹원씨엔아이,65560,16-Dec,-3.23,-3.27,-3.27,,,
(주)녹원씨엔아이,65560,17-Dec,-1.09,2.53,2.53,,,
(주)녹원씨엔아이,65560,18-Dec,2.26,2.98,2.98,,,
(주)녹원씨엔아이,65560,19-Dec,3.02,2.87,2.87,,,
(주)누리플랜,69140,11-Dec,6.36,5.57,5.57,,,
(주)누리플랜,69140,12-Dec,-2.01,-2.1,-2.1,,,
(주)누리플랜,69140,13-Dec,-3.78,-3.78,-3.78,,,
(주)누리플랜,69140,14-Dec,-7.07,77777777.77,-7.07,,,
(주)누리플랜,69140,15-Dec,2.97,77777777.77,2.97,,,
(주)누리플랜,69140,16-Dec,2.68,77777777.77,2.68,,,
(주)누리플랜,69140,17-Dec,1.74,1.71,1.71,,,
(주)누리플랜,69140,18-Dec,-3.36,-3.53,-3.53,,,
(주)누리플랜,69140,19-Dec,-1.57,-0.94,-0.94,,,
(주)누리플렉스,40160,11-Dec,0.2,0.79,0.79,,,
(주)누리플렉스,40160,12-Dec,-5.24,-3.57,-3.57,,,
(주)누리플렉스,40160,13-Dec,3.25,2.55,2.55,,,
(주)누리플렉스,40160,14-Dec,5.91,1.32,1.32,,,
(주)누리플렉스,40160,15-Dec,22.86,16.93,16.93,,,
(주)누리플렉스,40160,16-Dec,36.11,26.21,26.21,,,
(주)누리플렉스,40160,17-Dec,3.27,1.9,1.9,,,
(주)누리플렉스,40160,18-Dec,14.03,11.96,11.96,,,
(주)누리플렉스,40160,19-Dec,9.89,8.52,8.52,,,
(주)뉴로스,126870,12-Dec,5.75,5.1,5.1,,,
(주)뉴로스,126870,13-Dec,3.74,4.27,4.27,,,
(주)뉴로스,126870,14-Dec,-0.81,-0.05,-0.05,,,
(주)뉴로스,126870,15-Dec,1.31,0.61,0.61,,,
(주)뉴로스,126870,16-Dec,2.8,1.49,1.49,,,
(주)뉴로스,126870,17-Dec,1.03,0.89,0.89,,,
(주)뉴로스,126870,18-Dec,-0.34,0.47,0.47,,,
(주)뉴로스,126870,19-Dec,-3.23,-2.37,-2.37,,,
(주)뉴보텍,60260,11-Dec,-4.5,77777777.77,-4.5,,,
(주)뉴보텍,60260,12-Dec,1.06,77777777.77,1.06,,,
(주)뉴보텍,60260,13-Dec,1.11,77777777.77,1.11,,,
(주)뉴보텍,60260,14-Dec,-0.72,77777777.77,-0.72,,,
(주)뉴보텍,60260,15-Dec,6.79,77777777.77,6.79,,,
(주)뉴보텍,60260,16-Dec,7.02,77777777.77,7.02,,,
(주)뉴보텍,60260,17-Dec,-4.56,77777777.77,-4.56,,,
(주)뉴보텍,60260,18-Dec,0.82,77777777.77,0.82,,,
(주)뉴보텍,60260,19-Dec,4.51,77777777.77,4.51,,,
(주)뉴프렉스,85670,11-Dec,1.92,0.81,0.81,,,
(주)뉴프렉스,85670,12-Dec,5.51,3.14,3.14,,,
(주)뉴프렉스,85670,13-Dec,1.04,0.97,0.97,,,
(주)뉴프렉스,85670,14-Dec,2.05,2.23,2.23,,,
(주)뉴프렉스,85670,15-Dec,-1.27,-0.8,-0.8,,,
(주)뉴프렉스,85670,16-Dec,0.59,0.53,0.53,,,
(주)뉴프렉스,85670,17-Dec,5.19,5.58,5.58,,,
(주)뉴프렉스,85670,18-Dec,6.37,5.58,5.58,,,
(주)뉴프렉스,85670,19-Dec,-4.44,-3.81,-3.81,,,
(주)다날,64260,11-Dec,4.56,-0.33,-0.33,,,
(주)다날,64260,12-Dec,5.76,-0.31,-0.31,,,
(주)다날,64260,13-Dec,21.19,0.79,0.79,,,
(주)다날,64260,14-Dec,32.41,1.06,1.06,,,
(주)다날,64260,15-Dec,5.31,0.3,0.3,,,
(주)다날,64260,16-Dec,7.34,1.74,1.74,,,
(주)다날,64260,17-Dec,9.23,6.12,6.12,,,
(주)다날,64260,18-Dec,6.13,1.85,1.85,,,
(주)다날,64260,19-Dec,5.16,1.85,1.85,,,
(주)다산네트웍스,39560,11-Dec,0.5,-1.06,-1.06,,,
(주)다산네트웍스,39560,12-Dec,6.16,1.56,1.56,,,
(주)다산네트웍스,39560,13-Dec,5.04,2.41,2.41,,,
(주)다산네트웍스,39560,14-Dec,1.69,0.98,0.98,,,
