,회사명,거래소코드,회계년도,배당금감소율여부
492,(주)나노,187790,Dec-15,0
493,(주)나노,187790,Dec-16,0
494,(주)나노,187790,Dec-17,0
495,(주)나노,187790,Dec-18,0
496,(주)나노,187790,Dec-19,0
497,(주)나노브릭,286750,Dec-15,0
498,(주)나노브릭,286750,Dec-16,0
499,(주)나노브릭,286750,Dec-17,0
500,(주)나노브릭,286750,Dec-18,0
501,(주)나노브릭,286750,Dec-19,0
502,(주)나노신소재,121600,Dec-10,0
503,(주)나노신소재,121600,Dec-11,0
504,(주)나노신소재,121600,Dec-12,0
505,(주)나노신소재,121600,Dec-13,0
506,(주)나노신소재,121600,Dec-14,0
507,(주)나노신소재,121600,Dec-15,0
508,(주)나노신소재,121600,Dec-16,0
509,(주)나노신소재,121600,Dec-17,1
510,(주)나노신소재,121600,Dec-18,0
511,(주)나노신소재,121600,Dec-19,0
512,(주)나노엔텍,39860,Dec-10,0
513,(주)나노엔텍,39860,Dec-11,0
514,(주)나노엔텍,39860,Dec-12,0
515,(주)나노엔텍,39860,Dec-13,0
516,(주)나노엔텍,39860,Dec-14,0
517,(주)나노엔텍,39860,Dec-15,0
518,(주)나노엔텍,39860,Dec-16,0
519,(주)나노엔텍,39860,Dec-17,0
520,(주)나노엔텍,39860,Dec-18,0
521,(주)나노엔텍,39860,Dec-19,0
522,(주)나래나노텍,137080,Dec-10,0
523,(주)나래나노텍,137080,Dec-11,0
524,(주)나래나노텍,137080,Dec-12,0
525,(주)나래나노텍,137080,Dec-13,0
526,(주)나래나노텍,137080,Dec-14,0
527,(주)나래나노텍,137080,Dec-15,0
528,(주)나래나노텍,137080,Dec-16,0
529,(주)나래나노텍,137080,Dec-17,0
530,(주)나래나노텍,137080,Dec-18,0
531,(주)나래나노텍,137080,Dec-19,0
532,(주)나무가,190510,Dec-10,0
533,(주)나무가,190510,Dec-11,0
534,(주)나무가,190510,Dec-12,0
535,(주)나무가,190510,Dec-13,0
536,(주)나무가,190510,Dec-14,0
537,(주)나무가,190510,Dec-15,0
538,(주)나무가,190510,Dec-16,0
539,(주)나무가,190510,Dec-17,0
540,(주)나무가,190510,Dec-18,0
541,(주)나무가,190510,Dec-19,0
542,(주)나스미디어,89600,Dec-10,0
543,(주)나스미디어,89600,Dec-11,0
544,(주)나스미디어,89600,Dec-12,0
545,(주)나스미디어,89600,Dec-13,0
546,(주)나스미디어,89600,Dec-14,0
547,(주)나스미디어,89600,Dec-15,0
548,(주)나스미디어,89600,Dec-16,0
549,(주)나스미디어,89600,Dec-17,0
550,(주)나스미디어,89600,Dec-18,0
551,(주)나스미디어,89600,Dec-19,1
552,(주)나이벡,138610,Dec-10,0
553,(주)나이벡,138610,Dec-11,0
554,(주)나이벡,138610,Dec-12,0
555,(주)나이벡,138610,Dec-13,0
556,(주)나이벡,138610,Dec-14,0
557,(주)나이벡,138610,Dec-15,0
558,(주)나이벡,138610,Dec-16,0
559,(주)나이벡,138610,Dec-17,0
560,(주)나이벡,138610,Dec-18,0
561,(주)나이벡,138610,Dec-19,0
562,(주)나이스디앤비,130580,Dec-10,0
563,(주)나이스디앤비,130580,Dec-11,0
564,(주)나이스디앤비,130580,Dec-12,0
565,(주)나이스디앤비,130580,Dec-13,0
566,(주)나이스디앤비,130580,Dec-14,0
567,(주)나이스디앤비,130580,Dec-15,0
568,(주)나이스디앤비,130580,Dec-16,0
569,(주)나이스디앤비,130580,Dec-17,0
570,(주)나이스디앤비,130580,Dec-18,0
571,(주)나이스디앤비,130580,Dec-19,0
572,(주)나이스홀딩스,34310,Dec-10,0
573,(주)나이스홀딩스,34310,Dec-11,0
574,(주)나이스홀딩스,34310,Dec-12,0
575,(주)나이스홀딩스,34310,Dec-13,0
576,(주)나이스홀딩스,34310,Dec-14,0
577,(주)나이스홀딩스,34310,Dec-15,0
578,(주)나이스홀딩스,34310,Dec-16,0
579,(주)나이스홀딩스,34310,Dec-17,0
580,(주)나이스홀딩스,34310,Dec-18,0
581,(주)나이스홀딩스,34310,Dec-19,0
582,(주)나인테크,267320,Dec-17,0
583,(주)나인테크,267320,Dec-18,0
584,(주)나인테크,267320,Dec-19,0
585,(주)남선알미늄,8350,Dec-10,0
586,(주)남선알미늄,8350,Dec-11,0
587,(주)남선알미늄,8350,Dec-12,0
588,(주)남선알미늄,8350,Dec-13,0
589,(주)남선알미늄,8350,Dec-14,0
590,(주)남선알미늄,8350,Dec-15,0
591,(주)남선알미늄,8350,Dec-16,0
592,(주)남선알미늄,8350,Dec-17,0
593,(주)남선알미늄,8350,Dec-18,0
594,(주)남선알미늄,8350,Dec-19,0
595,(주)남성,4270,Dec-10,0
596,(주)남성,4270,Dec-11,0
597,(주)남성,4270,Dec-12,0
598,(주)남성,4270,Dec-13,1
599,(주)남성,4270,Dec-14,1
600,(주)남성,4270,Dec-15,0
