회사명,거래소코드,회계년도,자본증가율여부(개별),자본증가율여부(연결),차입전략
(주)까뮤이앤씨,13700,14-Dec,#DIV/0!,#DIV/0!,0
(주)까뮤이앤씨,13700,15-Dec,#DIV/0!,#DIV/0!,0
(주)까뮤이앤씨,13700,16-Dec,#DIV/0!,#DIV/0!,0
(주)까뮤이앤씨,13700,17-Dec,#DIV/0!,#DIV/0!,0
(주)까뮤이앤씨,13700,18-Dec,#DIV/0!,#DIV/0!,0
(주)까뮤이앤씨,13700,19-Dec,#DIV/0!,#DIV/0!,1
(주)나노신소재,121600,11-Dec,#DIV/0!,#DIV/0!,0
(주)나노신소재,121600,12-Dec,#DIV/0!,#DIV/0!,0
(주)나노신소재,121600,13-Dec,#DIV/0!,#DIV/0!,0
(주)나노신소재,121600,14-Dec,#DIV/0!,#DIV/0!,0
(주)나노신소재,121600,15-Dec,#DIV/0!,#DIV/0!,0
(주)나노신소재,121600,16-Dec,#DIV/0!,#DIV/0!,1
(주)나노신소재,121600,17-Dec,#DIV/0!,#DIV/0!,0
(주)나노신소재,121600,18-Dec,#DIV/0!,#DIV/0!,0
(주)나노신소재,121600,19-Dec,#DIV/0!,#DIV/0!,1
(주)나무가,190510,15-Dec,#DIV/0!,#DIV/0!,0
(주)나무가,190510,16-Dec,#DIV/0!,#DIV/0!,1
(주)나무가,190510,17-Dec,#DIV/0!,#DIV/0!,1
(주)나무가,190510,18-Dec,#DIV/0!,#DIV/0!,0
(주)나무가,190510,19-Dec,#DIV/0!,#DIV/0!,1
(주)나이벡,138610,11-Dec,#DIV/0!,#DIV/0!,0
(주)나이벡,138610,12-Dec,#DIV/0!,#DIV/0!,0
(주)나이벡,138610,13-Dec,#DIV/0!,#DIV/0!,0
(주)나이벡,138610,14-Dec,#DIV/0!,#DIV/0!,0
(주)나이벡,138610,15-Dec,#DIV/0!,#DIV/0!,0
(주)나이벡,138610,16-Dec,#DIV/0!,#DIV/0!,0
(주)나이벡,138610,17-Dec,#DIV/0!,#DIV/0!,0
(주)나이벡,138610,18-Dec,#DIV/0!,#DIV/0!,0
(주)나이벡,138610,19-Dec,#DIV/0!,#DIV/0!,1
(주)남성,4270,11-Dec,#DIV/0!,#DIV/0!,0
(주)남성,4270,12-Dec,#DIV/0!,#DIV/0!,0
(주)남성,4270,13-Dec,#DIV/0!,#DIV/0!,0
(주)남성,4270,14-Dec,#DIV/0!,#DIV/0!,0
(주)남성,4270,15-Dec,#DIV/0!,#DIV/0!,0
(주)남성,4270,16-Dec,#DIV/0!,#DIV/0!,0
(주)남성,4270,17-Dec,#DIV/0!,#DIV/0!,0
(주)남성,4270,18-Dec,#DIV/0!,#DIV/0!,0
(주)남성,4270,19-Dec,#DIV/0!,#DIV/0!,0
(주)내츄럴엔도텍,168330,13-Dec,#DIV/0!,#DIV/0!,0
(주)내츄럴엔도텍,168330,14-Dec,#DIV/0!,#DIV/0!,0
(주)내츄럴엔도텍,168330,15-Dec,#DIV/0!,#DIV/0!,1
(주)내츄럴엔도텍,168330,16-Dec,#DIV/0!,#DIV/0!,0
(주)내츄럴엔도텍,168330,17-Dec,#DIV/0!,#DIV/0!,0
(주)내츄럴엔도텍,168330,18-Dec,#DIV/0!,#DIV/0!,0
(주)내츄럴엔도텍,168330,19-Dec,#DIV/0!,#DIV/0!,0
(주)네오리진,94860,11-Dec,#DIV/0!,#DIV/0!,0
(주)네오리진,94860,12-Dec,#DIV/0!,#DIV/0!,0
