,회사,코드,년도,2012년 감소율여부,2013년 감소율여부,2014년 감소율여부,2015년 감소율여부,2016년 감소율여부,2017년 감소율여부,2018년 감소율여부,2019년 감소율여부
163,(주)도화엔지니어링,2150,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
164,(주)동구바이오제약,6620,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
165,(주)동국알앤에스,75970,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
166,(주)동국에스엔씨,100130,      비유동금융부채(*)(IFRS)(천원),1,0,0,0,0,0,0,1
167,(주)동남합성,23450,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0
168,(주)동방,4140,      비유동금융부채(*)(IFRS)(천원),0,0,0,1,0,0,0,1
169,(주)동방선기,99410,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
170,(주)동방아그로,7590,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
171,(주)동서,26960,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
172,(주)동성케미컬,102260,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,1,0,0,1
173,(주)동성화인텍,33500,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,1,1
174,(주)동아엘텍,88130,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0
175,(주)동아지질,28100,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
176,(주)동양,1520,      비유동금융부채(*)(IFRS)(천원),0,0,1,0,0,1,0,1
177,(주)동양고속,84670,      비유동금융부채(*)(IFRS)(천원),1,1,0,0,0,0,0,0
178,(주)동양에스텍,60380,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
179,(주)동우팜투테이블,88910,      비유동금융부채(*)(IFRS)(천원),0,1,0,0,0,0,0,1
180,(주)동운아나텍,94170,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
181,(주)동원개발,13120,      비유동금융부채(*)(IFRS)(천원),0,0,1,0,0,1,0,0
182,(주)동원에프앤비,49770,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
183,(주)동일기연,32960,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
184,(주)동진쎄미켐,5290,      비유동금융부채(*)(IFRS)(천원),1,0,0,1,0,0,0,1
185,(주)두산,150,      비유동금융부채(*)(IFRS)(천원),0,0,0,1,0,0,0,1
186,(주)두산테스나,131970,      비유동금융부채(*)(IFRS)(천원),1,0,0,0,0,0,1,1
187,(주)두올,16740,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,1,0
188,(주)듀오백,73190,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
189,(주)드래곤플라이,30350,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
190,(주)드림시큐리티,203650,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
191,(주)드림씨아이에스,223250,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
192,(주)드림어스컴퍼니,60570,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
193,(주)드림텍,192650,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,1,0,0
194,(주)디딤,217620,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,1,1
195,(주)디모아,16670,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,1,0
196,(주)디바이스이엔지,187870,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
197,(주)디비아이엔씨,12030,      비유동금융부채(*)(IFRS)(천원),0,0,0,1,1,0,0,1
198,(주)디스플레이테크,66670,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0
199,(주)디아이,3160,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
200,(주)디아이씨,92200,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,1,0
201,(주)디아크,78590,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,1,0,1
202,(주)디알비동일,4840,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
203,(주)디알젬,263690,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
204,(주)디알텍,214680,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
205,(주)디앤씨미디어,263720,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
206,(주)디에스앤엘,141020,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,1,0,0,0
207,(주)디에스케이,109740,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
208,(주)디에이테크놀로지,196490,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
209,(주)디에이피,66900,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
210,(주)디엔에이링크,127120,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
211,(주)디엔에프,92070,      비유동금융부채(*)(IFRS)(천원),0,1,0,0,0,0,0,1
212,(주)디엔오토모티브,7340,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
213,(주)디엠에스,68790,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
214,(주)디오,39840,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,1,1
215,(주)디와이디,219550,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
216,(주)디이엔티,79810,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
217,(주)디지아이,43360,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0
218,(주)디지캡,197140,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
219,(주)디지털대성,68930,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
220,(주)디지틀조선일보,33130,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
221,(주)디케이앤디,263020,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
222,(주)디케이티,290550,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,1,0,1
223,(주)디티앤씨,187220,      비유동금융부채(*)(IFRS)(천원),0,0,0,1,0,0,0,1
224,(주)딜리,131180,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
225,(주)딥노이드,315640,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0
226,(주)라닉스,317120,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0
227,(주)라온테크,232680,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
228,(주)라이온켐텍,171120,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
229,(주)라이트론,69540,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
230,(주)라이프시맨틱스,347700,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0
231,(주)라파스,214260,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
232,(주)락앤락,115390,      비유동금융부채(*)(IFRS)(천원),0,0,1,0,0,1,0,1
233,(주)래몽래인,200350,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0
234,(주)랩지노믹스,84650,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,1,0,1,1
235,(주)러셀,217500,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
236,(주)레고켐바이오사이언스,141080,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
237,(주)레드로버,60300,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
238,(주)레드캡투어,38390,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
239,(주)레몬,294140,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0
240,(주)레이,228670,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
241,(주)레이언스,228850,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
242,(주)레이크머티리얼즈,281740,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0
243,(주)레인보우로보틱스,277810,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
244,(주)로보로보,215100,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
245,(주)로보스타,90360,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
246,(주)로보티즈,108490,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
247,(주)로지시스,67730,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
248,(주)루닛,328130,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0
249,(주)루멘스,38060,      비유동금융부채(*)(IFRS)(천원),0,0,1,1,0,0,0,0
250,(주)루트로닉,85370,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0
251,(주)룽투코리아,60240,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,1,0
252,(주)리노스,39980,      비유동금융부채(*)(IFRS)(천원),0,0,1,0,0,0,0,1
253,(주)리더스코스메틱,16100,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
254,(주)리드,197210,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
255,(주)리드코프,12700,      비유동금융부채(*)(IFRS)(천원),0,0,1,0,0,0,0,1
256,(주)리메드,302550,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
257,(주)리파인,377450,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0
258,(주)링네트,42500,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
259,(주)링크제니시스,219420,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
260,(주)마니커,27740,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,1,0,1
261,(주)마니커에프앤지,195500,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,1,1
262,(주)마이크로디지탈,305090,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
263,(주)마이크로컨텍솔루션,98120,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
