,회사명,거래소코드,회계년도,이자보상배율,부실기업
457,다산네트웍스,39560,Dec-19,-0.03,1.0
458,다이나믹디자인,145210,Dec-15,2.92,0.0
459,다이나믹디자인,145210,Dec-16,-453.35,
460,다이나믹디자인,145210,Dec-17,-0.96,1.0
461,다이나믹디자인,145210,Dec-18,-4.73,1.0
462,다이나믹디자인,145210,Dec-19,-2.21,1.0
463,대구백화점,6370,Dec-18,-3.05,0.0
464,대구백화점,6370,Dec-19,-2.12,1.0
465,대동,490,Dec-11,2.44,0.0
466,대동,490,Dec-12,0.1,
467,대동,490,Dec-13,1.04,
468,대동,490,Dec-14,1.01,
469,대동,490,Dec-15,0.81,
470,대동,490,Dec-16,-1.84,1.0
471,대동,490,Dec-17,2.22,1.0
472,대동,490,Dec-18,0.5,1.0
473,대동,490,Dec-19,2.19,1.0
474,대동스틸,48470,Dec-11,3.04,0.0
475,대동스틸,48470,Dec-12,-1.39,
476,대동스틸,48470,Dec-13,3.27,
477,대동스틸,48470,Dec-14,2.92,
478,대동스틸,48470,Dec-15,-5.64,
479,대동스틸,48470,Dec-16,510.41,
480,대동스틸,48470,Dec-17,1421.75,
481,대동스틸,48470,Dec-18,-14.84,
482,대동스틸,48470,Dec-19,-16.84,1.0
483,대림제지,17650,Dec-11,4.02,0.0
484,대림제지,17650,Dec-12,23.85,
485,대림제지,17650,Dec-13,35.98,
486,대림제지,17650,Dec-14,86.15,
487,대림제지,17650,Dec-15,-44.32,
488,대림제지,17650,Dec-16,239.14,
489,대림제지,17650,Dec-17,13.52,
490,대림제지,17650,Dec-18,10.06,
491,대림제지,17650,Dec-19,4.6,
492,대명소노시즌,7720,Dec-11,-10.93,0.0
493,대명소노시즌,7720,Dec-12,-12.1,1.0
494,대명소노시즌,7720,Dec-13,194.97,0.0
495,대명소노시즌,7720,Dec-14,225.92,
496,대명소노시즌,7720,Dec-15,-21.65,
497,대명소노시즌,7720,Dec-16,0.23,1.0
498,대명소노시즌,7720,Dec-17,1.44,1.0
499,대명소노시즌,7720,Dec-18,0.9,1.0
500,대명소노시즌,7720,Dec-19,1.72,1.0
501,대성미생물연구소,36480,Dec-11,-3.52,0.0
502,대성미생물연구소,36480,Dec-12,1.18,
503,대성미생물연구소,36480,Dec-13,10.5,
