,회사명,거래소코드,회계년도,이자보상배율,부실기업
554,(주)네오팜,92730,2018,9212.39,
555,(주)네오팜,92730,2019,1337.32,
556,(주)네오펙트,290660,2018,-5.77,
557,(주)네오펙트,290660,2019,-15.37,1.0
558,(주)네온테크,306620,2018,,
559,(주)네온테크,306620,2019,,
560,(주)네이블커뮤니케이션즈,153460,2012,71.34,
561,(주)네이블커뮤니케이션즈,153460,2013,4.62,
562,(주)네이블커뮤니케이션즈,153460,2014,126.65,
563,(주)네이블커뮤니케이션즈,153460,2015,,
564,(주)네이블커뮤니케이션즈,153460,2016,,
565,(주)네이블커뮤니케이션즈,153460,2017,,
566,(주)네이블커뮤니케이션즈,153460,2018,,
567,(주)네이블커뮤니케이션즈,153460,2019,-454.29,
568,(주)네이처셀,7390,2011,-1.42,
569,(주)네이처셀,7390,2012,-0.67,1.0
570,(주)네이처셀,7390,2013,1.54,
571,(주)네이처셀,7390,2014,-2.98,
572,(주)네이처셀,7390,2015,-2.61,1.0
573,(주)네이처셀,7390,2016,-7.91,1.0
574,(주)네이처셀,7390,2017,-0.81,1.0
575,(주)네이처셀,7390,2018,7.8,
576,(주)네이처셀,7390,2019,8.3,
577,(주)네패스,33640,2011,3.47,
578,(주)네패스,33640,2012,7.99,
579,(주)네패스,33640,2013,-0.1,
580,(주)네패스,33640,2014,0.66,1.0
581,(주)네패스,33640,2015,0.42,1.0
582,(주)네패스,33640,2016,1.36,
583,(주)네패스,33640,2017,3.32,
584,(주)네패스,33640,2018,4.79,
585,(주)네패스,33640,2019,11.65,
586,(주)넥센,5720,2011,3.15,
587,(주)넥센,5720,2012,5.24,
588,(주)넥센,5720,2013,26.31,
589,(주)넥센,5720,2014,32.06,
590,(주)넥센,5720,2015,39.55,
591,(주)넥센,5720,2016,80.13,
592,(주)넥센,5720,2017,75.08,
593,(주)넥센,5720,2018,12.87,
594,(주)넥센,5720,2019,10.21,
595,(주)넥스턴바이오사이언스,89140,2011,40.44,
596,(주)넥스턴바이오사이언스,89140,2012,158.14,
597,(주)넥스턴바이오사이언스,89140,2013,284.57,
598,(주)넥스턴바이오사이언스,89140,2014,2169.07,
599,(주)넥스턴바이오사이언스,89140,2015,7799.11,
