,회사명,거래소코드,회계년도,이자보상배율,이보배2,부실기업,회생기업1,회생기업2
309,네오오토,212560,2017-12,1.7,2.49,0.0,,
310,네오오토,212560,2018-12,2.49,0.84,0.0,,
311,네오오토,212560,2019-12,0.84,,1.0,,
313,네오펙트,290660,2019-12,-15.37,,1.0,,
315,네이블커뮤니케이션즈,153460,2013-12,4.62,126.65,0.0,,
316,네이블커뮤니케이션즈,153460,2014-12,126.65,126.65,0.0,,
317,네이블커뮤니케이션즈,153460,2015-12,126.65,126.65,0.0,,
318,네이블커뮤니케이션즈,153460,2016-12,126.65,-454.29,0.0,,
319,네이블커뮤니케이션즈,153460,2017-12,-454.29,-454.29,1.0,,
320,네이블커뮤니케이션즈,153460,2018-12,-454.29,-454.29,1.0,,
321,네이블커뮤니케이션즈,153460,2019-12,-454.29,,1.0,,
325,네이처셀,7390,2014-12,-2.98,-2.61,1.0,,
326,네이처셀,7390,2015-12,-2.61,-7.91,1.0,,
327,네이처셀,7390,2016-12,-7.91,-0.81,1.0,,
328,네이처셀,7390,2017-12,-0.81,7.8,1.0,,
329,네이처셀,7390,2018-12,7.8,8.3,0.0,,
330,네이처셀,7390,2019-12,8.3,,0.0,,
332,네패스,33640,2012-12,7.99,-0.1,0.0,,
333,네패스,33640,2013-12,-0.1,0.66,1.0,,
334,네패스,33640,2014-12,0.66,0.42,1.0,,
335,네패스,33640,2015-12,0.42,1.36,1.0,,
336,네패스,33640,2016-12,1.36,3.32,0.0,,
337,네패스,33640,2017-12,3.32,4.79,0.0,,
338,네패스,33640,2018-12,4.79,11.65,0.0,,
339,네패스,33640,2019-12,11.65,,0.0,,
341,넥스턴바이오사이언스,89140,2012-12,158.14,284.57,0.0,,
342,넥스턴바이오사이언스,89140,2013-12,284.57,2169.07,0.0,,
343,넥스턴바이오사이언스,89140,2014-12,2169.07,7799.11,0.0,,
344,넥스턴바이오사이언스,89140,2015-12,7799.11,97436.72,0.0,,
345,넥스턴바이오사이언스,89140,2016-12,97436.72,1532.55,0.0,,
346,넥스턴바이오사이언스,89140,2017-12,1532.55,-624.03,0.0,,
347,넥스턴바이오사이언스,89140,2018-12,-624.03,2394.07,1.0,,
348,넥스턴바이오사이언스,89140,2019-12,2394.07,,0.0,,
350,넥스트아이,137940,2012-12,4655.9,17771.19,0.0,,
351,넥스트아이,137940,2013-12,17771.19,102.65,0.0,,
352,넥스트아이,137940,2014-12,102.65,100.62,0.0,,
353,넥스트아이,137940,2015-12,100.62,6.38,0.0,,
354,넥스트아이,137940,2016-12,6.38,0.84,0.0,,
355,넥스트아이,137940,2017-12,0.84,5.06,1.0,,
356,넥스트아이,137940,2018-12,5.06,3.95,0.0,,
357,넥스트아이,137940,2019-12,3.95,,0.0,,
359,넥스트엔터테인먼트월드,160550,2015-12,-5.5,14.66,1.0,,
360,넥스트엔터테인먼트월드,160550,2016-12,14.66,-6.92,0.0,,
361,넥스트엔터테인먼트월드,160550,2017-12,-6.92,-6.46,1.0,,
362,넥스트엔터테인먼트월드,160550,2018-12,-6.46,-3.05,1.0,,
363,넥스트엔터테인먼트월드,160550,2019-12,-3.05,,1.0,,
365,노블엠앤비,106520,2013-12,17.99,1.3,0.0,,
366,노블엠앤비,106520,2014-12,1.3,-4.2,0.0,,
367,노블엠앤비,106520,2015-12,-4.2,-6.13,1.0,,
368,노블엠앤비,106520,2016-12,-6.13,-4.91,1.0,,
369,노블엠앤비,106520,2017-12,-4.91,-3.67,1.0,,
370,노블엠앤비,106520,2018-12,-3.67,-0.29,1.0,,
371,노블엠앤비,106520,2019-12,-0.29,,1.0,,
373,녹십자엠에스,142280,2015-12,2.64,-3.5,0.0,,
374,녹십자엠에스,142280,2016-12,-3.5,0.26,1.0,,
375,녹십자엠에스,142280,2017-12,0.26,-6.18,1.0,,
376,녹십자엠에스,142280,2018-12,-6.18,-5.1,1.0,,
377,녹십자엠에스,142280,2019-12,-5.1,,1.0,,
379,녹원씨엔아이,65560,2012-12,-4.75,-10.45,1.0,,
380,녹원씨엔아이,65560,2013-12,-10.45,-6.5,1.0,,
381,녹원씨엔아이,65560,2014-12,-6.5,1.06,1.0,,
382,녹원씨엔아이,65560,2015-12,1.06,-3.27,0.0,,
383,녹원씨엔아이,65560,2016-12,-3.27,2.53,1.0,,
384,녹원씨엔아이,65560,2017-12,2.53,2.98,0.0,,
385,녹원씨엔아이,65560,2018-12,2.98,2.87,0.0,,
386,녹원씨엔아이,65560,2019-12,2.87,,0.0,,
388,누리플랜,69140,2012-12,-2.1,-3.78,1.0,,
389,누리플랜,69140,2013-12,-3.78,-7.07,1.0,,
390,누리플랜,69140,2014-12,-7.07,2.97,1.0,,
391,누리플랜,69140,2015-12,2.97,2.68,0.0,,
392,누리플랜,69140,2016-12,2.68,1.71,0.0,,
393,누리플랜,69140,2017-12,1.71,-3.53,0.0,,
394,누리플랜,69140,2018-12,-3.53,-0.94,1.0,,
395,누리플랜,69140,2019-12,-0.94,,1.0,,
399,누리플렉스,40160,2014-12,1.32,16.93,0.0,,
400,누리플렉스,40160,2015-12,16.93,26.21,0.0,,
401,누리플렉스,40160,2016-12,26.21,1.9,0.0,,
402,누리플렉스,40160,2017-12,1.9,11.96,0.0,,
403,누리플렉스,40160,2018-12,11.96,8.52,0.0,,
404,누리플렉스,40160,2019-12,8.52,,0.0,,
406,뉴로스,126870,2013-12,4.27,-0.05,0.0,,
407,뉴로스,126870,2014-12,-0.05,0.61,1.0,,
410,뉴로스,126870,2017-12,0.89,0.47,1.0,,
411,뉴로스,126870,2018-12,0.47,-2.37,1.0,,
412,뉴로스,126870,2019-12,-2.37,,1.0,,
414,뉴보텍,60260,2012-12,1.06,1.11,0.0,,
415,뉴보텍,60260,2013-12,1.11,-0.72,0.0,,
416,뉴보텍,60260,2014-12,-0.72,6.79,1.0,,
417,뉴보텍,60260,2015-12,6.79,7.02,0.0,,
418,뉴보텍,60260,2016-12,7.02,-4.56,0.0,,
419,뉴보텍,60260,2017-12,-4.56,0.82,1.0,,
423,뉴인텍,12340,2012-12,-3.18,-1.14,1.0,,
424,뉴인텍,12340,2013-12,-1.14,-3.15,1.0,,
425,뉴인텍,12340,2014-12,-3.15,-0.66,1.0,,
426,뉴인텍,12340,2015-12,-0.66,-9.04,1.0,,
427,뉴인텍,12340,2016-12,-9.04,-1.93,1.0,,
428,뉴인텍,12340,2017-12,-1.93,-3.18,1.0,,
429,뉴인텍,12340,2018-12,-3.18,0.34,1.0,,
430,뉴인텍,12340,2019-12,0.34,,1.0,,
432,뉴프렉스,85670,2012-12,3.14,0.97,0.0,,
433,뉴프렉스,85670,2013-12,0.97,2.23,1.0,,
434,뉴프렉스,85670,2014-12,2.23,-0.8,0.0,,
435,뉴프렉스,85670,2015-12,-0.8,0.53,1.0,,
438,뉴프렉스,85670,2018-12,5.58,-3.81,0.0,,
439,뉴프렉스,85670,2019-12,-3.81,,1.0,,
441,다날,64260,2012-12,-0.31,0.79,1.0,,
442,다날,64260,2013-12,0.79,1.06,1.0,,
443,다날,64260,2014-12,1.06,0.3,0.0,,
444,다날,64260,2015-12,0.3,1.74,1.0,,
445,다날,64260,2016-12,1.74,6.12,0.0,,
446,다날,64260,2017-12,6.12,1.85,0.0,,
447,다날,64260,2018-12,1.85,1.85,0.0,,
448,다날,64260,2019-12,1.85,,0.0,,
450,다산네트웍스,39560,2012-12,1.56,2.41,0.0,,
451,다산네트웍스,39560,2013-12,2.41,0.98,0.0,,
452,다산네트웍스,39560,2014-12,0.98,0.09,1.0,,
453,다산네트웍스,39560,2015-12,0.09,-2.88,1.0,,
454,다산네트웍스,39560,2016-12,-2.88,0.01,1.0,,
455,다산네트웍스,39560,2017-12,0.01,3.2,1.0,,
456,다산네트웍스,39560,2018-12,3.2,-0.03,0.0,,
457,다산네트웍스,39560,2019-12,-0.03,,1.0,,
459,다이나믹디자인,145210,2016-12,-453.35,-0.96,1.0,,
460,다이나믹디자인,145210,2017-12,-0.96,-4.73,1.0,,
461,다이나믹디자인,145210,2018-12,-4.73,-2.21,1.0,,
462,다이나믹디자인,145210,2019-12,-2.21,,1.0,,
464,대구백화점,6370,2019-12,-2.12,,1.0,,
466,대동,490,2012-12,0.1,1.04,1.0,,
467,대동,490,2013-12,1.04,1.01,0.0,,
468,대동,490,2014-12,1.01,0.81,0.0,,
469,대동,490,2015-12,0.81,-1.84,1.0,,
472,대동,490,2018-12,0.5,2.19,1.0,,
473,대동,490,2019-12,2.19,,0.0,,
475,대동스틸,48470,2012-12,-1.39,3.27,1.0,,
476,대동스틸,48470,2013-12,3.27,2.92,0.0,,
477,대동스틸,48470,2014-12,2.92,-5.64,0.0,,
478,대동스틸,48470,2015-12,-5.64,510.41,1.0,,
479,대동스틸,48470,2016-12,510.41,1421.75,0.0,,
480,대동스틸,48470,2017-12,1421.75,-14.84,0.0,,
481,대동스틸,48470,2018-12,-14.84,-16.84,1.0,,
482,대동스틸,48470,2019-12,-16.84,,1.0,,
484,대림제지,17650,2012-12,23.85,35.98,0.0,,
485,대림제지,17650,2013-12,35.98,86.15,0.0,,
486,대림제지,17650,2014-12,86.15,-44.32,0.0,,
487,대림제지,17650,2015-12,-44.32,239.14,1.0,,
488,대림제지,17650,2016-12,239.14,13.52,0.0,,
489,대림제지,17650,2017-12,13.52,10.06,0.0,,
490,대림제지,17650,2018-12,10.06,4.6,0.0,,
491,대림제지,17650,2019-12,4.6,,0.0,,
495,대명소노시즌,7720,2014-12,225.92,-21.65,0.0,,
496,대명소노시즌,7720,2015-12,-21.65,0.23,1.0,,
497,대명소노시즌,7720,2016-12,0.23,1.44,1.0,,
498,대명소노시즌,7720,2017-12,1.44,0.9,0.0,,
499,대명소노시즌,7720,2018-12,0.9,1.72,1.0,,
500,대명소노시즌,7720,2019-12,1.72,,0.0,,
502,대성미생물연구소,36480,2012-12,1.18,10.5,0.0,,
503,대성미생물연구소,36480,2013-12,10.5,18.57,0.0,,
504,대성미생물연구소,36480,2014-12,18.57,94.9,0.0,,
505,대성미생물연구소,36480,2015-12,94.9,141.74,0.0,,
506,대성미생물연구소,36480,2016-12,141.74,77.35,0.0,,
507,대성미생물연구소,36480,2017-12,77.35,136.12,0.0,,
508,대성미생물연구소,36480,2018-12,136.12,228.76,0.0,,
509,대성미생물연구소,36480,2019-12,228.76,,0.0,,
511,대성엘텍,25440,2012-12,0.62,-0.49,1.0,,
512,대성엘텍,25440,2013-12,-0.49,1.98,1.0,,
513,대성엘텍,25440,2014-12,1.98,1.25,0.0,,
514,대성엘텍,25440,2015-12,1.25,2.04,0.0,,
515,대성엘텍,25440,2016-12,2.04,1.5,0.0,,
516,대성엘텍,25440,2017-12,1.5,-1.03,0.0,,
517,대성엘텍,25440,2018-12,-1.03,-4.24,1.0,,
518,대성엘텍,25440,2019-12,-4.24,,1.0,,
520,대성파인텍,104040,2012-12,16.88,40.85,0.0,,
521,대성파인텍,104040,2013-12,40.85,19.72,0.0,,
522,대성파인텍,104040,2014-12,19.72,18.82,0.0,,
523,대성파인텍,104040,2015-12,18.82,8.21,0.0,,
524,대성파인텍,104040,2016-12,8.21,5.57,0.0,,
525,대성파인텍,104040,2017-12,5.57,0.87,0.0,,
526,대성파인텍,104040,2018-12,0.87,0.32,1.0,,
527,대성파인텍,104040,2019-12,0.32,,1.0,,
529,대양금속,9190,2012-12,-2.2,-0.66,1.0,,
530,대양금속,9190,2013-12,-0.66,-1.83,1.0,,
