,회사명,거래소코드,회계년도,이자보상배율,이보배2,부실기업,회생기업1,회생기업2
334,네패스,33640,16-Dec,1.36,3.32,0,,
335,네패스,33640,17-Dec,3.32,4.79,0,,
336,네패스,33640,18-Dec,4.79,11.65,0,,
337,네패스,33640,19-Dec,11.65,,0,,
338,넥스턴바이오사이언스,89140,11-Dec,40.44,158.14,0,,
339,넥스턴바이오사이언스,89140,12-Dec,158.14,284.57,0,,
340,넥스턴바이오사이언스,89140,13-Dec,284.57,2169.07,0,,
341,넥스턴바이오사이언스,89140,14-Dec,2169.07,7799.11,0,,
342,넥스턴바이오사이언스,89140,15-Dec,7799.11,97436.72,0,,
343,넥스턴바이오사이언스,89140,16-Dec,97436.72,1532.55,0,,
344,넥스턴바이오사이언스,89140,17-Dec,1532.55,-624.03,0,,
345,넥스턴바이오사이언스,89140,18-Dec,-624.03,2394.07,1,,
346,넥스턴바이오사이언스,89140,19-Dec,2394.07,,0,1,
347,넥스트아이,137940,11-Dec,17771.19,4655.9,0,,
348,넥스트아이,137940,12-Dec,4655.9,17771.19,0,,
349,넥스트아이,137940,13-Dec,17771.19,102.65,0,,
350,넥스트아이,137940,14-Dec,102.65,100.62,0,,
351,넥스트아이,137940,15-Dec,100.62,6.38,0,,
352,넥스트아이,137940,16-Dec,6.38,0.84,0,,
353,넥스트아이,137940,17-Dec,0.84,5.06,1,,
354,넥스트아이,137940,18-Dec,5.06,3.95,0,1,
355,넥스트아이,137940,19-Dec,3.95,,0,,1
356,넥스트엔터테인먼트월드,160550,14-Dec,13.68,-5.5,0,,
357,넥스트엔터테인먼트월드,160550,15-Dec,-5.5,14.66,1,,
358,넥스트엔터테인먼트월드,160550,16-Dec,14.66,-6.92,0,1,
359,넥스트엔터테인먼트월드,160550,17-Dec,-6.92,-6.46,1,,
360,넥스트엔터테인먼트월드,160550,18-Dec,-6.46,-3.05,1,,
361,넥스트엔터테인먼트월드,160550,19-Dec,-3.05,,1,,
362,노블엠앤비,106520,12-Dec,11.2,17.99,0,,
363,노블엠앤비,106520,13-Dec,17.99,1.3,0,,
364,노블엠앤비,106520,14-Dec,1.3,-4.2,0,,
365,노블엠앤비,106520,15-Dec,-4.2,-6.13,1,,
366,노블엠앤비,106520,16-Dec,-6.13,-4.91,1,,
367,노블엠앤비,106520,17-Dec,-4.91,-3.67,1,,
368,노블엠앤비,106520,18-Dec,-3.67,-0.29,1,,
369,노블엠앤비,106520,19-Dec,-0.29,,1,,
370,녹십자엠에스,142280,14-Dec,9.68,2.64,0,,
371,녹십자엠에스,142280,15-Dec,2.64,-3.5,0,,
372,녹십자엠에스,142280,16-Dec,-3.5,0.26,1,,
373,녹십자엠에스,142280,17-Dec,0.26,-6.18,1,,
374,녹십자엠에스,142280,18-Dec,-6.18,-5.1,1,,
375,녹십자엠에스,142280,19-Dec,-5.1,,1,,
376,녹원씨엔아이,65560,11-Dec,2.99,-4.75,0,,
377,녹원씨엔아이,65560,12-Dec,-4.75,-10.45,1,,
378,녹원씨엔아이,65560,13-Dec,-10.45,-6.5,1,,
379,녹원씨엔아이,65560,14-Dec,-6.5,1.06,1,,
380,녹원씨엔아이,65560,15-Dec,1.06,-3.27,0,,
381,녹원씨엔아이,65560,16-Dec,-3.27,2.53,1,,
382,녹원씨엔아이,65560,17-Dec,2.53,2.98,0,,
383,녹원씨엔아이,65560,18-Dec,2.98,2.87,0,,
384,녹원씨엔아이,65560,19-Dec,2.87,,0,,
385,누리플랜,69140,11-Dec,5.57,-2.1,0,,
386,누리플랜,69140,12-Dec,-2.1,-3.78,1,,
387,누리플랜,69140,13-Dec,-3.78,-7.07,1,,
388,누리플랜,69140,14-Dec,-7.07,2.97,1,,
389,누리플랜,69140,15-Dec,2.97,2.68,0,,
390,누리플랜,69140,16-Dec,2.68,1.71,0,,
391,누리플랜,69140,17-Dec,1.71,-3.53,0,,
392,누리플랜,69140,18-Dec,-3.53,-0.94,1,,
393,누리플랜,69140,19-Dec,-0.94,,1,,
394,누리플렉스,40160,11-Dec,0.79,-3.57,1,,
395,누리플렉스,40160,12-Dec,-3.57,2.55,1,,
396,누리플렉스,40160,13-Dec,2.55,1.32,0,,
397,누리플렉스,40160,14-Dec,1.32,16.93,0,,
398,누리플렉스,40160,15-Dec,16.93,26.21,0,,
399,누리플렉스,40160,16-Dec,26.21,1.9,0,,
400,누리플렉스,40160,17-Dec,1.9,11.96,0,,
401,누리플렉스,40160,18-Dec,11.96,8.52,0,,
402,누리플렉스,40160,19-Dec,8.52,,0,,
403,뉴로스,126870,12-Dec,5.1,4.27,0,,
404,뉴로스,126870,13-Dec,4.27,-0.05,0,,
405,뉴로스,126870,14-Dec,-0.05,0.61,1,,
406,뉴로스,126870,15-Dec,0.61,1.49,1,,
407,뉴로스,126870,16-Dec,1.49,0.89,0,,
408,뉴로스,126870,17-Dec,0.89,0.47,1,,
409,뉴로스,126870,18-Dec,0.47,-2.37,1,,
410,뉴로스,126870,19-Dec,-2.37,,1,,
411,뉴보텍,60260,11-Dec,-4.5,1.06,1,,
412,뉴보텍,60260,12-Dec,1.06,1.11,0,1,
413,뉴보텍,60260,13-Dec,1.11,-0.72,0,,1
414,뉴보텍,60260,14-Dec,-0.72,6.79,1,,
415,뉴보텍,60260,15-Dec,6.79,7.02,0,,
416,뉴보텍,60260,16-Dec,7.02,-4.56,0,,
417,뉴보텍,60260,17-Dec,-4.56,0.82,1,,
418,뉴보텍,60260,18-Dec,0.82,4.51,1,,
419,뉴보텍,60260,19-Dec,4.51,,0,,
420,뉴인텍,12340,11-Dec,0.99,-3.18,1,,
421,뉴인텍,12340,12-Dec,-3.18,-1.14,1,,
422,뉴인텍,12340,13-Dec,-1.14,-3.15,1,,
423,뉴인텍,12340,14-Dec,-3.15,-0.66,1,,
424,뉴인텍,12340,15-Dec,-0.66,-9.04,1,,
425,뉴인텍,12340,16-Dec,-9.04,-1.93,1,,
426,뉴인텍,12340,17-Dec,-1.93,-3.18,1,,
427,뉴인텍,12340,18-Dec,-3.18,0.34,1,,
428,뉴인텍,12340,19-Dec,0.34,,1,,
429,뉴프렉스,85670,11-Dec,0.81,3.14,1,,
430,뉴프렉스,85670,12-Dec,3.14,0.97,0,1,
431,뉴프렉스,85670,13-Dec,0.97,2.23,1,,
432,뉴프렉스,85670,14-Dec,2.23,-0.8,0,,
433,뉴프렉스,85670,15-Dec,-0.8,0.53,1,,
434,뉴프렉스,85670,16-Dec,0.53,5.58,1,,
435,뉴프렉스,85670,17-Dec,5.58,5.58,0,,
436,뉴프렉스,85670,18-Dec,5.58,-3.81,0,,
437,뉴프렉스,85670,19-Dec,-3.81,,1,,
438,다날,64260,11-Dec,-0.33,-0.31,1,,
439,다날,64260,12-Dec,-0.31,0.79,1,,
440,다날,64260,13-Dec,0.79,1.06,1,,
441,다날,64260,14-Dec,1.06,0.3,0,,
442,다날,64260,15-Dec,0.3,1.74,1,,
443,다날,64260,16-Dec,1.74,6.12,0,,
444,다날,64260,17-Dec,6.12,1.85,0,,
445,다날,64260,18-Dec,1.85,1.85,0,,
446,다날,64260,19-Dec,1.85,,0,,
447,다산네트웍스,39560,11-Dec,-1.06,1.56,1,,
448,다산네트웍스,39560,12-Dec,1.56,2.41,0,1,
449,다산네트웍스,39560,13-Dec,2.41,0.98,0,,1
450,다산네트웍스,39560,14-Dec,0.98,0.09,1,,
451,다산네트웍스,39560,15-Dec,0.09,-2.88,1,,
452,다산네트웍스,39560,16-Dec,-2.88,0.01,1,,
453,다산네트웍스,39560,17-Dec,0.01,3.2,1,,
454,다산네트웍스,39560,18-Dec,3.2,-0.03,0,,
455,다산네트웍스,39560,19-Dec,-0.03,,1,,
