,회사명,거래소코드,회계년도,이자보상배율,부실기업,이보배2,회생여부
376,녹십자엠에스,142280,Dec-18,-6.18,1.0,-5.1,
377,녹십자엠에스,142280,Dec-19,-5.1,1.0,,
378,녹원씨엔아이,65560,Dec-11,2.99,0.0,-4.75,
379,녹원씨엔아이,65560,Dec-12,-4.75,0.0,-10.45,
380,녹원씨엔아이,65560,Dec-13,-10.45,1.0,-6.5,
381,녹원씨엔아이,65560,Dec-14,-6.5,1.0,1.06,
382,녹원씨엔아이,65560,Dec-15,1.06,0.0,-3.27,1.0
383,녹원씨엔아이,65560,Dec-16,-3.27,0.0,2.53,
384,녹원씨엔아이,65560,Dec-17,2.53,0.0,2.98,
385,녹원씨엔아이,65560,Dec-18,2.98,0.0,2.87,
386,녹원씨엔아이,65560,Dec-19,2.87,0.0,,
387,누리플랜,69140,Dec-11,5.57,0.0,-2.1,
388,누리플랜,69140,Dec-12,-2.1,0.0,-3.78,
389,누리플랜,69140,Dec-13,-3.78,1.0,-7.07,
390,누리플랜,69140,Dec-14,-7.07,1.0,2.97,
391,누리플랜,69140,Dec-15,2.97,0.0,2.68,1.0
392,누리플랜,69140,Dec-16,2.68,0.0,1.71,
393,누리플랜,69140,Dec-17,1.71,0.0,-3.53,
394,누리플랜,69140,Dec-18,-3.53,0.0,-0.94,
395,누리플랜,69140,Dec-19,-0.94,1.0,,
396,누리플렉스,40160,Dec-11,0.79,0.0,-3.57,
397,누리플렉스,40160,Dec-12,-3.57,1.0,2.55,
398,누리플렉스,40160,Dec-13,2.55,0.0,1.32,1.0
399,누리플렉스,40160,Dec-14,1.32,0.0,16.93,
400,누리플렉스,40160,Dec-15,16.93,0.0,26.21,
401,누리플렉스,40160,Dec-16,26.21,0.0,1.9,
402,누리플렉스,40160,Dec-17,1.9,0.0,11.96,
403,누리플렉스,40160,Dec-18,11.96,0.0,8.52,
404,누리플렉스,40160,Dec-19,8.52,0.0,,
405,뉴로스,126870,Dec-12,5.1,0.0,4.27,
406,뉴로스,126870,Dec-13,4.27,0.0,-0.05,
407,뉴로스,126870,Dec-14,-0.05,0.0,0.61,
408,뉴로스,126870,Dec-15,0.61,1.0,1.49,
409,뉴로스,126870,Dec-16,1.49,0.0,0.89,1.0
410,뉴로스,126870,Dec-17,0.89,0.0,0.47,
411,뉴로스,126870,Dec-18,0.47,1.0,-2.37,
412,뉴로스,126870,Dec-19,-2.37,1.0,,
413,뉴보텍,60260,Dec-11,-4.5,0.0,1.06,
414,뉴보텍,60260,Dec-12,1.06,0.0,1.11,
415,뉴보텍,60260,Dec-13,1.11,0.0,-0.72,
416,뉴보텍,60260,Dec-14,-0.72,0.0,6.79,
417,뉴보텍,60260,Dec-15,6.79,0.0,7.02,
418,뉴보텍,60260,Dec-16,7.02,0.0,-4.56,
419,뉴보텍,60260,Dec-17,-4.56,0.0,0.82,
420,뉴보텍,60260,Dec-18,0.82,1.0,4.51,
421,뉴보텍,60260,Dec-19,4.51,0.0,,1.0
422,뉴인텍,12340,Dec-11,0.99,0.0,-3.18,
423,뉴인텍,12340,Dec-12,-3.18,1.0,-1.14,
424,뉴인텍,12340,Dec-13,-1.14,1.0,-3.15,
425,뉴인텍,12340,Dec-14,-3.15,1.0,-0.66,
426,뉴인텍,12340,Dec-15,-0.66,1.0,-9.04,
427,뉴인텍,12340,Dec-16,-9.04,1.0,-1.93,
428,뉴인텍,12340,Dec-17,-1.93,1.0,-3.18,
429,뉴인텍,12340,Dec-18,-3.18,1.0,0.34,
430,뉴인텍,12340,Dec-19,0.34,1.0,,
431,뉴프렉스,85670,Dec-11,0.81,0.0,3.14,
432,뉴프렉스,85670,Dec-12,3.14,0.0,0.97,
433,뉴프렉스,85670,Dec-13,0.97,0.0,2.23,
434,뉴프렉스,85670,Dec-14,2.23,0.0,-0.8,
435,뉴프렉스,85670,Dec-15,-0.8,0.0,0.53,
436,뉴프렉스,85670,Dec-16,0.53,1.0,5.58,
437,뉴프렉스,85670,Dec-17,5.58,0.0,5.58,1.0
