회사명,거래소코드,회계년도,부가가치(IFRS연결),유형자산(IFRS연결),건설중인자산(IFRS연결),부가가치(IFRS개별),유형자산(IFRS개별),건설중인자산(IFRS개별)
(주)골프존뉴딘홀딩스,121440,19-Dec,30323.24,0,2171905,-17313.43,70002997,37571
(주)광림,14200,11-Dec,,,,15697.65,23759906,0
(주)광림,14200,12-Dec,,,,10280.56,23876350,0
(주)광림,14200,13-Dec,,,,11826.55,23947251,0
(주)광림,14200,14-Dec,34136.72,0,0,12621.85,23724344,0
(주)광림,14200,15-Dec,,,,46963.35,24452723,0
(주)광림,14200,16-Dec,9774.59,0,1224678,12766.74,25674614,0
(주)광림,14200,17-Dec,9886.97,0,68266,121763.98,26240529,0
(주)광림,14200,18-Dec,-58751.81,0,14332125,-63701.87,24128152,0
(주)광림,14200,19-Dec,22505.39,0,1473188,-65585.59,23627901,0
(주)광명전기,17040,11-Dec,12700.72,0,1561771,8524.07,11465013,1355880
(주)광명전기,17040,12-Dec,13422.2,0,823565,7812.51,11648472,0
(주)광명전기,17040,13-Dec,22856.32,0,0,16789.22,11245458,0
(주)광명전기,17040,14-Dec,24682.31,0,0,20049.23,12676386,0
(주)광명전기,17040,15-Dec,23499.45,0,0,14620.46,12392219,0
(주)광명전기,17040,16-Dec,16207.87,0,0,30170.87,12127197,0
(주)광명전기,17040,17-Dec,9525.8,0,12300511,8812.49,15402240,0
(주)광명전기,17040,18-Dec,17755.15,0,335403,15738.2,21240625,335403
(주)광명전기,17040,19-Dec,20753.67,0,399323,19713.93,20755434,399323
(주)광무,29480,11-Dec,-31297.66,0,784770,-34287.6,17456144,784770
(주)광무,29480,12-Dec,2867.93,0,9500,-2546.32,12347204,0
(주)광무,29480,13-Dec,-19191.93,0,0,-27128.53,10935118,0
(주)광무,29480,14-Dec,,,,7685.26,8657715,0
(주)광무,29480,15-Dec,,,,4969.66,8108941,0
(주)광무,29480,16-Dec,,,,7028.95,8053509,0
(주)광무,29480,17-Dec,,,,4347.69,7752645,0
(주)광무,29480,18-Dec,3161.84,0,128,2567.43,7903725,128
(주)광무,29480,19-Dec,6253.03,0,113628,3691.03,2004796,128
(주)광주신세계,37710,11-Dec,,,,81174.22,95759237,0
(주)광주신세계,37710,12-Dec,,,,78930.35,118344439,71167
(주)광주신세계,37710,13-Dec,,,,77074.43,113548429,8567
(주)광주신세계,37710,14-Dec,,,,75546.09,112432843,431000
(주)광주신세계,37710,15-Dec,,,,78789.64,111688001,372359
(주)광주신세계,37710,16-Dec,,,,79200.71,109768330,258471
(주)광주신세계,37710,17-Dec,,,,79390.39,108947528,2522631
(주)광주신세계,37710,18-Dec,,,,74360.77,107893227,2481908
(주)광주신세계,37710,19-Dec,,,,84867.5,255366762,1115600
(주)구영테크,53270,11-Dec,30173.23,0,1551850,16205.29,26073978,928886
(주)구영테크,53270,12-Dec,34066.87,0,4210110,15794.6,31959958,3503142
(주)구영테크,53270,13-Dec,40563.29,0,520839,18802.93,32040532,111864
(주)구영테크,53270,14-Dec,40918.73,0,44719,19185.74,31369668,44720
(주)구영테크,53270,15-Dec,44427.3,0,3800903,21494.68,33224421,3800903
(주)구영테크,53270,16-Dec,41169.13,0,9075238,23004.45,37856179,9070417
(주)구영테크,53270,17-Dec,37905.67,6139319,23780213,19348.46,56419110,23501701
(주)구영테크,53270,18-Dec,46490.62,0,10946837,24326.3,71615647,8609465
(주)구영테크,53270,19-Dec,48045.12,0,4114196,23970.02,71525354,3410433
(주)국동,5320,11-Dec,2980.52,0,0,-2116.88,71685,0
(주)국동,5320,12-Dec,18227.04,0,0,4858.24,62414,0
(주)국동,5320,13-Dec,25635.95,0,0,7354.16,102132,0
(주)국동,5320,14-Dec,36358.9,0,0,10914.26,125789,0
(주)국동,5320,15-Dec,37153.81,0,2423169,13416.63,124678,0
(주)국동,5320,16-Dec,36128.26,0,4229511,13780.66,122290,0
(주)국동,5320,17-Dec,25998.16,0,2053647,-2076.99,126345,0
(주)국동,5320,18-Dec,47246.08,0,2229878,8928.66,134369,0
(주)국동,5320,19-Dec,53909.77,0,2793591,-1520.24,130910,0
(주)국보,1140,11-Dec,14836.73,0,0,13951.65,37844785,0
(주)국보,1140,12-Dec,15684.53,0,1490523,13380.25,38507895,1490523
(주)국보,1140,13-Dec,8219.66,0,0,6868.2,42150058,0
(주)국보,1140,14-Dec,5210.25,0,0,4075.68,41186594,0
(주)국보,1140,15-Dec,8167.53,0,0,7344.69,40409826,0
(주)국보,1140,16-Dec,6923.11,0,0,4899.16,39652037,0
(주)국보,1140,17-Dec,4890.55,0,0,4109.65,39364721,0
(주)국보,1140,18-Dec,9202.65,0,0,8443.01,16527335,0
(주)국보,1140,19-Dec,8104.48,0,0,786.09,7137358,0
(주)국보디자인,66620,11-Dec,37630.05,0,0,35818.45,1453461,0
(주)국보디자인,66620,12-Dec,34487.68,0,0,34226.02,2230621,0
(주)국보디자인,66620,13-Dec,44261.95,0,0,41668.79,2190348,0
(주)국보디자인,66620,14-Dec,48193.45,0,400000,42850.2,2596263,400000
(주)국보디자인,66620,15-Dec,53043.56,0,575000,42258.71,6908270,575000
(주)국보디자인,66620,16-Dec,54982.2,0,0,54240,7420242,0
(주)국보디자인,66620,17-Dec,76642.09,0,0,73546.06,7245407,0
(주)국보디자인,66620,18-Dec,69527.95,0,0,61350.27,7072221,0
(주)국보디자인,66620,19-Dec,79433.85,0,0,62003.27,8367291,0
(주)국순당,43650,11-Dec,33279.55,0,2202618,32287.82,77006392,1554554
(주)국순당,43650,12-Dec,31085.72,0,1510185,28065.87,74415222,252880
(주)국순당,43650,13-Dec,32841.1,0,27132,25153.16,71314218,604880
(주)국순당,43650,14-Dec,29706.7,300000,27132,24319.77,63633133,26880
(주)국순당,43650,15-Dec,18258.1,0,0,13157.64,60756894,0
(주)국순당,43650,16-Dec,18388.84,0,0,14524.22,56088957,0
(주)국순당,43650,17-Dec,31047.34,0,0,9927.8,49398687,0
(주)국순당,43650,18-Dec,19112.58,0,6700,14970.51,58144452,6700
(주)국순당,43650,19-Dec,14926.79,0,218138,14246.23,45386881,0
(주)국영지앤엠,6050,11-Dec,,,,3486.7,31308145,29774827
(주)국영지앤엠,6050,12-Dec,,,,12743.18,32061920,0
