회사명,거래소코드,회계년도,매출액(IFRS연결),유동자산(IFRS연결),재고자산(IFRS연결),매출액(IFRS개별),유동자산(IFRS개별),재고자산(IFRS개별)
(주)경동인베스트,12320,Dec-18,228644016,188460289,30703229,7460898,44742051,87903
(주)경동인베스트,12320,Dec-19,271765025,236475693,30814751,8641051,44653640,176596
(주)경방,50,Dec-11,348136369,138673371,72996830,275746943,123787600,71422892
(주)경방,50,Dec-12,333620804,123685731,52907652,265409209,101710997,50300747
(주)경방,50,Dec-13,347189559,103410904,40216862,264782077,79482802,35601409
(주)경방,50,Dec-14,329036023,101229398,37758471,256979444,83665762,34615710
(주)경방,50,Dec-15,357628146,108093423,52862910,307744480,83760073,37595998
(주)경방,50,Dec-16,377445013,106002223,45810493,313876822,80538917,33656952
(주)경방,50,Dec-17,360788750,90254697,31921285,288103985,71472590,22476156
(주)경방,50,Dec-18,351438926,120711492,59792825,279085217,88159568,35574579
(주)경방,50,Dec-19,343892085,264861016,31308041,253552382,223798878,13959690
(주)경보제약,214390,Dec-15,,,,178032632,105108130,49522277
(주)경보제약,214390,Dec-16,,,,186726170,102226920,47568951
(주)경보제약,214390,Dec-17,,,,191661374,110638039,47964422
(주)경보제약,214390,Dec-18,,,,201343596,128936315,53494316
(주)경보제약,214390,Dec-19,,,,191706189,124176490,62312499
(주)경인양행,12610,Dec-11,233095049,166259207,95390048,128707611,99039937,51423188
(주)경인양행,12610,Dec-12,218604655,146242797,70357744,141304459,94723927,38724208
(주)경인양행,12610,Dec-13,260808400,175887375,90667397,183106757,123143650,60685132
(주)경인양행,12610,Dec-14,277181095,164606526,89741323,190395047,107227115,57418066
(주)경인양행,12610,Dec-15,263163677,176664098,95494779,175006703,113173448,62450588
(주)경인양행,12610,Dec-16,274873817,191409058,99419770,179267850,126364739,66161603
(주)경인양행,12610,Dec-17,299987729,193184742,97118533,193975818,125062666,63955013
(주)경인양행,12610,Dec-18,331102011,234817064,123873222,222659442,165167110,86129207
(주)경인양행,12610,Dec-19,358802386,251884675,141253404,245244968,172620331,101010142
(주)고려시멘트,198440,Dec-14,,,,,,
(주)고려시멘트,198440,Dec-15,,,,,,
(주)고려시멘트,198440,Dec-16,,,,,,
(주)고려시멘트,198440,Dec-17,,,,87660276,38542950,3329941
(주)고려시멘트,198440,Dec-18,,,,85775723,49955334,4242987
(주)고려시멘트,198440,Dec-19,,,,70921781,46591282,6942200
(주)고영테크놀러지,98460,Dec-11,86130810,63304178,14264259,80200892,61560094,13001882
(주)고영테크놀러지,98460,Dec-12,107841666,77857574,17763177,100791139,75787332,15164342
(주)고영테크놀러지,98460,Dec-13,111902729,94895999,20893135,103933681,93556579,17888953
(주)고영테크놀러지,98460,Dec-14,142840131,108649874,18090390,135531589,107119140,13344937
(주)고영테크놀러지,98460,Dec-15,145904431,121834639,19344915,138554625,124933566,12475503
(주)고영테크놀러지,98460,Dec-16,171793841,154891864,19563475,153254768,156029191,12591503
(주)고영테크놀러지,98460,Dec-17,203368626,161356541,22300525,188934907,159374622,12749777
(주)고영테크놀러지,98460,Dec-18,238208865,227563739,31398344,219818022,231667150,19487304
(주)고영테크놀러지,98460,Dec-19,222057035,225797248,36331529,209480760,229213476,21338197
(주)골드앤에스,35290,Dec-11,47522791,23477041,2865869,47522791,23165184,2865869
(주)골드앤에스,35290,Dec-12,43889087,26661256,2643834,43889087,27310447,2643834
(주)골드앤에스,35290,Dec-13,39548810,15792977,3133301,36607591,17985887,3133301
(주)골드앤에스,35290,Dec-14,31287203,15072221,2940734,29428881,15782408,2940734
(주)골드앤에스,35290,Dec-15,22197935,15364121,2329866,22197935,15122533,2329866
(주)골드앤에스,35290,Dec-16,15893494,8660668,1958738,15893494,8552277,1958738
(주)골드앤에스,35290,Dec-17,12802035,10831000,1057469,12802035,10974294,1057469
(주)골드앤에스,35290,Dec-18,8680452,21031370,1290682,8680452,21031370,1290682
