회사명,거래소코드,회계년도,유동자산(IFRS연결),유동부채(IFRS연결),유동자산(IFRS개별),유동부채(IFRS개별)
(주)그래디언트,35080,Dec-13,979087606,720884668,1714561,45004312
(주)그래디언트,35080,Dec-14,1142871354,878695192,3742011,21743894
(주)그래디언트,35080,Dec-15,1337838696,1068144809,949479,29615650
(주)그래디언트,35080,Dec-16,1415600914,1146717741,395047,10522707
(주)그래디언트,35080,Dec-17,1229878565,976373594,3201309,10030244
(주)그래디언트,35080,Dec-18,1261972833,1016015610,2674301,9355864
(주)그래디언트,35080,Dec-19,1206801338,980078258,208003,12382091
(주)그리티,204020,Dec-18,89112620,17801728,75670982,9013548
(주)그리티,204020,Dec-19,82603832,17294799,68611692,11324485
(주)그린플러스,186230,Dec-19,38480019,17448583,28574671,13388362
(주)글로벌스탠다드테크놀로지,83450,Dec-11,33914648,22182733,31754029,21127458
(주)글로벌스탠다드테크놀로지,83450,Dec-12,31615500,15995521,27371107,14333160
(주)글로벌스탠다드테크놀로지,83450,Dec-13,37636405,17024585,34350069,16711997
(주)글로벌스탠다드테크놀로지,83450,Dec-14,42966221,16020729,38669764,16105582
(주)글로벌스탠다드테크놀로지,83450,Dec-15,35391249,10452602,30726947,9913536
(주)글로벌스탠다드테크놀로지,83450,Dec-16,53825575,25498390,46676903,23514395
(주)글로벌스탠다드테크놀로지,83450,Dec-17,57916418,21709365,46766708,19442714
(주)글로벌스탠다드테크놀로지,83450,Dec-18,54651818,17071170,41265448,12624416
(주)글로벌스탠다드테크놀로지,83450,Dec-19,88978443,31060762,78199372,29260908
(주)금비,8870,Sep-11,65598563,38411265,31090507,25124929
(주)금비,8870,Sep-12,69601347,37472924,27896984,22141852
(주)금비,8870,Sep-13,62071037,42128218,25680687,27380025
(주)금비,8870,Sep-14,69421539,44141036,23356269,28640135
(주)금비,8870,Sep-15,77826715,59508146,30922809,44793831
(주)금비,8870,Sep-16,92313829,60713233,36295583,43734172
(주)금비,8870,Sep-17,90869613,47059198,30234670,29695933
(주)금비,8870,Sep-18,97025499,48212198,32217235,30791918
(주)금비,8870,Sep-19,105632362,56464526,34312672,39318493
(주)금양,1570,Dec-11,73356949,73872403,50168793,70798828
(주)금양,1570,Dec-12,69850864,63820848,46841743,64574150
(주)금양,1570,Dec-13,90828722,83935212,60939478,80447090
(주)금양,1570,Dec-14,111767170,74016116,57627190,76183554
(주)금양,1570,Dec-15,116881516,96536475,63905239,103101393
(주)금양,1570,Dec-16,92604838,133837229,61611949,142130744
(주)금양,1570,Dec-17,130477254,128670679,58591469,129674554
(주)금양,1570,Dec-18,129420730,114567408,48188432,103571108
(주)금양,1570,Dec-19,130285368,140191066,61997758,125859242
(주)금호에이치티,214330,Dec-15,86522457,38988266,80694020,24870413
(주)금호에이치티,214330,Dec-16,90849794,49574660,92744392,38336002
(주)금호에이치티,214330,Dec-17,88316450,46752476,89724027,36201695
(주)금호에이치티,214330,Dec-18,155547300,86743745,138884192,72419369
(주)금호에이치티,214330,Dec-19,204929138,132504381,183830342,117617127
(주)금화피에스시,36190,Dec-11,,,65271945,15024390
(주)금화피에스시,36190,Dec-12,,,73807483,10205746
(주)금화피에스시,36190,Dec-13,89606593,21706304,78244379,19336152
(주)금화피에스시,36190,Dec-14,92403274,20654148,76794467,16975082
(주)금화피에스시,36190,Dec-15,121277555,34447722,103478978,30915038
(주)금화피에스시,36190,Dec-16,144728651,40632631,126330610,36289085
(주)금화피에스시,36190,Dec-17,158082025,41410742,141168180,38567258
(주)금화피에스시,36190,Dec-18,178015924,36350520,157919642,29577129
(주)금화피에스시,36190,Dec-19,184009183,38745095,152061849,24897188
(주)기가레인,49080,Dec-13,52670777,38143028,52867551,38765136
(주)기가레인,49080,Dec-14,42916021,33237888,42277551,33505335
(주)기가레인,49080,Dec-15,45758661,56716336,42133622,54266141
(주)기가레인,49080,Dec-16,46144283,71210116,43016521,68624696
(주)기가레인,49080,Dec-17,72343064,77579452,69139156,75490417
(주)기가레인,49080,Dec-18,97225166,80323500,93687799,79426309
(주)기가레인,49080,Dec-19,60133834,62344306,60124344,62074744
(주)기산텔레콤,35460,Dec-11,55476277,42276066,36475109,23188759
(주)기산텔레콤,35460,Dec-12,55620433,36476208,25695937,10369400
(주)기산텔레콤,35460,Dec-13,63696575,35626324,36537435,19491363
(주)기산텔레콤,35460,Dec-14,64834230,33854674,35605455,15059287
(주)기산텔레콤,35460,Dec-15,64461290,25981076,37184206,12698167
(주)기산텔레콤,35460,Dec-16,62942880,30567279,31145919,8843745
(주)기산텔레콤,35460,Dec-17,58352347,25198661,29268094,6983519
(주)기산텔레콤,35460,Dec-18,46536756,20046567,23094786,4028228
(주)기산텔레콤,35460,Dec-19,49053647,22745330,22585911,6669939
(주)까뮤이앤씨,13700,Dec-11,,,76964607,183133830
(주)까뮤이앤씨,13700,Dec-12,,,119571783,127125606
(주)까뮤이앤씨,13700,Dec-13,,,109233863,117022705
(주)까뮤이앤씨,13700,Dec-14,,,34559227,82444941
(주)까뮤이앤씨,13700,Dec-15,,,62979800,62671855
(주)까뮤이앤씨,13700,Dec-16,,,45642684,80617080
(주)까뮤이앤씨,13700,Dec-17,,,41210840,69694223
(주)까뮤이앤씨,13700,Dec-18,,,42850829,62380687
