회사명,거래소코드,회계년도,[제조]자본(*)(IFRS연결),[제조]당기순이익(손실)(IFRS연결),[제조]자본(*)(IFRS),[제조]당기순이익(손실)(IFRS)
(주)경인양행,012610,2015/12,201125304,3670895,185903130,107330
(주)경인양행,012610,2016/12,208293196,6837522,191021720,3724987
(주)경인양행,012610,2017/12,210934933,4779249,190844102,531273
(주)경인양행,012610,2018/12,223759383,13801882,198237400,7419717
(주)경인양행,012610,2019/12,237433141,16372880,201086327,4797711
(주)고려시멘트,198440,2014/12,,,,
(주)고려시멘트,198440,2015/12,,,,
(주)고려시멘트,198440,2016/12,,,,
(주)고려시멘트,198440,2017/12,,,77394108,1003761
(주)고려시멘트,198440,2018/12,,,86510962,4645869
(주)고려시멘트,198440,2019/12,,,88445378,3396444
(주)고영테크놀러지,098460,2010/12,55153968,16267441,54992891,15223139
(주)고영테크놀러지,098460,2011/12,69622726,15634438,70382391,16580579
(주)고영테크놀러지,098460,2012/12,83401095,15221925,84090906,14836215
(주)고영테크놀러지,098460,2013/12,98319609,13933294,100051693,14816762
(주)고영테크놀러지,098460,2014/12,115835240,22111066,118348519,22775832
(주)고영테크놀러지,098460,2015/12,131475647,23530903,133570714,23271756
(주)고영테크놀러지,098460,2016/12,157267580,29723733,157572806,28063238
(주)고영테크놀러지,098460,2017/12,161317171,26734105,164836232,28907302
(주)고영테크놀러지,098460,2018/12,225866639,42309672,229271175,42430216
(주)고영테크놀러지,098460,2019/12,243668528,29559680,252020628,34702997
(주)골드앤에스,035290,2010/12,21631006,-8960678,21707836,-8867129
(주)골드앤에스,035290,2011/12,22436829,1002287,22637807,1101095
(주)골드앤에스,035290,2012/12,25517817,-6467495,26252682,-6036290
(주)골드앤에스,035290,2013/12,13127355,-16837473,9813150,-16378087
(주)골드앤에스,035290,2014/12,12082621,-9319175,9084260,-8058617
(주)골드앤에스,035290,2015/12,15160254,-9502547,14991660,-9396462
(주)골드앤에스,035290,2016/12,14268527,390367,14102143,388207
(주)골드앤에스,035290,2017/12,13346076,-7975875,13104737,-8062623
(주)골드앤에스,035290,2018/12,13779569,-4380399,13867013,-4045846
(주)골드앤에스,035290,2019/12,-5091573,-24883278,-5001092,-24883215
(주)골드퍼시픽,038530,2010/12,,,21073186,347774
(주)골드퍼시픽,038530,2011/12,,,21829724,990336
(주)골드퍼시픽,038530,2012/12,,,22928402,254546
(주)골드퍼시픽,038530,2013/12,16190999,-9381353,17116411,-8455942
(주)골드퍼시픽,038530,2014/12,16567915,-7390326,16902289,-7306525
(주)골드퍼시픽,038530,2015/12,21193149,-10215946,20115559,-12525668
(주)골드퍼시픽,038530,2016/12,,,1889641,-23433498
(주)골드퍼시픽,038530,2017/12,,,5364494,-965087
(주)골드퍼시픽,038530,2018/12,20086698,-4471963,20086698,-4380343
(주)골드퍼시픽,038530,2019/12,,,21069318,-31603970
(주)골프존,215000,2015/12,108853909,36533155,105063093,33262807
(주)골프존,215000,2016/12,120648626,36536248,115886579,35913366
(주)골프존,215000,2017/12,189381881,79392004,181394935,75544308
(주)골프존,215000,2018/12,194919561,20419449,197436844,21663391
(주)골프존,215000,2019/12,200042879,16213888,205529589,19704546
(주)골프존뉴딘홀딩스,121440,2011/12,348968757,46487063,348104397,47591974
(주)골프존뉴딘홀딩스,121440,2012/12,411636973,73354594,410999847,72099265
(주)골프존뉴딘홀딩스,121440,2013/12,424543916,2803470,427556455,4493226
(주)골프존뉴딘홀딩스,121440,2014/12,486385956,79234486,473636026,63571492
(주)골프존뉴딘홀딩스,121440,2015/12,551360423,871101274,551703320,890006593
(주)골프존뉴딘홀딩스,121440,2016/12,528087415,2876449,506841449,-20255655
(주)골프존뉴딘홀딩스,121440,2017/12,500912642,-21585123,480074463,-21778628
