회사명,거래소코드,회계년도,당기자본(IFRS연결),전기자본(IFRS연결),당기자본(IFRS개별),전기자본(IFRS개별)
(주)골프존뉴딘홀딩스,121440,Dec-15,551360423,551360423,551703320,551703320
(주)골프존뉴딘홀딩스,121440,Dec-16,528087415,528087415,506841449,506841449
(주)골프존뉴딘홀딩스,121440,Dec-17,500912642,500912642,480074463,501169371
(주)골프존뉴딘홀딩스,121440,Dec-18,485969871,485969871,484480922,484480922
(주)골프존뉴딘홀딩스,121440,Dec-19,447197508,443293494,450069457,446165444
(주)광림,14200,Dec-11,,,56677106,56677106
(주)광림,14200,Dec-12,,,63502275,63502275
(주)광림,14200,Dec-13,,64796802,64796802,64796802
(주)광림,14200,Dec-14,128970849,,66259380,128970849
(주)광림,14200,Dec-15,,80899308,80899308,69805171
(주)광림,14200,Dec-16,113505965,111769640,90221084,90221084
(주)광림,14200,Dec-17,107690687,107690687,176556237,176556237
(주)광림,14200,Dec-18,90075229,90075229,120931215,120931215
(주)광림,14200,Dec-19,90772137,104625546,60749234,158104583
(주)광명전기,17040,Dec-11,62936103,62936103,56987613,56987613
(주)광명전기,17040,Dec-12,62992204,62992204,55136666,55136666
(주)광명전기,17040,Dec-13,69847678,69847678,60793004,60793004
(주)광명전기,17040,Dec-14,78696030,78696030,67539909,67539909
(주)광명전기,17040,Dec-15,87829336,87829336,71275955,71275955
(주)광명전기,17040,Dec-16,98063360,98063360,86335358,86335358
(주)광명전기,17040,Dec-17,96648221,96648221,85430878,85430878
(주)광명전기,17040,Dec-18,98748349,98748349,87989865,87989865
(주)광명전기,17040,Dec-19,105398860,105398860,94186043,94186043
(주)광무,29480,Dec-11,37831616,37799680,49296267,49264331
(주)광무,29480,Dec-12,29507217,29507217,36518143,36518143
(주)광무,29480,Dec-13,8786699,,11346800,8786699
(주)광무,29480,Dec-14,,,8505450,8505450
(주)광무,29480,Dec-15,,,7744452,7744452
(주)광무,29480,Dec-16,,,8053231,8053231
(주)광무,29480,Dec-17,,13552175,13552175,13552175
(주)광무,29480,Dec-18,10729216,10729216,9695091,9695091
(주)광무,29480,Dec-19,22844122,22844122,22202195,22202195
(주)광주신세계,37710,Dec-11,,,310214632,310214632
(주)광주신세계,37710,Dec-12,,,361615843,361615843
(주)광주신세계,37710,Dec-13,,,408690826,408690826
(주)광주신세계,37710,Dec-14,,,448624926,448624926
(주)광주신세계,37710,Dec-15,,,491380796,491380796
(주)광주신세계,37710,Dec-16,,,534290186,534290186
(주)광주신세계,37710,Dec-17,,,579363832,579363832
(주)광주신세계,37710,Dec-18,,,620656716,620656716
(주)광주신세계,37710,Dec-19,,,661189861,661189861
(주)구영테크,53270,Dec-11,36633264,36633264,27962532,27962532
(주)구영테크,53270,Dec-12,36686891,36686891,29302171,29302171
(주)구영테크,53270,Dec-13,39023837,39023837,30762180,30762180
(주)구영테크,53270,Dec-14,52212920,52212920,42200180,42200180
(주)구영테크,53270,Dec-15,56401223,56401223,44066560,44066560
(주)구영테크,53270,Dec-16,57780291,57780291,46429602,46429602
(주)구영테크,53270,Dec-17,55811041,55811041,47102417,47102417
(주)구영테크,53270,Dec-18,68827896,68827896,57861349,57861349
(주)구영테크,53270,Dec-19,71704257,71704257,58668784,58668784
(주)국동,5320,Dec-11,5829570,5829570,2694312,2694312
(주)국동,5320,Dec-12,9422729,9422729,2775119,2775119
(주)국동,5320,Dec-13,15412210,15412210,5947778,5947778
(주)국동,5320,Dec-14,28639367,28639367,14336568,14336568
(주)국동,5320,Dec-15,31226110,31226110,22395455,22395455
(주)국동,5320,Dec-16,51725723,51725723,40069999,40069999
(주)국동,5320,Dec-17,42630725,42630725,38638770,38638770
(주)국동,5320,Dec-18,48475045,48475045,41762492,41762492
(주)국동,5320,Dec-19,65481226,65481226,54349558,54349558
(주)국보,1140,Dec-11,34466553,34466553,33874415,33874415
(주)국보,1140,Dec-12,33793391,,31655538,31655538
(주)국보,1140,Dec-13,29768264,29768264,27678685,27678685
(주)국보,1140,Dec-14,22620239,22620239,20984752,20984752
(주)국보,1140,Dec-15,18409444,18409444,17113465,17113465
(주)국보,1140,Dec-16,15275562,15275562,13200649,13200649
(주)국보,1140,Dec-17,17848563,17848563,16039171,16039171
(주)국보,1140,Dec-18,13412206,13412206,11578143,11578143
(주)국보,1140,Dec-19,28604010,28604010,12278837,12278837
(주)국보디자인,66620,Dec-11,48143562,48143562,48472432,48472432
(주)국보디자인,66620,Dec-12,57564527,57564527,58283419,58283419
(주)국보디자인,66620,Dec-13,65598063,65598063,64945696,64945696
(주)국보디자인,66620,Dec-14,74350888,74350888,70452085,70452085
(주)국보디자인,66620,Dec-15,83307386,83307386,75467148,75467148
(주)국보디자인,66620,Dec-16,86928845,86928845,80282408,80282408
(주)국보디자인,66620,Dec-17,99283826,99283826,94380512,94380512
