회사명,거래소코드,회계년도,매출액증가율(IFRS),재고자산증가율(IFRS),자기자본증가율(IFRS)
(주)나노엔텍,39860,Dec-16,6.84,59.71,-43.57
(주)나노엔텍,39860,Dec-17,11.06,6.47,-3.19
(주)나노엔텍,39860,Dec-18,12.37,-1,44.53
(주)나노엔텍,39860,Dec-19,0.92,1.32,16.52
(주)나무가,190510,Dec-15,70.21,78.08,200.8
(주)나무가,190510,Dec-16,-42.57,-39.14,19.4
(주)나무가,190510,Dec-17,-10.67,-69.44,-60.56
(주)나무가,190510,Dec-18,17.89,-26.45,37.02
(주)나무가,190510,Dec-19,37.93,4138.81,28.91
(주)나스미디어,89600,Dec-13,5.5,0,28.83
(주)나스미디어,89600,Dec-14,20.61,0,11.34
(주)나스미디어,89600,Dec-15,52.37,0,11.13
(주)나스미디어,89600,Dec-16,35.74,0,41.27
(주)나스미디어,89600,Dec-17,36.49,0,17.93
