회사명,거래소코드,회계년도,당기순이익(IFRS연결),전기순이익(IFRS연결),당기순이익(IFRS개별),전기순이익(IFRS개별)
(주)국보,1140,Dec-15,-4043773,-4043773,-3679630,-3679630
(주)국보,1140,Dec-16,-4187272,-4187272,-5034348,-5034348
(주)국보,1140,Dec-17,-2889794,-2889794,-2761653,-2761653
(주)국보,1140,Dec-18,-3999572,-3999572,-4038217,-4038217
(주)국보,1140,Dec-19,-6676274,-6676274,-9851123,-9851123
(주)국보디자인,66620,Dec-11,6055732,6055732,6607794,6607794
(주)국보디자인,66620,Dec-12,8281324,7693678,8631842,8044196
(주)국보디자인,66620,Dec-13,10935895,10935895,9417821,9417821
(주)국보디자인,66620,Dec-14,10942079,10942079,7901285,7901285
(주)국보디자인,66620,Dec-15,10768050,10768050,6947669,6947669
(주)국보디자인,66620,Dec-16,10738135,10738135,11905078,11905078
(주)국보디자인,66620,Dec-17,13340935,13340935,14149734,14149734
(주)국보디자인,66620,Dec-18,13872876,13872876,14098992,14098992
(주)국보디자인,66620,Dec-19,15942956,15942956,9509021,9509021
(주)국순당,43650,Dec-11,5264054,5264054,5640710,5640710
(주)국순당,43650,Dec-12,6185532,6247982,5122888,5185337
(주)국순당,43650,Dec-13,5742772,5742772,2346882,2346882
(주)국순당,43650,Dec-14,3463226,3463226,1997559,1997559
(주)국순당,43650,Dec-15,-3529405,-3529405,-4854598,-4854598
(주)국순당,43650,Dec-16,-2760688,-2760688,-2212642,-2212642
(주)국순당,43650,Dec-17,9687855,9394895,9847390,9847390
(주)국순당,43650,Dec-18,-2977369,-2977369,15171022,15171022
(주)국순당,43650,Dec-19,-8269903,-254418,571892,4317792
(주)국영지앤엠,6050,Dec-11,,,-1752706,-1752706
(주)국영지앤엠,6050,Dec-12,,,4832440,4832440
(주)국영지앤엠,6050,Dec-13,,,953338,953338
(주)국영지앤엠,6050,Dec-14,,,395531,395531
(주)국영지앤엠,6050,Dec-15,,,-533927,-533927
(주)국영지앤엠,6050,Dec-16,,,385503,385503
(주)국영지앤엠,6050,Dec-17,,,1431624,1431624
(주)국영지앤엠,6050,Dec-18,,,-354808,-354808
(주)국영지앤엠,6050,Dec-19,,,1089819,1089819
(주)국전약품,307750,Dec-18,,,,
(주)국전약품,307750,Dec-19,,,,
(주)그래디언트,35080,Dec-11,-12292479,-12292479,-4906079,-4906079
(주)그래디언트,35080,Dec-12,12756395,28361850,15794035,15794035
(주)그래디언트,35080,Dec-13,23780984,23973639,-9664900,-9472246
(주)그래디언트,35080,Dec-14,31456346,31456346,625806,625806
(주)그래디언트,35080,Dec-15,42995247,42995247,13112622,13112622
(주)그래디언트,35080,Dec-16,-39011241,-39011241,-40598919,-40598919
(주)그래디언트,35080,Dec-17,-63634928,-63634928,-54754214,-54754214
(주)그래디언트,35080,Dec-18,-4194664,-4194664,4404863,4404863
(주)그래디언트,35080,Dec-19,6507368,6507368,4125060,4125060
(주)그리티,204020,Dec-18,4810592,4810592,6019400,6019400
(주)그리티,204020,Dec-19,1563323,1563323,2627015,2627015
(주)그린플러스,186230,Dec-19,2533086,2533086,2435883,2435883
(주)글로벌스탠다드테크놀로지,83450,Dec-11,3521902,3521902,2301945,2301945
(주)글로벌스탠다드테크놀로지,83450,Dec-12,7003711,7003711,5403733,5403733
(주)글로벌스탠다드테크놀로지,83450,Dec-13,5925826,5925826,5075966,5075966
(주)글로벌스탠다드테크놀로지,83450,Dec-14,7880919,7880919,6151625,6151625
(주)글로벌스탠다드테크놀로지,83450,Dec-15,5703892,5703892,3910170,3910170
(주)글로벌스탠다드테크놀로지,83450,Dec-16,4644376,4644376,3758214,3758214
(주)글로벌스탠다드테크놀로지,83450,Dec-17,15756344,15756344,13135277,13135277
(주)글로벌스탠다드테크놀로지,83450,Dec-18,10303468,10303468,7747618,7747618
(주)글로벌스탠다드테크놀로지,83450,Dec-19,17968416,17968416,17027156,17027156
(주)금비,8870,Sep-11,5926611,5926611,828877,828877
(주)금비,8870,Sep-12,2324776,2324776,134171,134171
(주)금비,8870,Sep-13,1899708,1899708,302774,302774
(주)금비,8870,Sep-14,3097739,3097739,-1062704,-1062704
(주)금비,8870,Sep-15,7665205,7665205,2817261,2817261
(주)금비,8870,Sep-16,13187315,13187315,6032090,6032090
(주)금비,8870,Sep-17,6646301,6646301,1457776,1457776
(주)금비,8870,Sep-18,10167339,10167339,4159383,4159383
(주)금비,8870,Sep-19,10620899,10620899,2736847,2736847
(주)금양,1570,Dec-11,2964115,2964115,2436780,2436780
(주)금양,1570,Dec-12,3717420,3717420,3159937,3159937
(주)금양,1570,Dec-13,719232,719232,1518013,1518013
(주)금양,1570,Dec-14,-111826,-111826,2861900,2861900
(주)금양,1570,Dec-15,14474633,14474633,2338700,2338700
(주)금양,1570,Dec-16,-20526295,-20526295,-23749351,-23749351
(주)금양,1570,Dec-17,18645438,18645438,366688,366688
(주)금양,1570,Dec-18,20253300,20253300,16116052,16116052
(주)금양,1570,Dec-19,-10903987,-10903987,-12752836,-12752836
(주)금호에이치티,214330,Dec-15,14971109,14971109,16768247,16768247
(주)금호에이치티,214330,Dec-16,8354070,8354070,12887704,12887704
(주)금호에이치티,214330,Dec-17,4933421,4933421,5433832,5433832
(주)금호에이치티,214330,Dec-18,7792877,7792877,7102658,7102658
(주)금호에이치티,214330,Dec-19,-75223,-75223,1794762,1794762
(주)금화피에스시,36190,Dec-11,,,15182500,15182500
(주)금화피에스시,36190,Dec-12,,18485546,18485546,17802594
(주)금화피에스시,36190,Dec-13,22786047,22786047,21184156,21184156
(주)금화피에스시,36190,Dec-14,21397903,21397903,20636145,20636145
(주)금화피에스시,36190,Dec-15,22676558,22676558,21704964,21704964
(주)금화피에스시,36190,Dec-16,23917682,23917682,22053825,22053825
(주)금화피에스시,36190,Dec-17,20153925,20582621,20754033,19685613
(주)금화피에스시,36190,Dec-18,39649709,39649709,38175421,38175421
(주)금화피에스시,36190,Dec-19,27677441,27677441,25283209,25283209
(주)기가레인,49080,Dec-13,10828194,10828194,11073413,11073413
(주)기가레인,49080,Dec-14,7764423,7764423,9064933,9064933
(주)기가레인,49080,Dec-15,-13369109,-13369109,-14035109,-14035109
(주)기가레인,49080,Dec-16,-10347329,-10347329,-10793714,-10793714
(주)기가레인,49080,Dec-17,-920801,-920801,-401780,-401780
(주)기가레인,49080,Dec-18,-21635992,-21635992,-23731827,-23731827
(주)기가레인,49080,Dec-19,-46059977,-42329117,-44243046,-40512186
(주)기산텔레콤,35460,Dec-11,-12092371,-12092371,-8844829,-8844829
(주)기산텔레콤,35460,Dec-12,-1882261,-1882260,1433180,1433180
(주)기산텔레콤,35460,Dec-13,3928729,3928729,2049347,2049347
(주)기산텔레콤,35460,Dec-14,2744606,2744606,655537,655537
(주)기산텔레콤,35460,Dec-15,1701580,1701580,564987,564987
(주)기산텔레콤,35460,Dec-16,-2639743,-2639743,-1733928,-1733928
(주)기산텔레콤,35460,Dec-17,-5538516,-5538516,-2085390,-2085390
(주)기산텔레콤,35460,Dec-18,-3327575,-3327575,-5791304,-5791304
