회사명,거래소코드,회계년도,매출액(IFRS연결),매출원가(IFRS연결),매출액(IFRS개별),매출원가(IFRS개별)
(주)구영테크,53270,Dec-19,230853336,208667166,93132845,79774125
(주)국동,5320,Dec-11,154293577,134179552,100097439,86396894
(주)국동,5320,Dec-12,138172746,112722986,91524436,75786153
(주)국동,5320,Dec-13,147860227,123575979,95716049,78656021
(주)국동,5320,Dec-14,186086561,153250540,117861978,95550889
(주)국동,5320,Dec-15,170296068,140601202,102431161,82651994
(주)국동,5320,Dec-16,197368723,160651679,127275873,102252563
(주)국동,5320,Dec-17,191602989,163195489,130016453,111577387
(주)국동,5320,Dec-18,219550054,183038971,136811631,115258052
(주)국동,5320,Dec-19,223077183,188905199,116180044,99266447
(주)국보,1140,Dec-11,130636214,121478547,118304924,110401747
(주)국보,1140,Dec-12,122343037,112775782,109183947,101495533
(주)국보,1140,Dec-13,117073443,107727279,108994114,101240956
(주)국보,1140,Dec-14,97520169,91556717,89859741,84920430
(주)국보,1140,Dec-15,91618545,85746776,85267457,80391773
(주)국보,1140,Dec-16,87333326,79591802,77773715,72438469
(주)국보,1140,Dec-17,78255522,72337683,74662255,69821126
(주)국보,1140,Dec-18,71549828,67935985,66929948,64102691
(주)국보,1140,Dec-19,89087334,71346937,58296078,56501133
(주)국보디자인,66620,Dec-11,130689686,110146120,123203000,104476612
(주)국보디자인,66620,Dec-12,119402993,100272273,118458574,99523026
(주)국보디자인,66620,Dec-13,163518536,141528744,153216189,133394653
(주)국보디자인,66620,Dec-14,176373907,150086662,158268803,136427117
(주)국보디자인,66620,Dec-15,192608497,167038905,157657615,139094723
(주)국보디자인,66620,Dec-16,201410031,176586073,191620729,165798273
(주)국보디자인,66620,Dec-17,270658405,224690293,262522024,219241879
(주)국보디자인,66620,Dec-18,254259835,216708444,231093439,197658770
(주)국보디자인,66620,Dec-19,269005976,236763672,237054909,211116237
(주)국순당,43650,Dec-11,127686247,73054530,124279594,71050728
(주)국순당,43650,Dec-12,118697826,65490982,115146725,63606595
(주)국순당,43650,Dec-13,99173525,57173733,96140591,55586775
(주)국순당,43650,Dec-14,91863604,55688500,89173752,54216676
(주)국순당,43650,Dec-15,77443124,50017004,74955341,48640465
(주)국순당,43650,Dec-16,69701266,42026522,68425801,40999107
(주)국순당,43650,Dec-17,62761236,38986795,60087461,36938506
(주)국순당,43650,Dec-18,61496072,38750320,52679104,32145829
(주)국순당,43650,Dec-19,102095769,73665131,48045002,30836825
(주)국영지앤엠,6050,Dec-11,,,42569848,42885119
(주)국영지앤엠,6050,Dec-12,,,43781593,43286767
(주)국영지앤엠,6050,Dec-13,,,55789778,53028778
(주)국영지앤엠,6050,Dec-14,,,51491847,48486069
(주)국영지앤엠,6050,Dec-15,,,40107647,39614548
(주)국영지앤엠,6050,Dec-16,,,51456556,49594430
(주)국영지앤엠,6050,Dec-17,,,62861661,59698131
(주)국영지앤엠,6050,Dec-18,,,56301480,55344975
(주)국영지앤엠,6050,Dec-19,,,73013468,69721549
(주)국전약품,307750,Dec-18,,,,
(주)국전약품,307750,Dec-19,,,,
(주)그래디언트,35080,Dec-11,428571939,282364606,9501248,0
(주)그래디언트,35080,Dec-12,454225001,299062441,11150621,0
(주)그래디언트,35080,Dec-13,2930521926,2623897237,7939840,0
(주)그래디언트,35080,Dec-14,3135027346,2828895725,7753595,0
(주)그래디언트,35080,Dec-15,3536848758,3149191043,12870821,0
(주)그래디언트,35080,Dec-16,3845761388,3422959059,16516754,0
(주)그래디언트,35080,Dec-17,3541486629,3155796412,12485184,0
(주)그래디언트,35080,Dec-18,3440906300,3085740379,12237889,0
(주)그래디언트,35080,Dec-19,3412333826,3033401434,8719700,0
(주)그리티,204020,Dec-18,119259702,49005066,117056356,46452906
(주)그리티,204020,Dec-19,123079831,56407950,120984485,54427584
(주)그린플러스,186230,Dec-19,48831866,39379899,39502728,32031887
(주)글로벌스탠다드테크놀로지,83450,Dec-11,41504144,25904818,40662578,27560469
(주)글로벌스탠다드테크놀로지,83450,Dec-12,64812103,39987385,62774905,41946601
(주)글로벌스탠다드테크놀로지,83450,Dec-13,80982977,54728168,78917554,56410457
(주)글로벌스탠다드테크놀로지,83450,Dec-14,89122994,60458294,85992839,62260560
