회사명,거래소코드,회계년도,기계장치(IFRS연결,기계장치(IFRS),합계_기말인원
(주)기가레인,49080,Dec-14,37425107,36759869,377
(주)기가레인,49080,Dec-15,47392398,44896977,364
(주)기가레인,49080,Dec-16,52266399,50653036,350
(주)기가레인,49080,Dec-17,37528613,36203181,200
(주)기가레인,49080,Dec-18,13508032,12699408,222
(주)기가레인,49080,Dec-19,40724740,39418308,199
(주)기산텔레콤,35460,Dec-11,8203510,5914203,92
(주)기산텔레콤,35460,Dec-12,8081837,5909531,84
(주)기산텔레콤,35460,Dec-13,8355271,5977727,85
(주)기산텔레콤,35460,Dec-14,8556695,195149,98
(주)기산텔레콤,35460,Dec-15,8792707,130497,86
(주)기산텔레콤,35460,Dec-16,839967,110668,95
(주)기산텔레콤,35460,Dec-17,1061750,75686,89
(주)기산텔레콤,35460,Dec-18,905427,50855,85
(주)기산텔레콤,35460,Dec-19,942537,146366,79
(주)까뮤이앤씨,13700,Dec-11,,1355152,80
(주)까뮤이앤씨,13700,Dec-12,,1468882,80
(주)까뮤이앤씨,13700,Dec-13,,1588652,77
(주)까뮤이앤씨,13700,Dec-14,,1642652,130
(주)까뮤이앤씨,13700,Dec-15,,2317619,159
(주)까뮤이앤씨,13700,Dec-16,,2495219,161
(주)까뮤이앤씨,13700,Dec-17,,3989557,162
(주)까뮤이앤씨,13700,Dec-18,,4032748,177
(주)까뮤이앤씨,13700,Dec-19,,4364826,167
(주)까스텔바작,308100,Dec-19,0,0,59
(주)나노,187790,Dec-14,,,
(주)나노,187790,Dec-15,29694127,17616248,77
(주)나노,187790,Dec-16,30880246,17637248,76
(주)나노,187790,Dec-17,33433559,17637248,71
(주)나노,187790,Dec-18,34572286,17637248,63
(주)나노,187790,Dec-19,32027696,17637248,45
(주)나노브릭,286750,Dec-19,4087983,4087983,58
(주)나노신소재,121600,Dec-11,19452035,19452035,134
(주)나노신소재,121600,Dec-12,20757426,20757426,133
(주)나노신소재,121600,Dec-13,21001097,21001097,134
(주)나노신소재,121600,Dec-14,22829155,22829155,151
(주)나노신소재,121600,Dec-15,23041255,23041255,166
(주)나노신소재,121600,Dec-16,25222971,25222971,178
(주)나노신소재,121600,Dec-17,27727435,27727435,192
(주)나노신소재,121600,Dec-18,30513001,30513001,195
(주)나노신소재,121600,Dec-19,32044358,32044358,213
(주)나노엔텍,39860,Dec-11,2385905,2385905,83
(주)나노엔텍,39860,Dec-12,2467905,2467905,88
(주)나노엔텍,39860,Dec-13,4869805,4869805,89
(주)나노엔텍,39860,Dec-14,4869805,4869805,94
(주)나노엔텍,39860,Dec-15,6868041,5156605,107
(주)나노엔텍,39860,Dec-16,7622220,7622220,141
(주)나노엔텍,39860,Dec-17,8153350,8153350,95
(주)나노엔텍,39860,Dec-18,8397010,8397010,98
(주)나노엔텍,39860,Dec-19,8576510,8576510,105
(주)나무가,190510,Dec-15,43989528,1615187,145
(주)나무가,190510,Dec-16,55531485,2928653,138
(주)나무가,190510,Dec-17,55513822,1554550,128
(주)나무가,190510,Dec-18,54831108,1657303,107
(주)나무가,190510,Dec-19,79725198,1741723,146
(주)나스미디어,89600,Dec-13,,0,193
(주)나스미디어,89600,Dec-14,,0,212
(주)나스미디어,89600,Dec-15,,0,225
(주)나스미디어,89600,Dec-16,0,0,273
(주)나스미디어,89600,Dec-17,0,0,320
(주)나스미디어,89600,Dec-18,0,0,319
(주)나스미디어,89600,Dec-19,0,0,351
(주)나이벡,138610,Dec-11,,1815319,29
(주)나이벡,138610,Dec-12,,2036014,31
(주)나이벡,138610,Dec-13,,2396984,45
(주)나이벡,138610,Dec-14,,2527928,44
(주)나이벡,138610,Dec-15,,3097008,50
(주)나이벡,138610,Dec-16,,3279805,57
(주)나이벡,138610,Dec-17,,3260940,55
(주)나이벡,138610,Dec-18,,4096750,58
(주)나이벡,138610,Dec-19,,4104029,71
(주)나이스디앤비,130580,Dec-11,,0,97
(주)나이스디앤비,130580,Dec-12,,0,103
(주)나이스디앤비,130580,Dec-13,,0,98
(주)나이스디앤비,130580,Dec-14,,0,111
(주)나이스디앤비,130580,Dec-15,391082,0,114
(주)나이스디앤비,130580,Dec-16,606091,0,154
(주)나이스디앤비,130580,Dec-17,649249,0,204
(주)나이스디앤비,130580,Dec-18,663357,0,262
(주)나이스디앤비,130580,Dec-19,1084235,0,294
(주)나이스홀딩스,34310,Dec-11,25326740,2236453,38
(주)나이스홀딩스,34310,Dec-12,26512987,1281325,41
(주)나이스홀딩스,34310,Dec-13,65733766,996175,39
(주)나이스홀딩스,34310,Dec-14,153041549,5769719,39
(주)나이스홀딩스,34310,Dec-15,100903239,4253762,45
(주)나이스홀딩스,34310,Dec-16,101463098,2874817,33
(주)나이스홀딩스,34310,Dec-17,109817059,1709197,35
(주)나이스홀딩스,34310,Dec-18,175099129,820078,37
(주)나이스홀딩스,34310,Dec-19,222480562,797862,48
(주)나인테크,267320,Dec-17,,,4
(주)나인테크,267320,Dec-18,,,4
(주)나인테크,267320,Dec-19,,,4
(주)남선알미늄,8350,Dec-11,15624936,15624936,670
(주)남선알미늄,8350,Dec-12,,17320103,655
(주)남선알미늄,8350,Dec-13,,18197974,646
(주)남선알미늄,8350,Dec-14,,20929721,643
(주)남선알미늄,8350,Dec-15,,22468157,586
(주)남선알미늄,8350,Dec-16,,23740154,601
(주)남선알미늄,8350,Dec-17,,25597112,583
(주)남선알미늄,8350,Dec-18,32267151,32267151,632
(주)남선알미늄,8350,Dec-19,33338449,33338449,619
(주)남성,4270,Dec-11,1596443,239457,59
(주)남성,4270,Dec-12,1601497,244511,68
(주)남성,4270,Dec-13,1609387,252401,67
(주)남성,4270,Dec-14,1609387,252401,58
(주)남성,4270,Dec-15,1609387,252401,57
(주)남성,4270,Dec-16,252401,252401,62
(주)남성,4270,Dec-17,252401,252401,61
(주)남성,4270,Dec-18,252401,252401,57
