회사명,거래소코드,회계년도,매출액(IFRS연결),매출채권(IFRS연결),매출액(IFRS개별),매출채권(IFRS개별)
(주)고영테크놀러지,98460,Dec-16,171793841,57993580,153254768,84100616
(주)고영테크놀러지,98460,Dec-17,203368626,72204125,188934907,103464560
(주)고영테크놀러지,98460,Dec-18,238208865,87348349,219818022,107503723
(주)고영테크놀러지,98460,Dec-19,222057035,85250616,209480760,111177420
(주)골드앤에스,35290,Dec-11,47522791,8521200,47522791,8521199
(주)골드앤에스,35290,Dec-12,43889087,7648183,43889087,7648184
(주)골드앤에스,35290,Dec-13,39548810,7534315,36607591,7535782
(주)골드앤에스,35290,Dec-14,31287203,7494549,29428881,7503242
(주)골드앤에스,35290,Dec-15,22197935,7300896,22197935,7300896
(주)골드앤에스,35290,Dec-16,15893494,6613954,15893494,6613954
(주)골드앤에스,35290,Dec-17,12802035,6452974,12802035,6452974
(주)골드앤에스,35290,Dec-18,8680452,4799709,8680452,4799709
(주)골드앤에스,35290,Dec-19,7642733,4418864,7642733,4418864
(주)골드퍼시픽,38530,Dec-11,,,11236925,1502923
(주)골드퍼시픽,38530,Dec-12,,,10491048,4387103
(주)골드퍼시픽,38530,Dec-13,7167832,6082377,6488691,5689818
(주)골드퍼시픽,38530,Dec-14,16486257,8912889,4855121,7249571
(주)골드퍼시픽,38530,Dec-15,18635305,8175535,6121489,8175535
(주)골드퍼시픽,38530,Dec-16,,,9588100,8468843
(주)골드퍼시픽,38530,Dec-17,,,5031439,10040030
(주)골드퍼시픽,38530,Dec-18,5708281,9015191,5580994,9097306
(주)골드퍼시픽,38530,Dec-19,,,11323125,11971868
(주)골프존,215000,Dec-15,201560389,16619616,184085342,16912747
(주)골프존,215000,Dec-16,216964342,13774715,196864993,12711470
(주)골프존,215000,Dec-17,200105321,18258663,171859065,16542689
(주)골프존,215000,Dec-18,198705194,20008011,191571105,19652517
(주)골프존,215000,Dec-19,247018099,17763826,239051647,19050011
(주)골프존뉴딘홀딩스,121440,Dec-11,215793737,9241114,209788389,9693683
(주)골프존뉴딘홀딩스,121440,Dec-12,289629366,12363953,276341690,11012643
(주)골프존뉴딘홀딩스,121440,Dec-13,365126358,17739672,340005073,13661065
(주)골프존뉴딘홀딩스,121440,Dec-14,429589619,16824334,387066126,13195483
(주)골프존뉴딘홀딩스,121440,Dec-15,164536448,6118520,29389093,1298568
(주)골프존뉴딘홀딩스,121440,Dec-16,243275475,4397394,27652102,2030134
(주)골프존뉴딘홀딩스,121440,Dec-17,213756902,6687798,23499543,1611931
(주)골프존뉴딘홀딩스,121440,Dec-18,223036801,12689009,16100354,2372526
(주)골프존뉴딘홀딩스,121440,Dec-19,228935651,11370127,26897482,2408025
(주)광림,14200,Dec-11,,,106495363,18729997
(주)광림,14200,Dec-12,,,85322569,14514359
(주)광림,14200,Dec-13,,,103442134,16091136
(주)광림,14200,Dec-14,231446314,37525936,92553612,14926608
(주)광림,14200,Dec-15,,,237222890,15556705
(주)광림,14200,Dec-16,87302967,35770538,87302967,9931190
(주)광림,14200,Dec-17,135191558,22490849,99421336,7569100
(주)광림,14200,Dec-18,136595300,34113986,75493055,9521763
(주)광림,14200,Dec-19,145864184,26246160,93241157,10365519
(주)광명전기,17040,Dec-11,92382628,26276590,57967857,15642201
(주)광명전기,17040,Dec-12,117216514,26121680,79318302,18984031
(주)광명전기,17040,Dec-13,117852824,30019188,90344376,25766651
(주)광명전기,17040,Dec-14,134778387,36337764,115801471,31554886
(주)광명전기,17040,Dec-15,116316957,16825692,93000177,11967345
(주)광명전기,17040,Dec-16,96942911,20812852,96931493,19314773
(주)광명전기,17040,Dec-17,101561159,16276254,105083042,19292906
(주)광명전기,17040,Dec-18,114110654,16707389,96949804,16383101
(주)광명전기,17040,Dec-19,131864294,18747808,125009206,17078687
(주)광무,29480,Dec-11,51755052,15437387,50359203,15007132
(주)광무,29480,Dec-12,41178683,18148992,40406860,7975589
(주)광무,29480,Dec-13,20534276,19869205,10105219,5018421
(주)광무,29480,Dec-14,,,38409667,4374987
(주)광무,29480,Dec-15,,,17648493,3100483
(주)광무,29480,Dec-16,,,26429957,4933425
(주)광무,29480,Dec-17,,,21540953,5897853
(주)광무,29480,Dec-18,23074941,6812775,20707286,6442654
(주)광무,29480,Dec-19,36483979,6986082,25244176,6607048
(주)광주신세계,37710,Dec-11,,,219613514,5261643
(주)광주신세계,37710,Dec-12,,,213803173,6323881
(주)광주신세계,37710,Dec-13,,,206606675,4729317
(주)광주신세계,37710,Dec-14,,,204820461,4540143
(주)광주신세계,37710,Dec-15,,,205331892,4577507
(주)광주신세계,37710,Dec-16,,,210423594,7699769
(주)광주신세계,37710,Dec-17,,,209647360,8674542
(주)광주신세계,37710,Dec-18,,,135213362,9520237
(주)광주신세계,37710,Dec-19,,,154879496,7997425
(주)구영테크,53270,Dec-11,147832315,23926433,62527619,13535988
(주)구영테크,53270,Dec-12,155788988,20379904,65451015,15359575
(주)구영테크,53270,Dec-13,172747316,20909469,76282590,15028158
(주)구영테크,53270,Dec-14,170528694,24073036,77799749,20379318
(주)구영테크,53270,Dec-15,172083049,21783991,87109177,17866513
(주)구영테크,53270,Dec-16,148301597,19261358,75320433,14956757
(주)구영테크,53270,Dec-17,149833357,15896364,74298129,12980262
(주)구영테크,53270,Dec-18,195238339,19516600,81928926,16135074
(주)구영테크,53270,Dec-19,230853336,24281004,93132845,16757584
(주)국동,5320,Dec-11,154293577,14368516,100097439,11530629
(주)국동,5320,Dec-12,138172746,17348332,91524436,8616735
(주)국동,5320,Dec-13,147860227,19948179,95716049,12277024
(주)국동,5320,Dec-14,186086561,23636997,117861978,19254302
(주)국동,5320,Dec-15,170296068,20542541,102431161,18793712
(주)국동,5320,Dec-16,197368723,30965793,127275873,22531961
(주)국동,5320,Dec-17,191602989,29330583,130016453,24289513
(주)국동,5320,Dec-18,219550054,42026511,136811631,29136159
(주)국동,5320,Dec-19,223077183,29146951,116180044,22045059
(주)국보,1140,Dec-11,130636214,32013000,118304924,30897739
(주)국보,1140,Dec-12,122343037,29321045,109183947,27743212
(주)국보,1140,Dec-13,117073443,26687968,108994114,26766809
(주)국보,1140,Dec-14,97520169,21664174,89859741,20655577
(주)국보,1140,Dec-15,91618545,19300537,85267457,18702252
(주)국보,1140,Dec-16,87333326,18583374,77773715,17533500
(주)국보,1140,Dec-17,78255522,18211151,74662255,17452320
(주)국보,1140,Dec-18,71549828,15900282,66929948,15982493
(주)국보,1140,Dec-19,89087334,14106510,58296078,9583667
(주)국보디자인,66620,Dec-11,130689686,5190250,123203000,5190250
(주)국보디자인,66620,Dec-12,119402993,4606730,118458574,4606730
