회사명,거래소코드,회계년도,영업활동으로 인한 현금흐름(IFRS연결),매출액(IFRS연결),영업활동으로 인한 현금흐름(IFRS개별),매출액(IFRS개별)
(주)골드퍼시픽,38530,Dec-12,,,-4543789,10491048
(주)골드퍼시픽,38530,Dec-13,-2334044,7167832,-4333969,6488691
(주)골드퍼시픽,38530,Dec-14,-4905537,16486257,-5423532,4855121
(주)골드퍼시픽,38530,Dec-15,-5635841,18635305,-7136666,6121489
(주)골드퍼시픽,38530,Dec-16,,,-6549921,9588100
(주)골드퍼시픽,38530,Dec-17,,,-878680,5031439
(주)골드퍼시픽,38530,Dec-18,-3626992,5708281,-2028216,5580994
(주)골드퍼시픽,38530,Dec-19,,,-3541143,11323125
(주)골프존,215000,Dec-15,44345997,201560389,41872803,184085342
(주)골프존,215000,Dec-16,35237011,216964342,32717567,196864993
(주)골프존,215000,Dec-17,80376887,200105321,79436410,171859065
(주)골프존,215000,Dec-18,32883976,198705194,34481459,191571105
(주)골프존,215000,Dec-19,39501603,247018099,38567865,239051647
(주)골프존뉴딘홀딩스,121440,Dec-11,46128334,215793737,46694787,209788389
(주)골프존뉴딘홀딩스,121440,Dec-12,61269978,289629366,73950383,276341690
(주)골프존뉴딘홀딩스,121440,Dec-13,63430820,365126358,72616582,340005073
(주)골프존뉴딘홀딩스,121440,Dec-14,28790402,429589619,30858148,387066126
(주)골프존뉴딘홀딩스,121440,Dec-15,-15266617,164536448,-16346800,29389093
(주)골프존뉴딘홀딩스,121440,Dec-16,15895535,243275475,5618275,27652102
(주)골프존뉴딘홀딩스,121440,Dec-17,-1173648,213756902,-1147880,23499543
(주)골프존뉴딘홀딩스,121440,Dec-18,-20158087,223036801,-4416464,16100354
(주)골프존뉴딘홀딩스,121440,Dec-19,5656323,228935651,2640435,26897482
(주)광림,14200,Dec-11,,,11879861,106495363
(주)광림,14200,Dec-12,,,2753017,85322569
(주)광림,14200,Dec-13,,,14536213,103442134
(주)광림,14200,Dec-14,-6344996,231446314,-3582919,92553612
(주)광림,14200,Dec-15,,,-2663712,237222890
(주)광림,14200,Dec-16,3288372,87302967,3288372,87302967
(주)광림,14200,Dec-17,-15250032,135191558,8658598,99421336
(주)광림,14200,Dec-18,-13294713,136595300,1251490,75493055
(주)광림,14200,Dec-19,-12235587,145864184,639491,93241157
(주)광명전기,17040,Dec-11,1765403,92382628,1814521,57967857
(주)광명전기,17040,Dec-12,3436380,117216514,1183806,79318302
(주)광명전기,17040,Dec-13,3129414,117852824,615721,90344376
(주)광명전기,17040,Dec-14,11464334,134778387,8403184,115801471
(주)광명전기,17040,Dec-15,18501076,116316957,13723720,93000177
(주)광명전기,17040,Dec-16,4502682,96942911,2813219,96931493
(주)광명전기,17040,Dec-17,6647411,101561159,5270038,105083042
(주)광명전기,17040,Dec-18,-3815893,114110654,-4019510,96949804
(주)광명전기,17040,Dec-19,20495932,131864294,23614371,125009206
(주)광무,29480,Dec-11,8460656,51755052,9882003,50359203
(주)광무,29480,Dec-12,-5808549,41178683,-5777036,40406860
(주)광무,29480,Dec-13,-971186,20534276,-759831,10105219
(주)광무,29480,Dec-14,,,1529973,38409667
(주)광무,29480,Dec-15,,,-550286,17648493
(주)광무,29480,Dec-16,,,154459,26429957
(주)광무,29480,Dec-17,,,247467,21540953
(주)광무,29480,Dec-18,-1324743,23074941,-889612,20707286
(주)광무,29480,Dec-19,-2435580,36483979,-2567529,25244176
(주)광주신세계,37710,Dec-11,,,58007847,219613514
(주)광주신세계,37710,Dec-12,,,56319963,213803173
(주)광주신세계,37710,Dec-13,,,57337481,206606675
(주)광주신세계,37710,Dec-14,,,50217757,204820461
(주)광주신세계,37710,Dec-15,,,52123039,205331892
(주)광주신세계,37710,Dec-16,,,50122658,210423594
(주)광주신세계,37710,Dec-17,,,51294766,209647360
(주)광주신세계,37710,Dec-18,,,53868560,135213362
(주)광주신세계,37710,Dec-19,,,74340570,154879496
(주)구영테크,53270,Dec-11,1574250,147832315,299063,62527619
(주)구영테크,53270,Dec-12,11791408,155788988,3400845,65451015
(주)구영테크,53270,Dec-13,11048296,172747316,6156243,76282590
(주)구영테크,53270,Dec-14,3399363,170528694,-1477205,77799749
(주)구영테크,53270,Dec-15,17308908,172083049,9373875,87109177
(주)구영테크,53270,Dec-16,19282164,148301597,12368645,75320433
(주)구영테크,53270,Dec-17,5515131,149833357,3339453,74298129
(주)구영테크,53270,Dec-18,3263344,195238339,-2316059,81928926
(주)구영테크,53270,Dec-19,7656129,230853336,9760503,93132845
(주)국동,5320,Dec-11,-963482,154293577,-547564,100097439
(주)국동,5320,Dec-12,4976107,138172746,2881390,91524436
(주)국동,5320,Dec-13,-2405589,147860227,-1572579,95716049
(주)국동,5320,Dec-14,-12910,186086561,-1689994,117861978
(주)국동,5320,Dec-15,3908416,170296068,1327414,102431161
(주)국동,5320,Dec-16,747703,197368723,-2263482,127275873
(주)국동,5320,Dec-17,-6827943,191602989,-3177835,130016453
(주)국동,5320,Dec-18,-3944667,219550054,-4000973,136811631
(주)국동,5320,Dec-19,3901005,223077183,9576372,116180044
(주)국보,1140,Dec-11,3249944,130636214,2837703,118304924
(주)국보,1140,Dec-12,-3613866,122343037,-3331024,109183947
(주)국보,1140,Dec-13,2809735,117073443,3388938,108994114
(주)국보,1140,Dec-14,-238084,97520169,54417,89859741
(주)국보,1140,Dec-15,-837022,91618545,-691347,85267457
(주)국보,1140,Dec-16,507314,87333326,175508,77773715
(주)국보,1140,Dec-17,-3103505,78255522,-2767209,74662255
(주)국보,1140,Dec-18,-6078157,71549828,-5954554,66929948
(주)국보,1140,Dec-19,-9899692,89087334,-6376380,58296078
(주)국보디자인,66620,Dec-11,15461768,130689686,17106438,123203000
(주)국보디자인,66620,Dec-12,15200794,119402993,15836189,118458574
(주)국보디자인,66620,Dec-13,20298063,163518536,18002150,153216189
(주)국보디자인,66620,Dec-14,13115955,176373907,14386136,158268803
(주)국보디자인,66620,Dec-15,12342482,192608497,5593211,157657615
(주)국보디자인,66620,Dec-16,12706335,201410031,16198340,191620729
(주)국보디자인,66620,Dec-17,17688040,270658405,19976906,262522024
(주)국보디자인,66620,Dec-18,2672078,254259835,198822,231093439
(주)국보디자인,66620,Dec-19,5879030,269005976,5796396,237054909
(주)국순당,43650,Dec-11,7678883,127686247,7229199,124279594
(주)국순당,43650,Dec-12,7480415,118697826,8478916,115146725
(주)국순당,43650,Dec-13,4097835,99173525,6875600,96140591
(주)국순당,43650,Dec-14,2930587,91863604,5749495,89173752
(주)국순당,43650,Dec-15,-9008894,77443124,-5215387,74955341
(주)국순당,43650,Dec-16,141542,69701266,2454538,68425801
(주)국순당,43650,Dec-17,-2421354,62761236,18084724,60087461
(주)국순당,43650,Dec-18,-5633688,61496072,15817595,52679104
(주)국순당,43650,Dec-19,-4311503,102095769,-3808205,48045002
(주)국영지앤엠,6050,Dec-11,,,2359273,42569848
(주)국영지앤엠,6050,Dec-12,,,-7365050,43781593
(주)국영지앤엠,6050,Dec-13,,,6008427,55789778
(주)국영지앤엠,6050,Dec-14,,,3236205,51491847
(주)국영지앤엠,6050,Dec-15,,,647455,40107647
(주)국영지앤엠,6050,Dec-16,,,-3296247,51456556
(주)국영지앤엠,6050,Dec-17,,,239246,62861661
(주)국영지앤엠,6050,Dec-18,,,5051582,56301480
(주)국영지앤엠,6050,Dec-19,,,-2377260,73013468
(주)국전약품,307750,Dec-18,,,,
(주)국전약품,307750,Dec-19,,,,
(주)그래디언트,35080,Dec-11,30951834,428571939,2250816,9501248
(주)그래디언트,35080,Dec-12,-36922160,454225001,-10567228,11150621
(주)그래디언트,35080,Dec-13,79408763,2930521926,-6019310,7939840
(주)그래디언트,35080,Dec-14,231909338,3135027346,-1016428,7753595
(주)그래디언트,35080,Dec-15,-17283547,3536848758,4203314,12870821
(주)그래디언트,35080,Dec-16,115110645,3845761388,-2590783,16516754
(주)그래디언트,35080,Dec-17,185478374,3541486629,7851585,12485184
