회사명,거래소코드,회계년도,부가가치(IFRS연결),매출액(IFRS연결),부가가치(IFRS개별),매출액(IFRS개별)
(주)구영테크,53270,Dec-11,30173.23,147832315,16205.29,62527619
(주)구영테크,53270,Dec-12,34066.87,155788988,15794.6,65451015
(주)구영테크,53270,Dec-13,40563.29,172747316,18802.93,76282590
(주)구영테크,53270,Dec-14,40918.73,170528694,19185.74,77799749
(주)구영테크,53270,Dec-15,44427.3,172083049,21494.68,87109177
(주)구영테크,53270,Dec-16,41169.13,148301597,23004.45,75320433
(주)구영테크,53270,Dec-17,37905.67,149833357,19348.46,74298129
(주)구영테크,53270,Dec-18,46490.62,195238339,24326.3,81928926
(주)구영테크,53270,Dec-19,48045.12,230853336,23970.02,93132845
(주)국동,5320,Dec-11,2980.52,154293577,-2116.88,100097439
(주)국동,5320,Dec-12,18227.04,138172746,4858.24,91524436
(주)국동,5320,Dec-13,25635.95,147860227,7354.16,95716049
(주)국동,5320,Dec-14,36358.9,186086561,10914.26,117861978
(주)국동,5320,Dec-15,37153.81,170296068,13416.63,102431161
(주)국동,5320,Dec-16,36128.26,197368723,13780.66,127275873
(주)국동,5320,Dec-17,25998.16,191602989,-2076.99,130016453
(주)국동,5320,Dec-18,47246.08,219550054,8928.66,136811631
(주)국동,5320,Dec-19,53909.77,223077183,-1520.24,116180044
(주)국보,1140,Dec-11,14836.73,130636214,13951.65,118304924
(주)국보,1140,Dec-12,15684.53,122343037,13380.25,109183947
(주)국보,1140,Dec-13,8219.66,117073443,6868.2,108994114
(주)국보,1140,Dec-14,5210.25,97520169,4075.68,89859741
(주)국보,1140,Dec-15,8167.53,91618545,7344.69,85267457
(주)국보,1140,Dec-16,6923.11,87333326,4899.16,77773715
(주)국보,1140,Dec-17,4890.55,78255522,4109.65,74662255
(주)국보,1140,Dec-18,9202.65,71549828,8443.01,66929948
(주)국보,1140,Dec-19,8104.48,89087334,786.09,58296078
(주)국보디자인,66620,Dec-11,37630.05,130689686,35818.45,123203000
(주)국보디자인,66620,Dec-12,34487.68,119402993,34226.02,118458574
(주)국보디자인,66620,Dec-13,44261.95,163518536,41668.79,153216189
(주)국보디자인,66620,Dec-14,48193.45,176373907,42850.2,158268803
(주)국보디자인,66620,Dec-15,53043.56,192608497,42258.71,157657615
(주)국보디자인,66620,Dec-16,54982.2,201410031,54240,191620729
(주)국보디자인,66620,Dec-17,76642.09,270658405,73546.06,262522024
(주)국보디자인,66620,Dec-18,69527.95,254259835,61350.27,231093439
(주)국보디자인,66620,Dec-19,79433.85,269005976,62003.27,237054909
(주)국순당,43650,Dec-11,33279.55,127686247,32287.82,124279594
(주)국순당,43650,Dec-12,31085.72,118697826,28065.87,115146725
(주)국순당,43650,Dec-13,32841.1,99173525,25153.16,96140591
(주)국순당,43650,Dec-14,29706.7,91863604,24319.77,89173752
(주)국순당,43650,Dec-15,18258.1,77443124,13157.64,74955341
(주)국순당,43650,Dec-16,18388.84,69701266,14524.22,68425801
(주)국순당,43650,Dec-17,31047.34,62761236,9927.8,60087461
(주)국순당,43650,Dec-18,19112.58,61496072,14970.51,52679104
(주)국순당,43650,Dec-19,14926.79,102095769,14246.23,48045002
(주)국영지앤엠,6050,Dec-11,,,3486.7,42569848
(주)국영지앤엠,6050,Dec-12,,,12743.18,43781593
(주)국영지앤엠,6050,Dec-13,,,8302.22,55789778
(주)국영지앤엠,6050,Dec-14,,,7988.13,51491847
(주)국영지앤엠,6050,Dec-15,,,6630.74,40107647
(주)국영지앤엠,6050,Dec-16,,,7893.21,51456556
(주)국영지앤엠,6050,Dec-17,,,9692.54,62861661
(주)국영지앤엠,6050,Dec-18,,,6989.65,56301480
(주)국영지앤엠,6050,Dec-19,,,8084.83,73013468
(주)국전약품,307750,Dec-18,,,,
(주)국전약품,307750,Dec-19,,,,
(주)그래디언트,35080,Dec-11,60243.93,428571939,4264.28,9501248
(주)그래디언트,35080,Dec-12,139063.68,454225001,51766.97,11150621
(주)그래디언트,35080,Dec-13,176314.61,2930521926,-3491.71,7939840
(주)그래디언트,35080,Dec-14,208989.84,3135027346,5932.51,7753595
(주)그래디언트,35080,Dec-15,240472.76,3536848758,20084.99,12870821
(주)그래디언트,35080,Dec-16,151643.27,3845761388,-44434.41,16516754
(주)그래디언트,35080,Dec-17,171482.48,3541486629,-49657.55,12485184
(주)그래디언트,35080,Dec-18,227407.59,3440906300,10502.87,12237889
(주)그래디언트,35080,Dec-19,236692.21,3412333826,6703.3,8719700
(주)그리티,204020,Dec-18,23409.46,119259702,19484.99,117056356
(주)그리티,204020,Dec-19,17793.55,123079831,13191.93,120984485
(주)그린플러스,186230,Dec-19,14324.08,48831866,11053.23,39502728
(주)글로벌스탠다드테크놀로지,83450,Dec-11,16576.7,41504144,13825.35,40662578
(주)글로벌스탠다드테크놀로지,83450,Dec-12,25842.97,64812103,21570.05,62774905
(주)글로벌스탠다드테크놀로지,83450,Dec-13,25846.64,80982977,21824.97,78917554
(주)글로벌스탠다드테크놀로지,83450,Dec-14,29112.38,89122994,24242.9,85992839
(주)글로벌스탠다드테크놀로지,83450,Dec-15,32655.3,84422579,27127.4,80102292
(주)글로벌스탠다드테크놀로지,83450,Dec-16,34929.88,90819412,28512.23,81859588
(주)글로벌스탠다드테크놀로지,83450,Dec-17,55747.58,162835484,48792.88,154761834
(주)글로벌스탠다드테크놀로지,83450,Dec-18,53316.81,129850197,41400.9,115619452
(주)글로벌스탠다드테크놀로지,83450,Dec-19,71457.79,168231754,57332.3,150777009
(주)금양,1570,Dec-11,12521.92,109810009,10017.49,100918699
(주)금양,1570,Dec-12,16267.46,122905331,12136.86,108275608
(주)금양,1570,Dec-13,14775.26,156304448,9944.21,132045280
(주)금양,1570,Dec-14,15008.53,158550531,11458.88,137946044
(주)금양,1570,Dec-15,34946.42,158999533,12003.03,152450369
(주)금양,1570,Dec-16,-10089.35,168681746,-20026.97,161001876
(주)금양,1570,Dec-17,51739.78,180373683,14797.19,150809075
(주)금양,1570,Dec-18,45103.46,205441375,33681.93,151676398
(주)금양,1570,Dec-19,5126.82,172723864,-3626.49,135915020
