회사명,거래소코드,회계년도,매출액(IFRS연결),매출원가(IFRS연결),판관비(IFRS연결),매출액(IFRS개별),매출원가(IFRS개별),판관비(IFRS개별)
(주)광무,29480,Dec-16,,,,26429957,21752231,3383715
(주)광무,29480,Dec-17,,,,21540953,17503183,3838245
(주)광무,29480,Dec-18,23074941,17769834,6640352,20707286,17118006,4261246
(주)광무,29480,Dec-19,36483979,21870776,17625827,25244176,20873726,6630498
(주)광주신세계,37710,Dec-11,,,,219613514,80698060,80476110
(주)광주신세계,37710,Dec-12,,,,213803173,76996157,78621303
(주)광주신세계,37710,Dec-13,,,,206606675,73016518,77608434
(주)광주신세계,37710,Dec-14,,,,204820461,71460629,81524193
(주)광주신세계,37710,Dec-15,,,,205331892,67952823,82606671
(주)광주신세계,37710,Dec-16,,,,210423594,69014284,85361942
(주)광주신세계,37710,Dec-17,,,,209647360,68619341,84738271
(주)광주신세계,37710,Dec-18,,,,135213362,17733154,67411400
(주)광주신세계,37710,Dec-19,,,,154879496,18569711,81207140
(주)구영테크,53270,Dec-11,147832315,129730219,14387234,62527619,50904676,7202004
(주)구영테크,53270,Dec-12,155788988,134266189,14034750,65451015,53454413,7157265
(주)구영테크,53270,Dec-13,172747316,150485036,14770015,76282590,63114137,8705417
(주)구영테크,53270,Dec-14,170528694,148057799,17032666,77799749,64482528,10534973
(주)구영테크,53270,Dec-15,172083049,146639036,19298586,87109177,72768430,10811085
(주)구영테크,53270,Dec-16,148301597,125781105,18182773,75320433,61393389,9812754
(주)구영테크,53270,Dec-17,149833357,127099113,17042908,74298129,61735712,9537064
(주)구영테크,53270,Dec-18,195238339,172978813,16880656,81928926,69673553,10616789
(주)구영테크,53270,Dec-19,230853336,208667166,16946995,93132845,79774125,10845074
(주)국동,5320,Dec-11,154293577,134179552,19711153,100097439,86396894,14037322
(주)국동,5320,Dec-12,138172746,112722986,18656835,91524436,75786153,13924004
(주)국동,5320,Dec-13,147860227,123575979,18762236,95716049,78656021,13638769
(주)국동,5320,Dec-14,186086561,153250540,22686935,117861978,95550889,16603011
(주)국동,5320,Dec-15,170296068,140601202,21039032,102431161,82651994,12903592
(주)국동,5320,Dec-16,197368723,160651679,26153510,127275873,102252563,17142553
(주)국동,5320,Dec-17,191602989,163195489,34263931,130016453,111577387,20843992
(주)국동,5320,Dec-18,219550054,183038971,30748879,136811631,115258052,19870987
(주)국동,5320,Dec-19,223077183,188905199,38421120,116180044,99266447,26450412
(주)국보,1140,Dec-11,130636214,121478547,8416789,118304924,110401747,7237269
(주)국보,1140,Dec-12,122343037,112775782,8201454,109183947,101495533,6609003
(주)국보,1140,Dec-13,117073443,107727279,8615147,108994114,101240956,7100125
(주)국보,1140,Dec-14,97520169,91556717,8372575,89859741,84920430,6937191
(주)국보,1140,Dec-15,91618545,85746776,8334137,85267457,80391773,7066966
(주)국보,1140,Dec-16,87333326,79591802,7537419,77773715,72438469,5842638
(주)국보,1140,Dec-17,78255522,72337683,9851897,74662255,69821126,8250050
(주)국보,1140,Dec-18,71549828,67935985,8907609,66929948,64102691,7466319
(주)국보,1140,Dec-19,89087334,71346937,18708889,58296078,56501133,3316865
(주)국보디자인,66620,Dec-11,130689686,110146120,11769982,123203000,104476612,10299336
(주)국보디자인,66620,Dec-12,119402993,100272273,8629461,118458574,99523026,8160044
(주)국보디자인,66620,Dec-13,163518536,141528744,10222019,153216189,133394653,9381375
(주)국보디자인,66620,Dec-14,176373907,150086662,12940774,158268803,136427117,11991028
(주)국보디자인,66620,Dec-15,192608497,167038905,12780158,157657615,139094723,11722942
(주)국보디자인,66620,Dec-16,201410031,176586073,14307502,191620729,165798273,12472116
(주)국보디자인,66620,Dec-17,270658405,224690293,22752386,262522024,219241879,19289550
(주)국보디자인,66620,Dec-18,254259835,216708444,21087994,231093439,197658770,16687290
(주)국보디자인,66620,Dec-19,269005976,236763672,20685006,237054909,211116237,15432607
(주)국순당,43650,Dec-11,127686247,73054530,49287226,124279594,71050728,47560054
(주)국순당,43650,Dec-12,118697826,65490982,47556086,115146725,63606595,44745714
(주)국순당,43650,Dec-13,99173525,57173733,40558345,96140591,55586775,39366006
(주)국순당,43650,Dec-14,91863604,55688500,35092859,89173752,54216676,34075319
(주)국순당,43650,Dec-15,77443124,50017004,35623752,74955341,48640465,34620628
(주)국순당,43650,Dec-16,69701266,42026522,34162515,68425801,40999107,32883560
(주)국순당,43650,Dec-17,62761236,38986795,28037773,60087461,36938506,26733827
(주)국순당,43650,Dec-18,61496072,38750320,25740195,52679104,32145829,23285214
(주)국순당,43650,Dec-19,102095769,73665131,34397559,48045002,30836825,22649089
(주)국영지앤엠,6050,Dec-11,,,,42569848,42885119,2316855
(주)국영지앤엠,6050,Dec-12,,,,43781593,43286767,1985430
(주)국영지앤엠,6050,Dec-13,,,,55789778,53028778,1428432
(주)국영지앤엠,6050,Dec-14,,,,51491847,48486069,1418477
(주)국영지앤엠,6050,Dec-15,,,,40107647,39614548,1532380
(주)국영지앤엠,6050,Dec-16,,,,51456556,49594430,1613291
(주)국영지앤엠,6050,Dec-17,,,,62861661,59698131,1753168
(주)국영지앤엠,6050,Dec-18,,,,56301480,55344975,1876523
(주)국영지앤엠,6050,Dec-19,,,,73013468,69721549,2300874
(주)국전약품,307750,Dec-18,,,,,,
(주)국전약품,307750,Dec-19,,,,,,
(주)그래디언트,35080,Dec-11,428571939,282364606,160491114,9501248,0,17846746
