회사명,거래소코드,회계년도,매출액(IFRS연결),자본(IFRS연결),매출액(IFRS개별),자본(IFRS개별)
(주)기가레인,49080,Dec-13,94791934,62386212,94055571,62596675
(주)기가레인,49080,Dec-14,95718992,75572002,95460665,77078658
(주)기가레인,49080,Dec-15,61576391,65744609,61254807,65461853
(주)기가레인,49080,Dec-16,75445071,57597489,70397030,57063120
(주)기가레인,49080,Dec-17,100131227,88669121,89874499,89023884
(주)기가레인,49080,Dec-18,124772205,68560115,114668638,66878280
(주)기가레인,49080,Dec-19,72769411,28064616,63361399,27887641
(주)기산텔레콤,35460,Dec-11,65679195,33888631,36332290,32479105
(주)기산텔레콤,35460,Dec-12,74315907,31516647,49240507,33918079
(주)기산텔레콤,35460,Dec-13,79463728,36517480,48367030,36087855
(주)기산텔레콤,35460,Dec-14,74512326,38506780,41612762,36429569
(주)기산텔레콤,35460,Dec-15,79710503,42259485,45712905,38723216
(주)기산텔레콤,35460,Dec-16,59172319,39870843,24679656,37420205
(주)기산텔레콤,35460,Dec-17,63467585,34992274,29568090,35438291
(주)기산텔레콤,35460,Dec-18,56445716,31640999,24864346,29246000
(주)기산텔레콤,35460,Dec-19,67054955,34690964,30545683,31379895
(주)까뮤이앤씨,13700,Dec-11,,,90048208,46083061
(주)까뮤이앤씨,13700,Dec-12,,,90976586,40763024
(주)까뮤이앤씨,13700,Dec-13,,,83568532,33715699
(주)까뮤이앤씨,13700,Dec-14,,,123567918,35697347
(주)까뮤이앤씨,13700,Dec-15,,,132370311,45786128
(주)까뮤이앤씨,13700,Dec-16,,,139708060,51113063
(주)까뮤이앤씨,13700,Dec-17,,,172176860,59106121
(주)까뮤이앤씨,13700,Dec-18,,,116296828,59562903
(주)까뮤이앤씨,13700,Dec-19,,,283420655,70932062
(주)까스텔바작,308100,Dec-19,81358617,76678226,81068234,77312548
(주)나노,187790,Dec-14,,,,
(주)나노,187790,Dec-15,29901810,42659926,14881694,31847169
(주)나노,187790,Dec-16,48175171,34319308,18480121,27068246
(주)나노,187790,Dec-17,73089292,44902238,29944292,37017160
(주)나노,187790,Dec-18,81942719,59465317,34238747,44484099
(주)나노,187790,Dec-19,73694955,62021912,38421023,47992724
