회사명,거래소코드,회계년도,매출액(IFRS연결),자산(IFRS연결),매출액(IFRS개별),자산(IFRS개별)
(주)골프존뉴딘홀딩스,121440,Dec-19,228935651,776384700,26897482,537526345
(주)광림,14200,Dec-11,,,106495363,86353051
(주)광림,14200,Dec-12,,,85322569,89766075
(주)광림,14200,Dec-13,,,103442134,101592603
(주)광림,14200,Dec-14,231446314,244886480,92553612,120284256
(주)광림,14200,Dec-15,,,237222890,146338755
(주)광림,14200,Dec-16,87302967,229596737,87302967,152080347
(주)광림,14200,Dec-17,135191558,208058303,99421336,369582323
(주)광림,14200,Dec-18,136595300,187812629,75493055,236379465
(주)광림,14200,Dec-19,145864184,252468254,93241157,193568854
(주)광명전기,17040,Dec-11,92382628,123886511,57967857,99992644
(주)광명전기,17040,Dec-12,117216514,131064345,79318302,104218586
(주)광명전기,17040,Dec-13,117852824,120910764,90344376,105483729
(주)광명전기,17040,Dec-14,134778387,138580023,115801471,119791644
(주)광명전기,17040,Dec-15,116316957,131457603,93000177,107719518
(주)광명전기,17040,Dec-16,96942911,146859319,96931493,125405290
(주)광명전기,17040,Dec-17,101561159,152717140,105083042,128881408
(주)광명전기,17040,Dec-18,114110654,151823119,96949804,124159091
(주)광명전기,17040,Dec-19,131864294,156712705,125009206,140591786
(주)광무,29480,Dec-11,51755052,75946478,50359203,85836111
(주)광무,29480,Dec-12,41178683,55788602,40406860,60163490
(주)광무,29480,Dec-13,20534276,35384615,10105219,28890332
(주)광무,29480,Dec-14,,,38409667,27862528
(주)광무,29480,Dec-15,,,17648493,21133216
(주)광무,29480,Dec-16,,,26429957,29089768
(주)광무,29480,Dec-17,,,21540953,28950503
(주)광무,29480,Dec-18,23074941,28431748,20707286,26017306
(주)광무,29480,Dec-19,36483979,63139837,25244176,57156720
(주)광주신세계,37710,Dec-11,,,219613514,380753715
(주)광주신세계,37710,Dec-12,,,213803173,430662968
(주)광주신세계,37710,Dec-13,,,206606675,656355808
(주)광주신세계,37710,Dec-14,,,204820461,652758688
(주)광주신세계,37710,Dec-15,,,205331892,659495158
(주)광주신세계,37710,Dec-16,,,210423594,655502726
(주)광주신세계,37710,Dec-17,,,209647360,655018971
(주)광주신세계,37710,Dec-18,,,135213362,696204982
