회사명,거래소코드,회계년도,당기순이익(IFRS연결),당기자본(IFRS연결),전기자본(IFRS연결),당기순이익(IFRS개별),당기자본(IFRS개별),전기자본(IFRS개별)
(주)광명전기,17040,Dec-15,8891002,87829336,87829336,3442541,71275955,71275955
(주)광명전기,17040,Dec-16,11593891,98063360,98063360,15612709,86335358,86335358
(주)광명전기,17040,Dec-17,-2043260,96648221,96648221,-1349854,85430878,85430878
(주)광명전기,17040,Dec-18,2718092,98748349,98748349,3182514,87989865,87989865
(주)광명전기,17040,Dec-19,7118200,105398860,105398860,6470387,94186043,94186043
(주)광무,29480,Dec-11,-50127229,37831616,37799680,-51537196,49296267,49264331
(주)광무,29480,Dec-12,-10689029,29507217,29507217,-15113066,36518143,36518143
(주)광무,29480,Dec-13,-28721377,8786699,,-33154332,11346800,8786699
(주)광무,29480,Dec-14,,,,-859721,8505450,8505450
(주)광무,29480,Dec-15,,,,-2727754,7744452,7744452
(주)광무,29480,Dec-16,,,,95615,8053231,8053231
(주)광무,29480,Dec-17,,,13552175,-3352682,13552175,13552175
(주)광무,29480,Dec-18,-5120760,10729216,10729216,-4875184,9695091,9695091
(주)광무,29480,Dec-19,-6421201,22844122,22844122,-6275093,22202195,22202195
(주)광주신세계,37710,Dec-11,,,,52281979,310214632,310214632
(주)광주신세계,37710,Dec-12,,,,53769536,361615843,361615843
(주)광주신세계,37710,Dec-13,,,,48569715,408690826,408690826
(주)광주신세계,37710,Dec-14,,,,42236355,448624926,448624926
(주)광주신세계,37710,Dec-15,,,,45901413,491380796,491380796
(주)광주신세계,37710,Dec-16,,,,45554028,534290186,534290186
(주)광주신세계,37710,Dec-17,,,,47846191,579363832,579363832
(주)광주신세계,37710,Dec-18,,,,45093180,620656716,620656716
(주)광주신세계,37710,Dec-19,,,,47668959,661189861,661189861
(주)구영테크,53270,Dec-11,-647883,36633264,36633264,985788,27962532,27962532
(주)구영테크,53270,Dec-12,1633009,36686891,36686891,1250176,29302171,29302171
(주)구영테크,53270,Dec-13,2179847,39023837,39023837,1137402,30762180,30762180
(주)구영테크,53270,Dec-14,2236588,52212920,52212920,1326679,42200180,42200180
(주)구영테크,53270,Dec-15,4158785,56401223,56401223,3196300,44066560,44066560
(주)구영테크,53270,Dec-16,2542450,57780291,57780291,3920237,46429602,46429602
(주)구영테크,53270,Dec-17,1357296,55811041,55811041,1239184,47102417,47102417
(주)구영테크,53270,Dec-18,5920905,68827896,68827896,3912117,57861349,57861349
(주)구영테크,53270,Dec-19,3387486,71704257,71704257,1558141,58668784,58668784
(주)국동,5320,Dec-11,-7212195,5829570,5829570,-12930687,2694312,2694312
(주)국동,5320,Dec-12,5142066,9422729,9422729,262553,2775119,2775119
(주)국동,5320,Dec-13,4009323,15412210,15412210,2373991,5947778,5947778
(주)국동,5320,Dec-14,8898694,28639367,28639367,4692501,14336568,14336568
(주)국동,5320,Dec-15,5235608,31226110,31226110,5321778,22395455,22395455
(주)국동,5320,Dec-16,6208749,51725723,51725723,4379974,40069999,40069999
(주)국동,5320,Dec-17,-8967738,42630725,42630725,-6593433,38638770,38638770
(주)국동,5320,Dec-18,2111761,48475045,48475045,1351547,41762492,41762492
(주)국동,5320,Dec-19,-4523376,65481226,65481226,-6989987,54349558,54349558
(주)국보,1140,Dec-11,-37903,34466553,34466553,-176708,33874415,33874415
(주)국보,1140,Dec-12,-874559,33793391,,-1916073,31655538,31655538
(주)국보,1140,Dec-13,-3846673,29768264,29768264,-3766842,27678685,27678685
(주)국보,1140,Dec-14,-6999514,22620239,22620239,-6633427,20984752,20984752
(주)국보,1140,Dec-15,-4043773,18409444,18409444,-3679630,17113465,17113465
(주)국보,1140,Dec-16,-4187272,15275562,15275562,-5034348,13200649,13200649
(주)국보,1140,Dec-17,-2889794,17848563,17848563,-2761653,16039171,16039171
(주)국보,1140,Dec-18,-3999572,13412206,13412206,-4038217,11578143,11578143
(주)국보,1140,Dec-19,-6676274,28604010,28604010,-9851123,12278837,12278837
(주)국보디자인,66620,Dec-11,6055732,48143562,48143562,6607794,48472432,48472432
(주)국보디자인,66620,Dec-12,8281324,57564527,57564527,8631842,58283419,58283419
(주)국보디자인,66620,Dec-13,10935895,65598063,65598063,9417821,64945696,64945696
(주)국보디자인,66620,Dec-14,10942079,74350888,74350888,7901285,70452085,70452085
(주)국보디자인,66620,Dec-15,10768050,83307386,83307386,6947669,75467148,75467148
(주)국보디자인,66620,Dec-16,10738135,86928845,86928845,11905078,80282408,80282408
(주)국보디자인,66620,Dec-17,13340935,99283826,99283826,14149734,94380512,94380512
(주)국보디자인,66620,Dec-18,13872876,108600438,108600438,14098992,103598968,103598968
(주)국보디자인,66620,Dec-19,15942956,123363884,123363884,9509021,112076012,112076012
