회사명,거래소코드,회계년도,이자비용(IFRS연결),장기차입금(IFRS연결),단기차입금(IFRS연결),회사채(IFRS연결),이자비용(IFRS개별),장기차입금(IFRS개별),단기차입금(IFRS개별),회사채(IFRS개별)
(주)광무,29480,Dec-13,0,0,12634238,0,0,0,12634238,0
(주)광무,29480,Dec-14,,,,,0,0,7635126,0
(주)광무,29480,Dec-15,,,,,0,4070000,1501000,0
(주)광무,29480,Dec-16,,,,,0,4070000,860015,0
(주)광무,29480,Dec-17,,,,,0,0,845932,0
(주)광무,29480,Dec-18,0,0,4570000,0,0,0,4570000,0
(주)광무,29480,Dec-19,0,0,5798283,0,0,0,4270000,0
(주)광주신세계,37710,Dec-11,,,,,0,0,0,0
(주)광주신세계,37710,Dec-12,,,,,0,0,0,0
(주)광주신세계,37710,Dec-13,,,,,0,0,80200000,0
(주)광주신세계,37710,Dec-14,,,,,0,0,35800000,0
(주)광주신세계,37710,Dec-15,,,,,0,0,0,0
(주)광주신세계,37710,Dec-16,,,,,0,0,50900000,0
(주)광주신세계,37710,Dec-17,,,,,0,0,5600000,0
(주)광주신세계,37710,Dec-18,,,,,0,0,0,0
(주)광주신세계,37710,Dec-19,,,,,0,0,0,0
(주)구영테크,53270,Dec-11,0,3906227,66559168,0,0,1616657,35083497,0
(주)구영테크,53270,Dec-12,0,4191949,81126552,0,0,2553333,49924751,0
(주)구영테크,53270,Dec-13,0,16281076,54734786,0,0,4034607,37101932,0
(주)구영테크,53270,Dec-14,0,16833438,51875791,0,0,2915390,32676392,0
(주)구영테크,53270,Dec-15,0,22945474,38854405,0,0,6356430,23734320,0
(주)구영테크,53270,Dec-16,0,30201160,30443891,0,0,13342430,14834390,0
(주)구영테크,53270,Dec-17,0,42591378,39673968,0,0,29458970,24700000,0
(주)구영테크,53270,Dec-18,0,48148894,28086803,0,0,36387038,11800000,0
(주)구영테크,53270,Dec-19,0,35432257,34689847,0,0,28475278,14200000,0
(주)국동,5320,Dec-11,0,3733250,40784474,0,0,0,31537074,0
(주)국동,5320,Dec-12,0,3349103,35508504,0,0,0,27883342,0
(주)국동,5320,Dec-13,0,2680065,35225223,0,0,0,28289471,0
(주)국동,5320,Dec-14,0,4982487,31716237,0,0,0,26779956,0
(주)국동,5320,Dec-15,0,5536937,23738474,0,0,0,22013407,0
(주)국동,5320,Dec-16,0,3885476,23244912,0,0,0,16178350,0
(주)국동,5320,Dec-17,0,5584962,20421203,0,0,0,13454523,0
(주)국동,5320,Dec-18,0,4762632,25075767,0,0,0,15129747,0
(주)국동,5320,Dec-19,0,4484958,22031864,0,0,0,12119756,0
(주)국보,1140,Dec-11,0,2731635,22593152,0,0,2731635,22593152,0
(주)국보,1140,Dec-12,0,2835446,27541585,0,0,2835446,27131585,0
(주)국보,1140,Dec-13,0,4832876,27711068,0,0,4832876,27251068,0
(주)국보,1140,Dec-14,0,4802814,27190274,0,0,4802814,26480274,0
(주)국보,1140,Dec-15,0,3599269,25563457,0,0,3599269,24803457,0
(주)국보,1140,Dec-16,0,2927219,25150389,0,0,2927219,24350389,0
(주)국보,1140,Dec-17,0,3532843,22315377,0,0,3532843,21515377,0
(주)국보,1140,Dec-18,0,737525,11098735,0,0,737525,10298735,0
(주)국보,1140,Dec-19,0,907586,22201022,0,0,34197,3510000,0
(주)국보디자인,66620,Dec-11,0,0,568523,0,0,0,402226,0
(주)국보디자인,66620,Dec-12,0,0,0,0,0,0,0,0
(주)국보디자인,66620,Dec-13,0,0,3371372,0,0,0,3371372,0
(주)국보디자인,66620,Dec-14,0,0,0,0,0,0,0,0
(주)국보디자인,66620,Dec-15,0,0,1881000,0,0,0,1881000,0
(주)국보디자인,66620,Dec-16,0,0,0,0,0,0,0,0
(주)국보디자인,66620,Dec-17,0,0,0,0,0,0,0,0
(주)국보디자인,66620,Dec-18,0,0,0,0,0,0,0,0
(주)국보디자인,66620,Dec-19,0,0,0,0,0,0,0,0
(주)국순당,43650,Dec-11,0,525000,200000,0,0,0,0,0
(주)국순당,43650,Dec-12,0,700000,200000,0,0,0,0,0
(주)국순당,43650,Dec-13,0,4190000,0,0,0,0,0,0
(주)국순당,43650,Dec-14,0,220000,0,0,0,0,0,0
(주)국순당,43650,Dec-15,0,660000,0,0,0,0,0,0
(주)국순당,43650,Dec-16,0,0,300000,0,0,0,0,0
(주)국순당,43650,Dec-17,0,640000,520000,0,0,0,0,0
(주)국순당,43650,Dec-18,0,700000,490000,0,0,0,0,0
(주)국순당,43650,Dec-19,0,3161700,10536089,0,0,0,0,0
(주)국영지앤엠,6050,Dec-11,,,,,0,10759404,210156,0
(주)국영지앤엠,6050,Dec-12,,,,,0,3000000,0,0
(주)국영지앤엠,6050,Dec-13,,,,,0,3000000,293486,0
(주)국영지앤엠,6050,Dec-14,,,,,0,3000000,0,0
(주)국영지앤엠,6050,Dec-15,,,,,0,2000000,950000,0
(주)국영지앤엠,6050,Dec-16,,,,,0,3250000,0,0
(주)국영지앤엠,6050,Dec-17,,,,,0,2250000,0,0
(주)국영지앤엠,6050,Dec-18,,,,,0,0,0,0
(주)국영지앤엠,6050,Dec-19,,,,,0,1804780,1500000,0
