회사명,거래소코드,회계년도,부채(IFRS연결),자산(IFRS연결),부채(IFRS개별),자산(IFRS개별)
(주)까뮤이앤씨,13700,Dec-17,,,80831808,139937930
(주)까뮤이앤씨,13700,Dec-18,,,82677272,142240175
(주)까뮤이앤씨,13700,Dec-19,,,97944105,168876167
(주)까스텔바작,308100,Dec-19,12326845,89005071,11301641,88614189
(주)나노,187790,Dec-14,,,,
(주)나노,187790,Dec-15,56835726,99495652,40746063,72593232
(주)나노,187790,Dec-16,49121575,83440884,30282763,57351009
(주)나노,187790,Dec-17,46672426,91574665,22132488,59149648
(주)나노,187790,Dec-18,48795977,108261295,22139959,66624058
(주)나노,187790,Dec-19,54119319,116141232,25023622,73016346
