회사명,거래소코드,회계년도,자본(IFRS연결),자산(IFRS연결),자본(IFRS개별),자산(IFRS개별)
(주)글로벌스탠다드테크놀로지,83450,Dec-16,60779819,89405841,53103831,78440684
(주)글로벌스탠다드테크놀로지,83450,Dec-17,78275559,102400669,67278478,88966307
(주)글로벌스탠다드테크놀로지,83450,Dec-18,85807825,105027408,72640818,87524011
(주)글로벌스탠다드테크놀로지,83450,Dec-19,103310701,136751562,90403163,120984040
(주)금양,1570,Dec-11,45175687,130817841,43024251,124086392
(주)금양,1570,Dec-12,45542580,127557393,45261596,127197484
(주)금양,1570,Dec-13,45554255,147115126,45422689,142485295
(주)금양,1570,Dec-14,44489985,160244911,46481587,145135554
(주)금양,1570,Dec-15,57953744,165405931,46703110,157467543
(주)금양,1570,Dec-16,34480745,178901902,22239137,174953809
(주)금양,1570,Dec-17,57595446,196084032,31251974,167120998
(주)금양,1570,Dec-18,79456336,204777156,49187838,155507052
(주)금양,1570,Dec-19,68287064,224222540,35004819,171931897
(주)금호에이치티,214330,Dec-15,81388280,123875646,82117294,109367040
(주)금호에이치티,214330,Dec-16,86282030,156606980,92714230,151786975
(주)금호에이치티,214330,Dec-17,90754420,150164495,97560824,146407321
(주)금호에이치티,214330,Dec-18,124851870,238380056,131065067,230268876
(주)금호에이치티,214330,Dec-19,172630689,322078193,180769966,314666069
(주)금화피에스시,36190,Dec-11,,,76345247,94174014
(주)금화피에스시,36190,Dec-12,,,92305175,105483370
(주)금화피에스시,36190,Dec-13,117616926,142932108,113200802,135180701
(주)금화피에스시,36190,Dec-14,133525938,158057524,126877795,146360964
(주)금화피에스시,36190,Dec-15,149051009,189001800,142256701,175086217
(주)금화피에스시,36190,Dec-16,168709929,215036137,159990222,197557790
(주)금화피에스시,36190,Dec-17,184227358,231639148,176303850,216252318
(주)금화피에스시,36190,Dec-18,220727038,262516457,211366403,242310750
(주)금화피에스시,36190,Dec-19,239409631,281692946,227742546,255149491
(주)기가레인,49080,Dec-13,62386212,122523850,62596675,122926340
(주)기가레인,49080,Dec-14,75572002,131923500,77078658,133237615
(주)기가레인,49080,Dec-15,65744609,151757532,65461853,148551434
(주)기가레인,49080,Dec-16,57597489,155732003,57063120,152639799
(주)기가레인,49080,Dec-17,88669121,181628353,89023884,179756049
(주)기가레인,49080,Dec-18,68560115,179113947,66878280,176296022
(주)기가레인,49080,Dec-19,28064616,117798198,27887641,115539385
