회사명,거래소코드,회계년도,유동부채(IFRS연결),부채(IFRS연결),유동부채(IFRS개별),부채(IFRS개별)
(주)그래디언트,35080,Dec-18,1016015610,1095183390,9355864,14238879
(주)그래디언트,35080,Dec-19,980078258,1110465400,12382091,16057558
(주)그리티,204020,Dec-18,17801728,21294442,9013548,12506261
(주)그리티,204020,Dec-19,17294799,17970493,11324485,11970153
(주)그린플러스,186230,Dec-19,17448583,34930648,13388362,19815070
(주)글로벌스탠다드테크놀로지,83450,Dec-11,22182733,24980582,21127458,23359541
(주)글로벌스탠다드테크놀로지,83450,Dec-12,15995521,17816313,14333160,15671535
(주)글로벌스탠다드테크놀로지,83450,Dec-13,17024585,19996780,16711997,17883380
(주)글로벌스탠다드테크놀로지,83450,Dec-14,16020729,19126184,16105582,17693459
(주)글로벌스탠다드테크놀로지,83450,Dec-15,10452602,13016302,9913536,11103032
(주)글로벌스탠다드테크놀로지,83450,Dec-16,25498390,28626022,23514395,25336853
(주)글로벌스탠다드테크놀로지,83450,Dec-17,21709365,24125110,19442714,21687828
(주)글로벌스탠다드테크놀로지,83450,Dec-18,17071170,19219582,12624416,14883193
(주)글로벌스탠다드테크놀로지,83450,Dec-19,31060762,33440861,29260908,30580877
(주)금비,8870,Sep-11,38411265,87657510,25124929,58196584
(주)금비,8870,Sep-12,37472924,87911756,22141852,55167793
(주)금비,8870,Sep-13,42128218,81907114,27380025,55942614
(주)금비,8870,Sep-14,44141036,90438221,28640135,64107095
(주)금비,8870,Sep-15,59508146,92917066,44793831,66769866
(주)금비,8870,Sep-16,60713233,103925637,43734172,75060659
(주)금비,8870,Sep-17,47059198,96985485,29695933,67258998
(주)금비,8870,Sep-18,48212198,96639999,30791918,66327214
(주)금비,8870,Sep-19,56464526,96636403,39318493,66810046
(주)금양,1570,Dec-11,73872403,85642155,70798828,81062141
(주)금양,1570,Dec-12,63820848,82014813,64574150,81935888
(주)금양,1570,Dec-13,83935212,101560871,80447090,97062605
(주)금양,1570,Dec-14,74016116,115754926,76183554,98653967
(주)금양,1570,Dec-15,96536475,107452186,103101393,110764433
(주)금양,1570,Dec-16,133837229,144421157,142130744,152714672
(주)금양,1570,Dec-17,128670679,138488586,129674554,135869024
(주)금양,1570,Dec-18,114567408,125320820,103571108,106319214
(주)금양,1570,Dec-19,140191066,155935477,125859242,136927078
(주)금호에이치티,214330,Dec-15,38988266,42487367,24870413,27249745
(주)금호에이치티,214330,Dec-16,49574660,70324951,38336002,59072744
(주)금호에이치티,214330,Dec-17,46752476,59410075,36201695,48846497
(주)금호에이치티,214330,Dec-18,86743745,113528186,72419369,99203809
(주)금호에이치티,214330,Dec-19,132504381,149447504,117617127,133896103
(주)금화피에스시,36190,Dec-11,,,15024390,17828767
(주)금화피에스시,36190,Dec-12,,,10205746,13178195
(주)금화피에스시,36190,Dec-13,21706304,25315182,19336152,21979899
(주)금화피에스시,36190,Dec-14,20654148,24531587,16975082,19483169
(주)금화피에스시,36190,Dec-15,34447722,39950792,30915038,32829516
(주)금화피에스시,36190,Dec-16,40632631,46326207,36289085,37567568
(주)금화피에스시,36190,Dec-17,41410742,47411791,38567258,39948467
(주)금화피에스시,36190,Dec-18,36350520,41789419,29577129,30944347
(주)금화피에스시,36190,Dec-19,38745095,42283315,24897188,27406945
(주)기가레인,49080,Dec-13,38143028,60137638,38765136,60329664
(주)기가레인,49080,Dec-14,33237888,56351498,33505335,56158957
(주)기가레인,49080,Dec-15,56716336,86012923,54266141,83089580
