회사명,거래소코드,회계년도,유형자산(*)(IFRS연결)(천원),유형자산(*)(IFRS)(천원),건설중인자산(IFRS연결)(천원),건설중인자산(IFRS)(천원),합계_기말인원(명),기계장치(IFRS연결)(천원),기계장치(IFRS)(천원),자산(*)(IFRS연결)(천원),자산(*)(IFRS)(천원),인건비(IFRS연결)(백만원),인건비(IFRS)(백만원),부가가치(IFRS연결)(백만원),부가가치(IFRS)(백만원),매출액(수익)(*)(IFRS연결)(천원),매출액(수익)(*)(IFRS)(천원)
이스트아시아홀딩스인베스트먼트리미티드,900110,2018/12,2637900,,0,,,3095435,,208315049,,11177.88,,17557.87,,92978878,
이스트아시아홀딩스인베스트먼트리미티드,900110,2019/12,2106875,,0,,,3180120,,215567392,,11388.8,,18700.77,,91506104,
이엠코리아(주),095190,2011/12,74721841,73916614,115500,115500,212,22480936,14783945,127080138,125418215,11500.15,11165.67,18770.21,18999.29,81681331,80947105
이엠코리아(주),095190,2012/12,78717103,77968197,250597,250598,253,28776775,28722745,132045679,130054281,14282.01,13894.58,25396.22,24525.05,87796542,86997391
이엠코리아(주),095190,2013/12,82548412,81209465,4262247,3675837,292,30055607,29994972,142531914,139495885,17764.97,16998.97,26204.42,24400.25,92174873,90836991
이엠코리아(주),095190,2014/12,98851426,95057639,18582666,15622216,306,31371503,31309068,168213023,162657910,20620.26,19660.69,30998.46,27253.8,111420104,110472671
이엠코리아(주),095190,2015/12,100973112,97694558,3223307,208018,307,34427109,34358325,167257514,160344951,21199.95,19972.41,31702.07,27621.46,106194679,105186067
이엠코리아(주),095190,2016/12,101274770,81604153,4491885,0,253,37117557,35641303,174637560,152292207,20694.95,18422.84,23532.39,19937.39,102552273,75303938
이엠코리아(주),095190,2017/12,105182280,83137869,11284972,294508,239,40927728,39434915,197028668,169523645,20431.01,16798.8,27341.91,26207.6,104620012,87220106
이엠코리아(주),095190,2018/12,114779501,82354929,4523169,1668011,256,43390470,41523697,181940514,158897726,19667.64,17360.54,25347.24,27111.55,107484472,100231876
이엠코리아(주),095190,2019/12,102940812,101775075,1375231,513233,262,42977301,41543135,185095105,175960140,21304.29,19277.53,12805.59,16676.97,84821800,81408473
이연제약(주),102460,2011/12,,10221660,,0,318,,21794644,,134202481,,25344.33,,51230.74,,124350931
이연제약(주),102460,2012/12,,19497621,,9231183,312,,23798644,,156922678,,20419.05,,43969.51,,114334848
이연제약(주),102460,2013/12,,18085711,,9675304,306,,24014644,,178399194,,20245.42,,39429.07,,109693360
이연제약(주),102460,2014/12,,18816788,,366613,314,,24318844,,191245740,,21535.09,,37046.59,,112112067
이연제약(주),102460,2015/12,,18354103,,433870,350,,24862406,,260929163,,22143.47,,43416.8,,114507235
이연제약(주),102460,2016/12,,18870969,,618563,340,,25016456,,223858101,,22661.73,,38983.81,,121847220
이연제약(주),102460,2017/12,20701243,20701243,3026842,3026842,373,25057605,25057605,290843099,290964262,25959.17,25959.17,43606.11,43609.48,126253126,126253126
이연제약(주),102460,2018/12,56151085,56143275,41022008,41022008,417,25390206,25390206,303166752,305622837,32391.44,32013.17,33559.84,36412.14,122990417,122990417
이연제약(주),102460,2019/12,107137834,107034229,91564130,91564130,476,25847766,25847766,274482252,275730755,33867.09,33255.62,43542.12,42993.33,131557875,131557875
이원다이애그노믹스(주),245620,2018/12,4072691,3253810,0,0,80,3329792,3364442,75102072,53287271,3777.28,2964.92,-3024.73,-3874.72,21496787,5804209
이원다이애그노믹스(주),245620,2019/12,10067781,4321912,2200000,1000000,89,7501079,3376842,96400085,68793161,7487.7,5770.68,2139.58,-1499.72,56721870,5414766
이원컴포텍(주),088290,2011/12,6572421,6572421,166773,166773,84,4827536,4827536,21254868,21186099,3877.34,3877.34,5320.32,5615.94,26735187,26735187
이원컴포텍(주),088290,2012/12,,8045846,,89773,94,,4941836,,20071232,,4482.92,,5121.47,,24144364
이원컴포텍(주),088290,2013/12,12050123,8488188,1765826,230980,119,7228253,5214330,28768433,27589146,5304.57,5208.97,2856.2,2986.13,24542355,25672072
이원컴포텍(주),088290,2014/12,13544792,8557961,853349,5500,147,8471425,5470930,30969823,27633104,5623.48,5254.9,6038.13,5307.49,34452219,32748007
이원컴포텍(주),088290,2015/12,12473116,8581301,11242,0,148,8892449,6273861,33330574,31156685,5455.75,4278.08,7878.13,6332.1,38917135,35366276
이원컴포텍(주),088290,2016/12,12522015,9236652,0,0,98,8722696,6310860,27916916,23519469,4617.18,3651.75,2978.14,1058.16,37299791,31851111
이원컴포텍(주),088290,2017/12,18537737,15834878,574200,574200,89,8507030,6571781,35715374,30792667,3701.55,3110.66,2238.49,1132.85,40900352,36564582
이원컴포텍(주),088290,2018/12,15839572,13491212,10703,10703,50,6603053,4789787,32773847,28579332,2519.97,2282.33,3260.1,389.95,44049192,42791557
이원컴포텍(주),088290,2019/12,16242368,14097522,10400,10400,56,7093018,5296309,37874014,36706599,2691.62,2449.54,6588.91,4753.87,47852572,46310492
이지케어텍(주),099750,2019/03,747618,734435,0,0,358,0,0,57829246,57806720,24894.06,24376.84,29423.96,28964.38,55738225,55711174
이트론(주),096040,2011/12,1804094,1639034,1406864,1406864,65,0,0,16940880,19415009,5642.47,4826.23,-2226.19,559.55,9607026,5951822
이트론(주),096040,2012/12,437543,218841,0,0,41,0,0,15676824,18998121,4662.57,2500.84,1859.72,2013.08,12683761,3392060
이트론(주),096040,2013/12,10166898,1638859,0,0,44,2531188,0,49133950,36710132,3493.21,2160.88,5429.75,1848.4,41928790,22406720
이트론(주),096040,2014/12,,1474011,,0,49,,0,,40584083,,3057.41,,2584.92,,23515555
이트론(주),096040,2015/12,,1611434,,0,48,,350000,,45294013,,3149.02,,-4688.29,,25799505
이트론(주),096040,2016/12,,1609331,,0,53,,275500,,57919896,,2701.83,,-6659.44,,25705833
이트론(주),096040,2017/12,,1195971,,0,24,,0,,53109109,,904.3,,842.93,,15563155
이트론(주),096040,2018/12,,1135006,,0,43,,0,,47028711,,2535.16,,-3931.36,,8470642
이트론(주),096040,2019/12,1125972,1125972,0,0,56,16300,16300,104903445,104903300,2802.71,2802.71,729.58,732.15,28980984,28980984
이화공영(주),001840,2011/12,,6571007,,0,108,,0,,46754240,,6545.74,,7358.52,,71191256
이화공영(주),001840,2012/12,,6514324,,0,129,,0,,61784146,,9979.03,,10808.91,,104069291
이화공영(주),001840,2013/12,,6461650,,0,144,,0,,58690093,,11260.28,,12142.49,,134306787
