회사명,거래소코드,회계년도,매출액(IFRS연결),매출원가(IFRS연결),판관비(IFRS연결),당기자본(IFRS연결),전기자본(IFRS연결),매출액(IFRS개별),매출원가(IFRS연결),판관비(IFRS개별),당기자본(IFRS개별),전기자본(IFRS개별)
(주)골드퍼시픽,38530,Dec-14,16486257,17957521,4348050,16567915,16567915,4855121,8095405,2735104,16902289,16902289
(주)골드퍼시픽,38530,Dec-15,18635305,19680341,7198088,21193149,,6121489,8377506,5941733,20115559,21193149
(주)골드퍼시픽,38530,Dec-16,,,,,,9588100,8116354,9996865,1889641,1889641
(주)골드퍼시픽,38530,Dec-17,,,,,5364494,5031439,1988881,2104961,5364494,5364494
(주)골드퍼시픽,38530,Dec-18,5708281,1408824,5203460,20086698,,5580994,1408824,4678410,20086698,20086698
(주)골드퍼시픽,38530,Dec-19,,,,,,11323125,8029376,6714790,21069318,21069318
(주)골프존,215000,Dec-15,201560389,80622893,71355052,108853909,108853909,184085342,60628407,75828799,105063093,105063093
(주)골프존,215000,Dec-16,216964342,87427908,84093965,120648626,120648626,196864993,75591746,77311791,115886579,115886579
(주)골프존,215000,Dec-17,200105321,69036405,93611339,189381881,189381881,171859065,61708564,76621692,181394935,181394935
(주)골프존,215000,Dec-18,198705194,77580938,92963990,194919561,194919561,191571105,77184826,85300585,197436844,197436844
(주)골프존,215000,Dec-19,247018099,93859565,120861039,200042879,200042879,239051647,96463711,106388878,205529589,205529589
(주)골프존뉴딘홀딩스,121440,Dec-11,215793737,100364106,61499627,348968757,348968757,209788389,101810790,55068379,348104397,348104397
