회사명,거래소코드,회계년도,재고자산(IFRS연결),유동자산(IFRS연결),재고자산(IFRS개별),유동자산(IFRS개별)
(주)광주신세계,37710,Dec-14,,,4715758,24561635
(주)광주신세계,37710,Dec-15,,,5113086,33510638
(주)광주신세계,37710,Dec-16,,,5458472,32426270
(주)광주신세계,37710,Dec-17,,,5384423,33243825
(주)광주신세계,37710,Dec-18,,,2621451,77504431
(주)광주신세계,37710,Dec-19,,,2790527,103160925
(주)구영테크,53270,Dec-11,15288601,58842369,5432585,40821654
(주)구영테크,53270,Dec-12,18805001,66346373,7326274,48964877
(주)구영테크,53270,Dec-13,17835115,53694228,7502946,36391962
(주)구영테크,53270,Dec-14,21780928,57115595,7997698,40628726
(주)구영테크,53270,Dec-15,19812030,58836903,6701810,41055597
(주)구영테크,53270,Dec-16,19802569,54139890,7727200,39434041
(주)구영테크,53270,Dec-17,20106730,64140319,8041927,52077454
(주)구영테크,53270,Dec-18,31595113,60744298,10320023,43158029
(주)구영테크,53270,Dec-19,34405094,70165074,9542656,37519675
(주)국동,5320,Dec-11,17915375,39415062,8071551,22715717
(주)국동,5320,Dec-12,16279648,39351863,8204282,17991148
(주)국동,5320,Dec-13,22892835,48642552,10064438,24414342
(주)국동,5320,Dec-14,22684183,60454108,8296174,36105772
(주)국동,5320,Dec-15,27935227,63906154,13730846,34533151
(주)국동,5320,Dec-16,31975546,83256355,15648099,51330735
(주)국동,5320,Dec-17,31470800,66343830,13096071,39587109
(주)국동,5320,Dec-18,32699651,83767312,11916220,46980024
(주)국동,5320,Dec-19,32361904,89543258,11271338,54839302
(주)국보,1140,Dec-11,675022,41337436,675022,39894724
(주)국보,1140,Dec-12,743450,39130945,743450,36506928
(주)국보,1140,Dec-13,748235,37418409,748235,35691910
(주)국보,1140,Dec-14,665254,31669967,665254,30298511
(주)국보,1140,Dec-15,413181,26759792,413181,25758664
(주)국보,1140,Dec-16,376717,26046898,376717,24610414
(주)국보,1140,Dec-17,405427,18529522,405427,17793062
(주)국보,1140,Dec-18,354646,11759027,354646,11593846
(주)국보,1140,Dec-19,43435168,70457619,338808,17297097
(주)국보디자인,66620,Dec-11,0,59455203,0,57200948
(주)국보디자인,66620,Dec-12,0,74341481,0,72788158
(주)국보디자인,66620,Dec-13,0,102871707,0,95233392
(주)국보디자인,66620,Dec-14,0,106963249,0,99218627
