회사명,거래소코드,회계년도,부가가치(IFRS연결),자산(IFRS연결),부가가치(IFRS개별),자산(IFRS개별)
(주)금화피에스시,36190,Dec-18,139046.25,262516457,128613.82,242310750
(주)금화피에스시,36190,Dec-19,131501.4,281692946,119696.01,255149491
(주)기가레인,49080,Dec-13,29926.66,122523850,28602.39,122926340
(주)기가레인,49080,Dec-14,28620.93,131923500,28723.92,133237615
(주)기가레인,49080,Dec-15,9658.87,151757532,3920.45,148551434
(주)기가레인,49080,Dec-16,18559.19,155732003,12222.47,152639799
(주)기가레인,49080,Dec-17,23651.93,181628353,18089.11,179756049
(주)기가레인,49080,Dec-18,15054.46,179113947,8609.69,176296022
(주)기가레인,49080,Dec-19,-16789.54,117798198,-22025.06,115539385
(주)기산텔레콤,35460,Dec-11,-3910.82,86259438,-4380.27,59416681
(주)기산텔레콤,35460,Dec-12,11594.7,73234520,5107.64,46588431
(주)기산텔레콤,35460,Dec-13,15427.01,78811114,5008.37,57254925
(주)기산텔레콤,35460,Dec-14,13247.64,78052777,3190.9,54284156
