회사명,거래소코드,회계년도,매출액(IFRS연결),유형자산(IFRS연결),매출액(IFRS개별),유형자산(IFRS개별)
(주)국동,5320,Dec-12,138172746,23884364,91524436,62414
(주)국동,5320,Dec-13,147860227,22012275,95716049,102132
(주)국동,5320,Dec-14,186086561,25733379,117861978,125789
(주)국동,5320,Dec-15,170296068,27576036,102431161,124678
(주)국동,5320,Dec-16,197368723,38648210,127275873,122290
(주)국동,5320,Dec-17,191602989,34391285,130016453,126345
(주)국동,5320,Dec-18,219550054,34742472,136811631,134369
(주)국동,5320,Dec-19,223077183,33086550,116180044,130910
(주)국보,1140,Dec-11,130636214,37874882,118304924,37844785
(주)국보,1140,Dec-12,122343037,38720706,109183947,38507895
(주)국보,1140,Dec-13,117073443,42306021,108994114,42150058
(주)국보,1140,Dec-14,97520169,41286099,89859741,41186594
(주)국보,1140,Dec-15,91618545,40424444,85267457,40409826
(주)국보,1140,Dec-16,87333326,39656965,77773715,39652037
(주)국보,1140,Dec-17,78255522,39367793,74662255,39364721
(주)국보,1140,Dec-18,71549828,16528936,66929948,16527335
(주)국보,1140,Dec-19,89087334,11466461,58296078,7137358
(주)국보디자인,66620,Dec-11,130689686,1463106,123203000,1453461
(주)국보디자인,66620,Dec-12,119402993,2235492,118458574,2230621
(주)국보디자인,66620,Dec-13,163518536,2192604,153216189,2190348
(주)국보디자인,66620,Dec-14,176373907,2596797,158268803,2596263
(주)국보디자인,66620,Dec-15,192608497,6944107,157657615,6908270
(주)국보디자인,66620,Dec-16,201410031,7447948,191620729,7420242
(주)국보디자인,66620,Dec-17,270658405,7534909,262522024,7245407
(주)국보디자인,66620,Dec-18,254259835,7133198,231093439,7072221
(주)국보디자인,66620,Dec-19,269005976,8402801,237054909,8367291
(주)국순당,43650,Dec-11,127686247,84687109,124279594,77006392
(주)국순당,43650,Dec-12,118697826,82475314,115146725,74415222
(주)국순당,43650,Dec-13,99173525,79653462,96140591,71314218
(주)국순당,43650,Dec-14,91863604,72019399,89173752,63633133
(주)국순당,43650,Dec-15,77443124,69161477,74955341,60756894
(주)국순당,43650,Dec-16,69701266,64894851,68425801,56088957
(주)국순당,43650,Dec-17,62761236,58039640,60087461,49398687
(주)국순당,43650,Dec-18,61496072,66740222,52679104,58144452
(주)국순당,43650,Dec-19,102095769,78685882,48045002,45386881
(주)국영지앤엠,6050,Dec-11,,,42569848,31308145
(주)국영지앤엠,6050,Dec-12,,,43781593,32061920
(주)국영지앤엠,6050,Dec-13,,,55789778,31747733
(주)국영지앤엠,6050,Dec-14,,,51491847,32414094
(주)국영지앤엠,6050,Dec-15,,,40107647,31600586
(주)국영지앤엠,6050,Dec-16,,,51456556,31778265
(주)국영지앤엠,6050,Dec-17,,,62861661,31770240
(주)국영지앤엠,6050,Dec-18,,,56301480,30512052
(주)국영지앤엠,6050,Dec-19,,,73013468,31059486
(주)국전약품,307750,Dec-18,,,,
(주)국전약품,307750,Dec-19,,,,
(주)그래디언트,35080,Dec-11,428571939,43073285,9501248,1053189
(주)그래디언트,35080,Dec-12,454225001,51883877,11150621,544723
(주)그래디언트,35080,Dec-13,2930521926,59554095,7939840,331316
(주)그래디언트,35080,Dec-14,3135027346,58029509,7753595,452405
(주)그래디언트,35080,Dec-15,3536848758,56944366,12870821,381565
(주)그래디언트,35080,Dec-16,3845761388,57343683,16516754,340527
(주)그래디언트,35080,Dec-17,3541486629,58978788,12485184,396437
(주)그래디언트,35080,Dec-18,3440906300,66689968,12237889,246356
(주)그래디언트,35080,Dec-19,3412333826,134794282,8719700,2819233
(주)그리티,204020,Dec-18,119259702,871796,117056356,564992
(주)그리티,204020,Dec-19,123079831,2969620,120984485,2197445
(주)그린플러스,186230,Dec-19,48831866,32154120,39502728,17300012
(주)글로벌스탠다드테크놀로지,83450,Dec-11,41504144,14216552,40662578,12023834
(주)글로벌스탠다드테크놀로지,83450,Dec-12,64812103,17288952,62774905,15426808
(주)글로벌스탠다드테크놀로지,83450,Dec-13,80982977,19295210,78917554,15695611
(주)글로벌스탠다드테크놀로지,83450,Dec-14,89122994,19325095,85992839,15819399
(주)글로벌스탠다드테크놀로지,83450,Dec-15,84422579,23552630,80102292,19974231
(주)글로벌스탠다드테크놀로지,83450,Dec-16,90819412,26226965,81859588,22575187
(주)글로벌스탠다드테크놀로지,83450,Dec-17,162835484,34287696,154761834,28387085
(주)글로벌스탠다드테크놀로지,83450,Dec-18,129850197,38601941,115619452,31327306
(주)글로벌스탠다드테크놀로지,83450,Dec-19,168231754,38458654,150777009,29774088
(주)금양,1570,Dec-11,109810009,42139919,100918699,23407730
(주)금양,1570,Dec-12,122905331,42998812,108275608,23401226
(주)금양,1570,Dec-13,156304448,42071460,132045280,23186038
(주)금양,1570,Dec-14,158550531,37202354,137946044,23087543
(주)금양,1570,Dec-15,158999533,37772375,152450369,24649981
(주)금양,1570,Dec-16,168681746,50960603,161001876,25256350
(주)금양,1570,Dec-17,180373683,49447446,150809075,25514623
(주)금양,1570,Dec-18,205441375,48579379,151676398,25664622
(주)금양,1570,Dec-19,172723864,56212957,135915020,30964168
(주)금호에이치티,214330,Dec-15,203071984,35130436,181779820,25050361
(주)금호에이치티,214330,Dec-16,208574892,61937855,189733826,52902194
(주)금호에이치티,214330,Dec-17,179707629,55754669,165485490,48127082
(주)금호에이치티,214330,Dec-18,209260006,52872799,189250383,45118854
(주)금호에이치티,214330,Dec-19,251095062,55766044,221734443,46469308
(주)금화피에스시,36190,Dec-11,,,82738193,12869680
(주)금화피에스시,36190,Dec-12,,,108224285,14031715
(주)금화피에스시,36190,Dec-13,166122419,15533041,156630832,14635060
(주)금화피에스시,36190,Dec-14,189631759,19289309,166948026,16432016
(주)금화피에스시,36190,Dec-15,235969690,24594245,196919865,19034614
(주)금화피에스시,36190,Dec-16,235018376,26614096,201547339,18821165
(주)금화피에스시,36190,Dec-17,205781841,25379886,174993150,17661564
(주)금화피에스시,36190,Dec-18,233326733,25554351,202098199,17430031
(주)금화피에스시,36190,Dec-19,209435314,23969775,179177462,17526996
(주)기가레인,49080,Dec-13,94791934,50711755,94055571,49153274
(주)기가레인,49080,Dec-14,95718992,66351475,95460665,66100886
(주)기가레인,49080,Dec-15,61576391,72467615,61254807,69704999
(주)기가레인,49080,Dec-16,75445071,72641336,70397030,69374823
(주)기가레인,49080,Dec-17,100131227,66976190,89874499,64041329
(주)기가레인,49080,Dec-18,124772205,57511394,114668638,54575467
(주)기가레인,49080,Dec-19,72769411,47049665,63361399,41844081
(주)기산텔레콤,35460,Dec-11,65679195,13715434,36332290,453066
(주)기산텔레콤,35460,Dec-12,74315907,2510457,49240507,526507
(주)기산텔레콤,35460,Dec-13,79463728,2038242,48367030,589781
(주)기산텔레콤,35460,Dec-14,74512326,2260344,41612762,504291
(주)기산텔레콤,35460,Dec-15,79710503,2004855,45712905,419075
(주)기산텔레콤,35460,Dec-16,59172319,2276642,24679656,349040
(주)기산텔레콤,35460,Dec-17,63467585,2125925,29568090,364498
(주)기산텔레콤,35460,Dec-18,56445716,1812418,24864346,218698
(주)기산텔레콤,35460,Dec-19,67054955,9337828,30545683,5931892
(주)까뮤이앤씨,13700,Dec-11,,,90048208,53932952
(주)까뮤이앤씨,13700,Dec-12,,,90976586,31501983
(주)까뮤이앤씨,13700,Dec-13,,,83568532,34891163
(주)까뮤이앤씨,13700,Dec-14,,,123567918,35096062
(주)까뮤이앤씨,13700,Dec-15,,,132370311,43493965
(주)까뮤이앤씨,13700,Dec-16,,,139708060,48765560
(주)까뮤이앤씨,13700,Dec-17,,,172176860,49926590
(주)까뮤이앤씨,13700,Dec-18,,,116296828,50029469
(주)까뮤이앤씨,13700,Dec-19,,,283420655,49968394
(주)까스텔바작,308100,Dec-19,81358617,2533416,81068234,2236614
(주)나노,187790,Dec-14,,,,
(주)나노,187790,Dec-15,29901810,43868580,14881694,23465720
(주)나노,187790,Dec-16,48175171,46777390,18480121,20917884
(주)나노,187790,Dec-17,73089292,45960776,29944292,17957123
(주)나노,187790,Dec-18,81942719,49638038,34238747,16137295
(주)나노,187790,Dec-19,73694955,48390227,38421023,15094766
(주)나노브릭,286750,Dec-19,7775408,12077543,7775408,12077543
(주)나노신소재,121600,Dec-11,33480756,22355631,33480756,22301461
