회사명,거래소코드,회계년도,당기유형자산(IFRS연결),전기유형자산(IFRS연결),당기유형자산(IFRS개별),전기유형자산(IFRS개별)
(주)골드앤에스,35290,Dec-19,3722968,3722968,3722968,3722968
(주)골드퍼시픽,38530,Dec-11,,,10069863,10069863
(주)골드퍼시픽,38530,Dec-12,,8743387,8743387,8743387
(주)골드퍼시픽,38530,Dec-13,9882790,9882790,7249195,7249195
(주)골드퍼시픽,38530,Dec-14,9909463,9909463,5643164,5643164
(주)골드퍼시픽,38530,Dec-15,2580222,,2580222,2580222
(주)골드퍼시픽,38530,Dec-16,,,1333057,1333057
(주)골드퍼시픽,38530,Dec-17,,1297094,1297094,1297094
(주)골드퍼시픽,38530,Dec-18,94653,,83408,94653
(주)골드퍼시픽,38530,Dec-19,,,908909,908909
(주)골프존,215000,Dec-15,77871991,77871991,74039599,74039599
(주)골프존,215000,Dec-16,73081406,73081406,69486714,69486714
(주)골프존,215000,Dec-17,71606171,71606171,66800539,66800539
(주)골프존,215000,Dec-18,83642928,83642928,81753994,81753994
(주)골프존,215000,Dec-19,115927449,115927449,110267389,110267389
(주)골프존뉴딘홀딩스,121440,Dec-11,52306467,52306467,49239742,49239742
(주)골프존뉴딘홀딩스,121440,Dec-12,198231941,198231941,136357274,136357274
(주)골프존뉴딘홀딩스,121440,Dec-13,222285916,222285916,136081977,136081977
(주)골프존뉴딘홀딩스,121440,Dec-14,454297223,454297223,178117980,178117980
(주)골프존뉴딘홀딩스,121440,Dec-15,401308099,401308099,98347480,98347480
(주)골프존뉴딘홀딩스,121440,Dec-16,398579767,398579767,98552925,98552925
(주)골프존뉴딘홀딩스,121440,Dec-17,394254656,394254656,92900686,92900686
(주)골프존뉴딘홀딩스,121440,Dec-18,380012689,380012689,83633825,83633825
(주)골프존뉴딘홀딩스,121440,Dec-19,360513819,80368433,70002997,70002997
(주)광림,14200,Dec-11,,,23759906,23759906
(주)광림,14200,Dec-12,,,23876350,23876350
(주)광림,14200,Dec-13,,23947251,23947251,23947251
(주)광림,14200,Dec-14,56739580,,23724344,56739580
(주)광림,14200,Dec-15,,24452723,24452723,24452723
(주)광림,14200,Dec-16,70932936,67097278,25674614,25674614
(주)광림,14200,Dec-17,58197036,58197036,26240529,26240529
(주)광림,14200,Dec-18,59154003,59154003,24128152,24128152
(주)광림,14200,Dec-19,60314708,60314708,23627901,23627901
(주)광명전기,17040,Dec-11,20386015,20386015,11465013,11465013
(주)광명전기,17040,Dec-12,18456738,18456738,11648472,11648472
(주)광명전기,17040,Dec-13,17081607,17081607,11245458,11245458
(주)광명전기,17040,Dec-14,17811443,17811443,12676386,12676386
(주)광명전기,17040,Dec-15,17802534,17802534,12392219,12392219
(주)광명전기,17040,Dec-16,19037693,19037693,12127197,12127197
(주)광명전기,17040,Dec-17,34515922,34515922,15402240,15402240
(주)광명전기,17040,Dec-18,39291851,39291851,21240625,21240625
(주)광명전기,17040,Dec-19,26207863,26207863,20755434,20755434
(주)광무,29480,Dec-11,18150942,18150942,17456144,17456144
(주)광무,29480,Dec-12,12485607,12485607,12347204,12347204
(주)광무,29480,Dec-13,11030800,,10935118,11030800
(주)광무,29480,Dec-14,,,8657715,8657715
(주)광무,29480,Dec-15,,,8108941,8108941
(주)광무,29480,Dec-16,,,8053509,8053509
(주)광무,29480,Dec-17,,7752645,7752645,7752645
(주)광무,29480,Dec-18,8423811,8423811,7903725,7903725
(주)광무,29480,Dec-19,3934491,3934491,2004796,2004796
(주)광주신세계,37710,Dec-11,,,95759237,95759237
(주)광주신세계,37710,Dec-12,,,118344439,118344439
(주)광주신세계,37710,Dec-13,,,113548429,113548429
(주)광주신세계,37710,Dec-14,,,112432843,112432843
(주)광주신세계,37710,Dec-15,,,111688001,111688001
(주)광주신세계,37710,Dec-16,,,109768330,109768330
(주)광주신세계,37710,Dec-17,,,108947528,108947528
(주)광주신세계,37710,Dec-18,,,107893227,107893227
(주)광주신세계,37710,Dec-19,,,255366762,255366762
(주)구영테크,53270,Dec-11,79063199,79063199,26073978,26073978
(주)구영테크,53270,Dec-12,83304389,83304389,31959958,31959958
(주)구영테크,53270,Dec-13,82458455,82458455,32040532,32040532
(주)구영테크,53270,Dec-14,85581135,85581135,31369668,31369668
(주)구영테크,53270,Dec-15,90370617,90370617,33224421,33224421
(주)구영테크,53270,Dec-16,97159369,97159369,37856179,37856179
(주)구영테크,53270,Dec-17,108247080,108247080,56419110,56419110
(주)구영테크,53270,Dec-18,131119419,131119419,71615647,71615647
(주)구영테크,53270,Dec-19,123266501,123266501,71525354,71525354
(주)국동,5320,Dec-11,26139127,26139127,71685,71685
