회사명,거래소코드,회계년도,당기순이익(IFRS연결),자산(IFRS연결),당기순이익(IFRS개별),자산(IFRS개별)
(주)광림,14200,Dec-14,-237860,244886480,1137559,120284256
(주)광림,14200,Dec-15,,,9223597,146338755
(주)광림,14200,Dec-16,-1896521,229596737,437352,152080347
(주)광림,14200,Dec-17,-23602051,208058303,86196134,369582323
(주)광림,14200,Dec-18,-28445678,187812629,-58294056,236379465
(주)광림,14200,Dec-19,-14006972,252468254,-68290742,193568854
(주)광명전기,17040,Dec-11,-1825104,123886511,-75153,99992644
(주)광명전기,17040,Dec-12,407617,131064345,-1564026,104218586
(주)광명전기,17040,Dec-13,6473480,120910764,5301060,105483729
(주)광명전기,17040,Dec-14,9107331,138580023,6978508,119791644
(주)광명전기,17040,Dec-15,8891002,131457603,3442541,107719518
(주)광명전기,17040,Dec-16,11593891,146859319,15612709,125405290
(주)광명전기,17040,Dec-17,-2043260,152717140,-1349854,128881408
(주)광명전기,17040,Dec-18,2718092,151823119,3182514,124159091
(주)광명전기,17040,Dec-19,7118200,156712705,6470387,140591786
(주)광무,29480,Dec-11,-50127229,75946478,-51537196,85836111
(주)광무,29480,Dec-12,-10689029,55788602,-15113066,60163490
(주)광무,29480,Dec-13,-28721377,35384615,-33154332,28890332
(주)광무,29480,Dec-14,,,-859721,27862528
(주)광무,29480,Dec-15,,,-2727754,21133216
(주)광무,29480,Dec-16,,,95615,29089768
(주)광무,29480,Dec-17,,,-3352682,28950503
(주)광무,29480,Dec-18,-5120760,28431748,-4875184,26017306
(주)광무,29480,Dec-19,-6421201,63139837,-6275093,57156720
(주)광주신세계,37710,Dec-11,,,52281979,380753715
(주)광주신세계,37710,Dec-12,,,53769536,430662968
(주)광주신세계,37710,Dec-13,,,48569715,656355808
(주)광주신세계,37710,Dec-14,,,42236355,652758688
(주)광주신세계,37710,Dec-15,,,45901413,659495158
(주)광주신세계,37710,Dec-16,,,45554028,655502726
(주)광주신세계,37710,Dec-17,,,47846191,655018971
(주)광주신세계,37710,Dec-18,,,45093180,696204982
(주)광주신세계,37710,Dec-19,,,47668959,752423111
(주)구영테크,53270,Dec-11,-647883,149471330,985788,94940916
(주)구영테크,53270,Dec-12,1633009,161163024,1250176,109440531
(주)구영테크,53270,Dec-13,2179847,149230187,1137402,97549406
(주)구영테크,53270,Dec-14,2236588,155857242,1326679,101546298
(주)구영테크,53270,Dec-15,4158785,161330950,3196300,102761141
(주)구영테크,53270,Dec-16,2542450,166748490,3920237,108895002
(주)구영테크,53270,Dec-17,1357296,187009683,1239184,139584386
(주)구영테크,53270,Dec-18,5920905,202572970,3912117,146492374
(주)구영테크,53270,Dec-19,3387486,206569873,1558141,141034767
(주)국동,5320,Dec-11,-7212195,68162305,-12930687,42291817
(주)국동,5320,Dec-12,5142066,65808287,262553,35813125
(주)국동,5320,Dec-13,4009323,73040609,2373991,40194919
(주)국동,5320,Dec-14,8898694,89271398,4692501,53392996
(주)국동,5320,Dec-15,5235608,93758552,5321778,66242141
(주)국동,5320,Dec-16,6208749,124126720,4379974,86116813
(주)국동,5320,Dec-17,-8967738,106307080,-6593433,75154254
(주)국동,5320,Dec-18,2111761,123134702,1351547,80727956
(주)국동,5320,Dec-19,-4523376,133723726,-6989987,96856085
(주)국보,1140,Dec-11,-37903,98869465,-176708,97415381
(주)국보,1140,Dec-12,-874559,98494841,-1916073,93953021
(주)국보,1140,Dec-13,-3846673,98315386,-3766842,94915572
(주)국보,1140,Dec-14,-6999514,91005502,-6633427,87597909
(주)국보,1140,Dec-15,-4043773,83085438,-3679630,80158667
(주)국보,1140,Dec-16,-4187272,81308887,-5034348,77487791
(주)국보,1140,Dec-17,-2889794,73270170,-2761653,69819240
(주)국보,1140,Dec-18,-3999572,48188113,-4038217,45599283
(주)국보,1140,Dec-19,-6676274,115356448,-9851123,57467353
(주)국보디자인,66620,Dec-11,6055732,80200900,6607794,79203327
(주)국보디자인,66620,Dec-12,8281324,92877548,8631842,92873298
(주)국보디자인,66620,Dec-13,10935895,127902185,9417821,121964092
(주)국보디자인,66620,Dec-14,10942079,132011877,7901285,125685773
(주)국보디자인,66620,Dec-15,10768050,141089858,6947669,129037954
(주)국보디자인,66620,Dec-16,10738135,158452485,11905078,150830570
(주)국보디자인,66620,Dec-17,13340935,164381715,14149734,158317679
(주)국보디자인,66620,Dec-18,13872876,175036784,14098992,161750972
(주)국보디자인,66620,Dec-19,15942956,222514980,9509021,197762410
(주)국순당,43650,Dec-11,5264054,199135153,5640710,193849294
(주)국순당,43650,Dec-12,6185532,209729554,5122888,203489729
(주)국순당,43650,Dec-13,5742772,218115221,2346882,203199593
(주)국순당,43650,Dec-14,3463226,217479839,1997559,205782935
(주)국순당,43650,Dec-15,-3529405,216587928,-4854598,203528460
(주)국순당,43650,Dec-16,-2760688,213004831,-2212642,200077411
(주)국순당,43650,Dec-17,9687855,242199755,9847390,208832133
(주)국순당,43650,Dec-18,-2977369,238619493,15171022,221229658
(주)국순당,43650,Dec-19,-8269903,252484287,571892,210006510
(주)국영지앤엠,6050,Dec-11,,,-1752706,61022765
(주)국영지앤엠,6050,Dec-12,,,4832440,60197670
(주)국영지앤엠,6050,Dec-13,,,953338,63108054
(주)국영지앤엠,6050,Dec-14,,,395531,58995756
(주)국영지앤엠,6050,Dec-15,,,-533927,63713392
(주)국영지앤엠,6050,Dec-16,,,385503,65670915
(주)국영지앤엠,6050,Dec-17,,,1431624,66101002
(주)국영지앤엠,6050,Dec-18,,,-354808,60335138
(주)국영지앤엠,6050,Dec-19,,,1089819,68657302
(주)국전약품,307750,Dec-18,,,,
(주)국전약품,307750,Dec-19,,,,
(주)그래디언트,35080,Dec-11,-12292479,777653618,-4906079,521750143
(주)그래디언트,35080,Dec-12,12756395,739985481,15794035,482181596
(주)그래디언트,35080,Dec-13,23780984,1598503940,-9664900,473264178
(주)그래디언트,35080,Dec-14,31456346,1920350951,625806,455860309
(주)그래디언트,35080,Dec-15,42995247,2106702049,13112622,475792856
(주)그래디언트,35080,Dec-16,-39011241,2073537018,-40598919,404583242
(주)그래디언트,35080,Dec-17,-63634928,1804533355,-54754214,344022749
(주)그래디언트,35080,Dec-18,-4194664,1809664488,4404863,339457297
(주)그래디언트,35080,Dec-19,6507368,1780051911,4125060,336145750
