회사명,거래소코드,회계년도,당기자산(IFRS연결),전기자산(IFRS연결),당기자산(IFRS개별),전기자산(IFRS개별)
(주)골프존뉴딘홀딩스,121440,Dec-15,767325175,767325175,585663015,585663015
(주)골프존뉴딘홀딩스,121440,Dec-16,760772930,760772930,561892958,561892958
(주)골프존뉴딘홀딩스,121440,Dec-17,756500949,756500949,536244772,557339681
(주)골프존뉴딘홀딩스,121440,Dec-18,774743339,774743339,563387103,563387103
(주)골프존뉴딘홀딩스,121440,Dec-19,776384700,776384700,537526345,537526345
(주)광림,14200,Dec-11,,,86353051,86353051
(주)광림,14200,Dec-12,,,89766075,89766075
(주)광림,14200,Dec-13,,101592603,101592603,101592603
(주)광림,14200,Dec-14,244886480,,120284256,244886480
(주)광림,14200,Dec-15,,146338755,146338755,132115503
(주)광림,14200,Dec-16,229596737,228758317,152080347,152080347
(주)광림,14200,Dec-17,208058303,208058303,369582323,369582323
(주)광림,14200,Dec-18,187812629,187812629,236379465,236379465
(주)광림,14200,Dec-19,252468254,256663951,193568854,281297291
(주)광명전기,17040,Dec-11,123886511,123886511,99992644,99992644
(주)광명전기,17040,Dec-12,131064345,131064345,104218586,104218586
(주)광명전기,17040,Dec-13,120910764,120910764,105483729,105483729
(주)광명전기,17040,Dec-14,138580023,138580023,119791644,119791644
(주)광명전기,17040,Dec-15,131457603,131457603,107719518,107719518
(주)광명전기,17040,Dec-16,146859319,146859319,125405290,125405290
(주)광명전기,17040,Dec-17,152717140,152717140,128881408,128881408
(주)광명전기,17040,Dec-18,151823119,151823119,124159091,124159091
(주)광명전기,17040,Dec-19,156712705,156712705,140591786,140591786
(주)광무,29480,Dec-11,75946478,75515086,85836111,85804175
(주)광무,29480,Dec-12,55788602,55788602,60163490,60163490
(주)광무,29480,Dec-13,35384615,,28890332,35384615
(주)광무,29480,Dec-14,,,27862528,27862528
(주)광무,29480,Dec-15,,,21133216,21133216
(주)광무,29480,Dec-16,,,29089768,29089768
(주)광무,29480,Dec-17,,28950503,28950503,28950503
(주)광무,29480,Dec-18,28431748,28431748,26017306,26017306
(주)광무,29480,Dec-19,63139837,63139837,57156720,57156720
(주)광주신세계,37710,Dec-11,,,380753715,380753715
(주)광주신세계,37710,Dec-12,,,430662968,430662968
(주)광주신세계,37710,Dec-13,,,656355808,656355808
(주)광주신세계,37710,Dec-14,,,652758688,652758688
(주)광주신세계,37710,Dec-15,,,659495158,659495158
(주)광주신세계,37710,Dec-16,,,655502726,655502726
(주)광주신세계,37710,Dec-17,,,655018971,655018971
(주)광주신세계,37710,Dec-18,,,696204982,696204982
(주)광주신세계,37710,Dec-19,,,752423111,752423111
(주)구영테크,53270,Dec-11,149471330,149471330,94940916,94940916
(주)구영테크,53270,Dec-12,161163024,161163024,109440531,109440531
(주)구영테크,53270,Dec-13,149230187,149230187,97549406,97549406
(주)구영테크,53270,Dec-14,155857242,155857242,101546298,101546298
(주)구영테크,53270,Dec-15,161330950,161330950,102761141,102761141
(주)구영테크,53270,Dec-16,166748490,166748490,108895002,108895002
(주)구영테크,53270,Dec-17,187009683,187009683,139584386,139584386
