회사명,거래소코드,회계년도,부가가치(IFRS연결),인건비(IFRS연결),부가가치(IFRS개별),인건비(IFRS개별)
(주)골드앤에스,35290,Dec-13,1375.8,7656.67,-1958.86,5654.24
(주)골드앤에스,35290,Dec-14,4010.26,5593.59,1806.61,4274.77
(주)골드앤에스,35290,Dec-15,1377.12,2191.94,-3739.74,2115.25
(주)골드앤에스,35290,Dec-16,4764.12,1986.37,4792.12,2047.12
(주)골드앤에스,35290,Dec-17,-4291.99,2270.57,-4235.05,2208.95
(주)골드앤에스,35290,Dec-18,-311.92,2918.62,11.61,2908.93
(주)골드앤에스,35290,Dec-19,-15967.57,2754.13,-16227.48,2754.13
(주)골드퍼시픽,38530,Dec-11,,,4434.65,2080.02
(주)골드퍼시픽,38530,Dec-12,,,4958.14,2696.95
(주)골드퍼시픽,38530,Dec-13,-4290.42,2751.3,-3602.2,2580.29
(주)골드퍼시픽,38530,Dec-14,1554.55,5305.8,-2264.04,1953.73
(주)골드퍼시픽,38530,Dec-15,-2786.97,3834.69,-7836.3,1554.28
(주)골드퍼시픽,38530,Dec-16,,,-19661.53,1853.8
(주)골드퍼시픽,38530,Dec-17,,,1313.87,564.04
(주)골드퍼시픽,38530,Dec-18,-1488.34,1307.33,-1459.51,1327.28
(주)골드퍼시픽,38530,Dec-19,,,-25252.68,2332.67
(주)골프존,215000,Dec-15,,,,
(주)골프존,215000,Dec-16,82752.48,31654.62,69940.02,20861.4
(주)골프존,215000,Dec-17,86594.02,31373.61,71718.52,22145.86
(주)골프존,215000,Dec-18,63252.87,31880.66,60657.91,28491.93
(주)골프존,215000,Dec-19,99662.42,50779.03,87478.96,37812.63
(주)골프존뉴딘홀딩스,121440,Dec-11,68848.89,22042.96,65510.64,19119.56
(주)골프존뉴딘홀딩스,121440,Dec-12,121408.57,36337.24,108386.02,27404.01
(주)골프존뉴딘홀딩스,121440,Dec-13,104828.51,38060.57,89965.12,27880.38
(주)골프존뉴딘홀딩스,121440,Dec-14,165410.32,51552.38,110458.29,24480.13
(주)골프존뉴딘홀딩스,121440,Dec-15,25820.5,31543.66,3300.63,11016.91
(주)골프존뉴딘홀딩스,121440,Dec-16,50468.4,30289.74,-9300.74,10072.01
(주)골프존뉴딘홀딩스,121440,Dec-17,23288.31,23218.93,-6328.61,11397.33
(주)골프존뉴딘홀딩스,121440,Dec-18,60807.94,32481.51,19639.69,8276.05
(주)골프존뉴딘홀딩스,121440,Dec-19,30323.24,32018.39,-17313.43,4942.02
(주)광림,14200,Dec-11,,,15697.65,9044.58
(주)광림,14200,Dec-12,,,10280.56,7996.66
(주)광림,14200,Dec-13,,,11826.55,9079.96
(주)광림,14200,Dec-14,34136.72,28081.05,12621.85,9476.81
(주)광림,14200,Dec-15,,,46963.35,28241.05
