회사명,거래소코드,회계년도,매출액(IFRS연결),매출채권(IFRS연결),재고자산(IFRS연결),매출액(IFRS개별),매출채권(IFRS개별),재고자산(IFRS개별)
(주)골드앤에스,35290,Dec-12,43889087,7648183,2643834,43889087,7648184,2643834
(주)골드앤에스,35290,Dec-13,39548810,7534315,3133301,36607591,7535782,3133301
(주)골드앤에스,35290,Dec-14,31287203,7494549,2940734,29428881,7503242,2940734
(주)골드앤에스,35290,Dec-15,22197935,7300896,2329866,22197935,7300896,2329866
(주)골드앤에스,35290,Dec-16,15893494,6613954,1958738,15893494,6613954,1958738
(주)골드앤에스,35290,Dec-17,12802035,6452974,1057469,12802035,6452974,1057469
(주)골드앤에스,35290,Dec-18,8680452,4799709,1290682,8680452,4799709,1290682
(주)골드앤에스,35290,Dec-19,7642733,4418864,498013,7642733,4418864,498013
(주)골드퍼시픽,38530,Dec-11,,,,11236925,1502923,4047225
(주)골드퍼시픽,38530,Dec-12,,,,10491048,4387103,6326625
(주)골드퍼시픽,38530,Dec-13,7167832,6082377,6434511,6488691,5689818,5930685
(주)골드퍼시픽,38530,Dec-14,16486257,8912889,7662615,4855121,7249571,3617004
(주)골드퍼시픽,38530,Dec-15,18635305,8175535,1707754,6121489,8175535,1707754
(주)골드퍼시픽,38530,Dec-16,,,,9588100,8468843,55567
(주)골드퍼시픽,38530,Dec-17,,,,5031439,10040030,545070
(주)골드퍼시픽,38530,Dec-18,5708281,9015191,1607114,5580994,9097306,807960
(주)골드퍼시픽,38530,Dec-19,,,,11323125,11971868,3548341
(주)골프존,215000,Dec-15,201560389,16619616,3108991,184085342,16912747,1816661
(주)골프존,215000,Dec-16,216964342,13774715,12659642,196864993,12711470,11069054
(주)골프존,215000,Dec-17,200105321,18258663,13130013,171859065,16542689,10223995
(주)골프존,215000,Dec-18,198705194,20008011,10498417,191571105,19652517,7999910
(주)골프존,215000,Dec-19,247018099,17763826,10880176,239051647,19050011,7433871
(주)골프존뉴딘홀딩스,121440,Dec-11,215793737,9241114,5934952,209788389,9693683,5109784
(주)골프존뉴딘홀딩스,121440,Dec-12,289629366,12363953,17945664,276341690,11012643,16416317
(주)골프존뉴딘홀딩스,121440,Dec-13,365126358,17739672,32288277,340005073,13661065,31018699
(주)골프존뉴딘홀딩스,121440,Dec-14,429589619,16824334,30575929,387066126,13195483,29629196
(주)골프존뉴딘홀딩스,121440,Dec-15,164536448,6118520,23999862,29389093,1298568,0
(주)골프존뉴딘홀딩스,121440,Dec-16,243275475,4397394,33842758,27652102,2030134,0
(주)골프존뉴딘홀딩스,121440,Dec-17,213756902,6687798,40345794,23499543,1611931,0
(주)골프존뉴딘홀딩스,121440,Dec-18,223036801,12689009,51388491,16100354,2372526,0
(주)골프존뉴딘홀딩스,121440,Dec-19,228935651,11370127,48390470,26897482,2408025,0
(주)광림,14200,Dec-11,,,,106495363,18729997,25192191
(주)광림,14200,Dec-12,,,,85322569,14514359,27920478
(주)광림,14200,Dec-13,,,,103442134,16091136,20425937
(주)광림,14200,Dec-14,231446314,37525936,76887713,92553612,14926608,23384110
(주)광림,14200,Dec-15,,,,237222890,15556705,21555582
(주)광림,14200,Dec-16,87302967,35770538,26522759,87302967,9931190,21419610
(주)광림,14200,Dec-17,135191558,22490849,21761125,99421336,7569100,16099250
(주)광림,14200,Dec-18,136595300,34113986,25240021,75493055,9521763,19113946
(주)광림,14200,Dec-19,145864184,26246160,27735699,93241157,10365519,19396901
(주)광명전기,17040,Dec-11,92382628,26276590,12871667,57967857,15642201,8759316
(주)광명전기,17040,Dec-12,117216514,26121680,16291860,79318302,18984031,13110921
(주)광명전기,17040,Dec-13,117852824,30019188,14379994,90344376,25766651,12091794
