회사명,거래소코드,회계년도,부가가치(IFRS연결),기계장치(IFRS연결),부가가치(IFRS개별),기계장치(IFRS개별)
(주)국순당,43650,Dec-14,29706.7,35594356,24319.77,33656876
(주)국순당,43650,Dec-15,18258.1,35902951,13157.64,33779876
(주)국순당,43650,Dec-16,18388.84,36166018,14524.22,33924751
(주)국순당,43650,Dec-17,31047.34,35509492,9927.8,33850894
(주)국순당,43650,Dec-18,19112.58,27767135,14970.51,33856566
(주)국순당,43650,Dec-19,14926.79,19306821,14246.23,27193293
(주)국영지앤엠,6050,Dec-11,,,3486.7,5169325
(주)국영지앤엠,6050,Dec-12,,,12743.18,8103634
(주)국영지앤엠,6050,Dec-13,,,8302.22,8240134
(주)국영지앤엠,6050,Dec-14,,,7988.13,8684854
(주)국영지앤엠,6050,Dec-15,,,6630.74,9104500
(주)국영지앤엠,6050,Dec-16,,,7893.21,10438007
(주)국영지앤엠,6050,Dec-17,,,9692.54,11563324
(주)국영지앤엠,6050,Dec-18,,,6989.65,11603124
(주)국영지앤엠,6050,Dec-19,,,8084.83,10331384
(주)국전약품,307750,Dec-18,,,,
(주)국전약품,307750,Dec-19,,,,
(주)그래디언트,35080,Dec-11,60243.93,18272734,4264.28,364590
(주)그래디언트,35080,Dec-12,139063.68,22505630,51766.97,0
(주)그래디언트,35080,Dec-13,176314.61,23366760,-3491.71,0
(주)그래디언트,35080,Dec-14,208989.84,20716482,5932.51,0
(주)그래디언트,35080,Dec-15,240472.76,17496313,20084.99,0
(주)그래디언트,35080,Dec-16,151643.27,18758588,-44434.41,0
(주)그래디언트,35080,Dec-17,171482.48,17213858,-49657.55,0
(주)그래디언트,35080,Dec-18,227407.59,18738691,10502.87,0
(주)그래디언트,35080,Dec-19,236692.21,28206337,6703.3,0
(주)그리티,204020,Dec-18,23409.46,26232,19484.99,26232
(주)그리티,204020,Dec-19,17793.55,39232,13191.93,39232
(주)그린플러스,186230,Dec-19,14324.08,2625420,11053.23,2530113
(주)글로벌스탠다드테크놀로지,83450,Dec-11,16576.7,156977,13825.35,128509
(주)글로벌스탠다드테크놀로지,83450,Dec-12,25842.97,290735,21570.05,255767
(주)글로벌스탠다드테크놀로지,83450,Dec-13,25846.64,320734,21824.97,285767
(주)글로벌스탠다드테크놀로지,83450,Dec-14,29112.38,320735,24242.9,285767
(주)글로벌스탠다드테크놀로지,83450,Dec-15,32655.3,187725,27127.4,151766
(주)글로벌스탠다드테크놀로지,83450,Dec-16,34929.88,152473,28512.23,124774
(주)글로벌스탠다드테크놀로지,83450,Dec-17,55747.58,106145,48792.88,50721
(주)글로벌스탠다드테크놀로지,83450,Dec-18,53316.81,249876,41400.9,38895
(주)글로벌스탠다드테크놀로지,83450,Dec-19,71457.79,466508,57332.3,27070
