회사명,거래소코드,회계년도,유형자산(IFRS연결),건설중인자산(IFRS연결),유형자산(IFRS개별),건설중인자산(IFRS개별),합계_기말인원
(주)국전약품,307750,Dec-18,,,,,1
(주)국전약품,307750,Dec-19,,,,,1
(주)그래디언트,35080,Dec-11,0,7145586,1053189,170782,59
(주)그래디언트,35080,Dec-12,0,39411,544723,0,14
(주)그래디언트,35080,Dec-13,0,41325,331316,0,18
(주)그래디언트,35080,Dec-14,0,0,452405,0,25
(주)그래디언트,35080,Dec-15,0,2345155,381565,0,19
(주)그래디언트,35080,Dec-16,0,827375,340527,0,11
(주)그래디언트,35080,Dec-17,0,229900,396437,0,12
(주)그래디언트,35080,Dec-18,0,11691918,246356,0,10
(주)그래디언트,35080,Dec-19,0,20217938,2819233,0,32
(주)그리티,204020,Dec-18,0,0,564992,0,94
(주)그리티,204020,Dec-19,0,0,2197445,0,96
(주)그린플러스,186230,Dec-19,0,44273,17300012,44273,95
(주)글로벌스탠다드테크놀로지,83450,Dec-11,1831940,7935822,12023834,7935822,214
(주)글로벌스탠다드테크놀로지,83450,Dec-12,0,0,15426808,0,267
(주)글로벌스탠다드테크놀로지,83450,Dec-13,0,16000,15695611,16000,306
(주)글로벌스탠다드테크놀로지,83450,Dec-14,0,991580,15819399,991580,361
(주)글로벌스탠다드테크놀로지,83450,Dec-15,0,57600,19974231,57600,392
(주)글로벌스탠다드테크놀로지,83450,Dec-16,0,76000,22575187,76000,435
(주)글로벌스탠다드테크놀로지,83450,Dec-17,0,1521511,28387085,1521511,584
(주)글로벌스탠다드테크놀로지,83450,Dec-18,0,1127591,31327306,22049,605
(주)글로벌스탠다드테크놀로지,83450,Dec-19,0,211787,29774088,22050,594
(주)금양,1570,Dec-11,0,13464195,23407730,623000,75
(주)금양,1570,Dec-12,0,1043438,23401226,0,79
(주)금양,1570,Dec-13,0,1895292,23186038,0,85
(주)금양,1570,Dec-14,0,814210,23087543,0,102
(주)금양,1570,Dec-15,0,1251514,24649981,0,101
(주)금양,1570,Dec-16,0,2625930,25256350,0,114
(주)금양,1570,Dec-17,0,2997690,25514623,0,109
(주)금양,1570,Dec-18,0,2474624,25664622,0,104
(주)금양,1570,Dec-19,0,9046566,30964168,2516400,96
(주)금호에이치티,214330,Dec-15,0,1628487,25050361,897260,555
(주)금호에이치티,214330,Dec-16,0,412800,52902194,412800,514
(주)금호에이치티,214330,Dec-17,0,223000,48127082,223000,472
(주)금호에이치티,214330,Dec-18,0,935514,45118854,870410,512
(주)금호에이치티,214330,Dec-19,0,109767,46469308,109767,525
(주)금화피에스시,36190,Dec-11,,,12869680,0,523
(주)금화피에스시,36190,Dec-12,,,14031715,0,561
(주)금화피에스시,36190,Dec-13,0,0,14635060,0,615
(주)금화피에스시,36190,Dec-14,0,6545,16432016,0,704
(주)금화피에스시,36190,Dec-15,0,328127,19034614,0,776
(주)금화피에스시,36190,Dec-16,0,0,18821165,0,839
(주)금화피에스시,36190,Dec-17,0,0,17661564,0,818
(주)금화피에스시,36190,Dec-18,0,0,17430031,0,1396
(주)금화피에스시,36190,Dec-19,0,0,17526996,0,876
(주)기가레인,49080,Dec-13,0,3802020,49153274,3802019,305
(주)기가레인,49080,Dec-14,0,2645982,66100886,2645982,377
(주)기가레인,49080,Dec-15,0,4473613,69704999,3648979,364
(주)기가레인,49080,Dec-16,0,2879674,69374823,2879674,350
(주)기가레인,49080,Dec-17,0,1933644,64041329,1933241,200
(주)기가레인,49080,Dec-18,0,1134396,54575467,1501332,222
(주)기가레인,49080,Dec-19,13747876,921546,41844081,570792,199
(주)기산텔레콤,35460,Dec-11,0,0,453066,0,92
(주)기산텔레콤,35460,Dec-12,9900000,259470,526507,0,84
(주)기산텔레콤,35460,Dec-13,0,0,589781,0,85
(주)기산텔레콤,35460,Dec-14,0,0,504291,0,98
(주)기산텔레콤,35460,Dec-15,0,18472,419075,0,86
(주)기산텔레콤,35460,Dec-16,0,532118,349040,0,95
(주)기산텔레콤,35460,Dec-17,0,120767,364498,0,89
(주)기산텔레콤,35460,Dec-18,0,139996,218698,0,85
(주)기산텔레콤,35460,Dec-19,0,141046,5931892,0,79
(주)까뮤이앤씨,13700,Dec-11,,,53932952,0,80
(주)까뮤이앤씨,13700,Dec-12,,,31501983,0,80
(주)까뮤이앤씨,13700,Dec-13,,,34891163,0,77
(주)까뮤이앤씨,13700,Dec-14,,,35096062,0,130
(주)까뮤이앤씨,13700,Dec-15,,,43493965,0,159
(주)까뮤이앤씨,13700,Dec-16,,,48765560,306475,161
(주)까뮤이앤씨,13700,Dec-17,,,49926590,306475,162
(주)까뮤이앤씨,13700,Dec-18,,,50029469,50250,177
(주)까뮤이앤씨,13700,Dec-19,,,49968394,0,167
(주)까스텔바작,308100,Dec-19,0,0,2236614,0,59
(주)나노,187790,Dec-14,,,,,
(주)나노,187790,Dec-15,0,1664909,23465720,93792,77
(주)나노,187790,Dec-16,0,3372708,20917884,32417,76
(주)나노,187790,Dec-17,0,4093782,17957123,8100,71
(주)나노,187790,Dec-18,0,5962545,16137295,0,63
(주)나노,187790,Dec-19,0,8534491,15094766,279500,45
(주)나노브릭,286750,Dec-19,0,0,12077543,0,58
(주)나노신소재,121600,Dec-11,0,649677,22301461,649677,134
(주)나노신소재,121600,Dec-12,0,310000,21489947,310000,133
(주)나노신소재,121600,Dec-13,0,799400,19568592,799400,134
(주)나노신소재,121600,Dec-14,0,26250,18518625,26250,151
(주)나노신소재,121600,Dec-15,0,273800,19395347,273800,166
(주)나노신소재,121600,Dec-16,0,0,18608147,0,178
(주)나노신소재,121600,Dec-17,0,1589900,19909961,1589900,192
(주)나노신소재,121600,Dec-18,0,1498696,20910762,1498696,195
(주)나노신소재,121600,Dec-19,0,1791777,20294157,1791777,213
(주)나노엔텍,39860,Dec-11,0,256546,9849587,256546,83
(주)나노엔텍,39860,Dec-12,0,1951700,13068081,1951700,88
(주)나노엔텍,39860,Dec-13,0,11000,12620815,11000,89
(주)나노엔텍,39860,Dec-14,0,85850,11931694,85850,94
(주)나노엔텍,39860,Dec-15,0,614715,12824716,614714,107
(주)나노엔텍,39860,Dec-16,0,95900,15445575,95900,141
(주)나노엔텍,39860,Dec-17,0,142800,14107995,142800,95
(주)나노엔텍,39860,Dec-18,0,139900,13403198,139900,98
(주)나노엔텍,39860,Dec-19,0,145650,12777234,145650,105
